{Dialogs2.Days.Day6.Day6_Q10_ChildFaceStealing.Day6_Q10_KhanAndNotkin_Masks.587} 看这一步弃子，法师！
{Dialogs2.Days.Day6.Day6_Q10_ChildFaceStealing.Day6_Q10_KhanAndNotkin_Masks.36100} 军官不能那么走。
{Dialogs2.Days.Day6.Day6_Q10_ChildFaceStealing.Day6_Q10_KhanAndNotkin_Masks.8091} 军官爱怎么走就怎么走！他才是下命令的，不是吗？
{Dialogs2.Days.Day6.Day6_Q10_ChildFaceStealing.Day6_Q10_KhanAndNotkin_Masks.8634} 诺特金。管好你那些小刺猬。他们彻底脱缰了，偷多面体的面具。
{Dialogs2.Days.Day6.Day6_Q10_ChildFaceStealing.Day6_Q10_KhanAndNotkin_Masks.26816} 这是什么自编棋吗？我不认识叫“军官”的棋子。
{Dialogs2.Days.Day6.Day6_Q10_ChildFaceStealing.Day6_Q10_KhanAndNotkin_Masks.16638} 用眼睛看，医生。你觉得这个骑马的家伙是谁？马戏团小丑？战争里只有军官才配得起马！我要把他走到这里，保护我的先知。
{Dialogs2.Days.Day6.Day6_Q10_ChildFaceStealing.Day6_Q10_KhanAndNotkin_Masks.52190} 那先知是什么？你们把车叫作先知？
{Dialogs2.Days.Day6.Day6_Q10_ChildFaceStealing.Day6_Q10_KhanAndNotkin_Masks.2873} 这里没有新兵！只有久经沙场的老兵！先知是很厉害的棋子。他坐得稳，一格也不能动，但能提前看见敌人的走法。
{Dialogs2.Days.Day6.Day6_Q10_ChildFaceStealing.Day6_Q10_KhanAndNotkin_Masks.56821} 诺特金，我们得谈谈。你那些小刺猬从多面体偷了些面具。你不觉得羞愧吗？
{Dialogs2.Days.Day6.Day6_Q10_ChildFaceStealing.Day6_Q10_KhanAndNotkin_Masks.54293} 他说什么呢，首领？你的人真去袭击多面体了？
{Dialogs2.Days.Day6.Day6_Q10_ChildFaceStealing.Day6_Q10_KhanAndNotkin_Masks.61380} 我怎么会知道，是吧？医生把我的人和你的人当成一回事。你告诉他，可汗。我才不管什么纪律废话。我的半灵都是自由人。他们想做什么就做什么。
{Dialogs2.Days.Day6.Day6_Q10_ChildFaceStealing.Day6_Q10_KhanAndNotkin_Masks.40938} 你不是他们的首领吗？我还以为他们听你的。
{Dialogs2.Days.Day6.Day6_Q10_ChildFaceStealing.Day6_Q10_KhanAndNotkin_Masks.4} 他们会听我说什么。可那不是一回事，懂吗？你们这些老家伙永远不明白。
{Dialogs2.Days.Day6.Day6_Q10_ChildFaceStealing.Day6_Q10_KhanAndNotkin_Masks.57240} 我还以为你们有指挥链。
{Dialogs2.Days.Day6.Day6_Q10_ChildFaceStealing.Day6_Q10_KhanAndNotkin_Masks.13128} 你要是被抢了，医生，就去烦那些贼。没看见我正忙着吗？我有个先知要救！不过我告诉你一件事：你要找的东西不在这里。城堡是放重大东西的地方，没地方搁你那些鸡毛蒜皮的破烂。肯定在某个藏货点。
{Dialogs2.Days.Day6.Day6_Q10_ChildFaceStealing.Day6_Q10_KhanAndNotkin_Masks.63376} 那个“某个”究竟在哪里？
{Dialogs2.Days.Day6.Day6_Q10_ChildFaceStealing.Day6_Q10_KhanAndNotkin_Masks.7357} 我说了：外头。街上。我的人每天都做新的藏货点，谁记得过来？……嘿！卡斯帕！我看见了，你这鼬鼠！我的骆驼就在那格子上！趁医生分我的心就想偷走？
{Dialogs2.Days.Day6.Day6_Q10_ChildFaceStealing.Day6_Q10_KhanAndNotkin_Masks.8737} 我的瘟疫医生隔离了你的骆驼。两回合后它回到棋盘上。
