{Dialogs2.Days.Day6.Day6_Q10_ChildFaceStealing.Day6_Q10_Steppenwolf_HumanAgain.58702} 吼——嗷——
{Dialogs2.Days.Day6.Day6_Q10_ChildFaceStealing.Day6_Q10_Steppenwolf_HumanAgain.48002} 你好。我给你带来一张面……一张脸。看，这是不是你想要的？你准备好戴上它了吗？
{Dialogs2.Days.Day6.Day6_Q10_ChildFaceStealing.Day6_Q10_Steppenwolf_HumanAgain.50846} 你好。我给你带来一张面……一张脸。看，这是不是你想要的？你准备好戴上它了吗？
{Dialogs2.Days.Day6.Day6_Q10_ChildFaceStealing.Day6_Q10_Steppenwolf_HumanAgain.27848} 嗷——呜！不许抓野兽！野兽不会投降！
{Dialogs2.Days.Day6.Day6_Q10_ChildFaceStealing.Day6_Q10_Steppenwolf_HumanAgain.15341} 看来还是我自己来吧……等一下。把头摆正。
{Dialogs2.Days.Day6.Day6_Q10_ChildFaceStealing.Day6_Q10_Steppenwolf_HumanAgain.60820} 嗷呜！走开！别碰我！
{Dialogs2.Days.Day6.Day6_Q10_ChildFaceStealing.Day6_Q10_Steppenwolf_HumanAgain.40352} 嗷呜！走开！别碰我！哦。真对不起……我没有伤到您吧？太难堪了……您无法想象，能见到一位著名死亡学家、一位站在科学前沿的研究者，对我是多大的荣幸。可我竟让您看见我这副样子！丢脸。
{Dialogs2.Days.Day6.Day6_Q10_ChildFaceStealing.Day6_Q10_Steppenwolf_HumanAgain.44467} 你真的知道死亡学是什么？当真？
{Dialogs2.Days.Day6.Day6_Q10_ChildFaceStealing.Day6_Q10_Steppenwolf_HumanAgain.64719} 当然知道！我刚学会读书，就钻进了百科全书里。尤其是科学百科。对一个孩子来说，那诱惑太大了：化石化的生命形态、演化的任性、身体的内部运作——当然也包括心智，只不过心智也是身体的一个器官……
{Dialogs2.Days.Day6.Day6_Q10_ChildFaceStealing.Day6_Q10_Steppenwolf_HumanAgain.60532} 有这种兴趣，你还相信这套胡话？什么面具能让你不变成野兽之类。我看你只是迷失在自己的游戏里了。
{Dialogs2.Days.Day6.Day6_Q10_ChildFaceStealing.Day6_Q10_Steppenwolf_HumanAgain.12369} 我很尊敬您作为思想家的地位，丹科夫斯基医生，但您最好承认，或许还有某些自然法则尚未被发现。今日看似儿童游戏的东西，也许有一天会成为基础研究的开端。
{Dialogs2.Days.Day6.Day6_Q10_ChildFaceStealing.Day6_Q10_Steppenwolf_HumanAgain.32819} 如果你进了大学，我保证保护你不受尖刻评审之害。也许你真能发现点什么。
{Dialogs2.Days.Day6.Day6_Q10_ChildFaceStealing.Day6_Q10_Steppenwolf_HumanAgain.40520} 谢谢您，丹科夫斯基医生。谢谢您的善言，也谢谢您找回了我的脸。我的面具。
{Dialogs2.Days.Day6.Day6_Q10_ChildFaceStealing.Day6_Q10_Steppenwolf_HumanAgain.50264} 告诉我，你现在会回到人群中去吗？回家也好，回多面体也好。这里很冷，而且总体上并不安全。
{Dialogs2.Days.Day6.Day6_Q10_ChildFaceStealing.Day6_Q10_Steppenwolf_HumanAgain.21432} 会的，会的。我现在没事了。我也不想再看见野兽战胜心智的那些遗迹。那些被咬烂的东西，呃……我希望您永远不要经历这种事。
{Dialogs2.Days.Day6.Day6_Q10_ChildFaceStealing.Day6_Q10_Steppenwolf_HumanAgain.9260} 自我暗示的力量？我不这么认为。
{Dialogs2.Days.Day6.Day6_Q10_ChildFaceStealing.Day6_Q10_Steppenwolf_HumanAgain.19498} 我很高兴你恢复了理智。祝你好运。
