{Dialogs2.Days.Day6.Day6_Q11_InfectingTheBull.Day6_Q11_BigVlad_NoBulls.43766} 啊……是你。你要什么，学士？你那个……医院已经把我榨干了……
{Dialogs2.Days.Day6.Day6_Q11_InfectingTheBull.Day6_Q11_BigVlad_NoBulls.27060} 它的饥渴仍未平息。开门见山吧：我需要一头公牛。
{Dialogs2.Days.Day6.Day6_Q11_InfectingTheBull.Day6_Q11_BigVlad_NoBulls.15712} 你……以为事情就这么简单？你上门来，要一头公牛，我就给你开门……？屠宰场瘫了，饥荒压在镇子头上，人们见到一点肉渣、内脏都要偷……你却要一整头公牛。谁来赔我的损失？
{Dialogs2.Days.Day6.Day6_Q11_InfectingTheBull.Day6_Q11_BigVlad_NoBulls.45641} 我来——用应急指挥部的资源。公牛对瘟疫研究必不可少，这笔钱不能省。
{Dialogs2.Days.Day6.Day6_Q11_InfectingTheBull.Day6_Q11_BigVlad_NoBulls.54994} 好。公牛会给你送去……妥妥当当……很快。别……为任何事操心，去忙你的吧。我会安排一切。
{Dialogs2.Days.Day6.Day6_Q11_InfectingTheBull.Day6_Q11_BigVlad_NoBulls.4117} 不过我得说一句。让人花钱买一件长远看来或许也能救你命的东西，这多少有些……说不过去。
{Dialogs2.Days.Day6.Day6_Q11_InfectingTheBull.Day6_Q11_BigVlad_NoBulls.60231} 谢谢。不管怎样，和你做生意很愉快。
{Dialogs2.Days.Day6.Day6_Q11_InfectingTheBull.Day6_Q11_BigVlad_NoBulls.48546} 谈谈价钱吧。一头公牛不至于太贵。
{Dialogs2.Days.Day6.Day6_Q11_InfectingTheBull.Day6_Q11_BigVlad_NoBulls.47475} 一头公牛……值多少钱，全看主人……开多少价。不多不少。学者，这就是自由市场。
{Dialogs2.Days.Day6.Day6_Q11_InfectingTheBull.Day6_Q11_BigVlad_NoBulls.30058} 真可耻，弗拉德！小镇危在旦夕，你却想趁我之危牟利。
{Dialogs2.Days.Day6.Day6_Q11_InfectingTheBull.Day6_Q11_BigVlad_NoBulls.55199} 等你准备好开价……再回来，别再浪费我的时间……
{Dialogs2.Days.Day6.Day6_Q11_InfectingTheBull.Day6_Q11_BigVlad_NoBulls.27410} 等小镇灭亡，我们所有人都受审的时候，我会在证词里提到你的慷慨。
{Dialogs2.Days.Day6.Day6_Q11_InfectingTheBull.Day6_Q11_BigVlad_NoBulls.60910} 朱庇特做得，公牛做不得。
{Dialogs2.Days.Day6.Day6_Q11_InfectingTheBull.Day6_Q11_BigVlad_NoBulls.14954} 你这话有说服力。但如果我把钱花在公牛上，医院那边就会短缺……
{Dialogs2.Days.Day6.Day6_Q11_InfectingTheBull.Day6_Q11_BigVlad_NoBulls.33773} 听说由于紧急状态，一名审判官正被派来这里。你准备好为妨碍瘟疫研究向他交代了吗？
{Dialogs2.Days.Day6.Day6_Q11_InfectingTheBull.Day6_Q11_BigVlad_NoBulls.4130} 我不是“妨碍研究”，我是“在对我有损时拒绝帮忙”。你这算盘打得倒大胆……别拿审判官吓我。你……先数清自己的罪。等你准备好开价……再回来，别浪费我的时间……
{Dialogs2.Days.Day6.Day6_Q11_InfectingTheBull.Day6_Q11_BigVlad_NoBulls.36485} 好吧，如你所愿。这是抢劫，但我别无选择。我会付公牛的钱。
{Dialogs2.Days.Day6.Day6_Q11_InfectingTheBull.Day6_Q11_BigVlad_NoBulls.61212} 也有人说正相反。这些年来，是你一直在榨干草原人的命血。
{Dialogs2.Days.Day6.Day6_Q11_InfectingTheBull.Day6_Q11_BigVlad_NoBulls.49816} 你越界了，学者！你就是为这个来的……？替草原人求情？怎么不……再让他们把你的耳朵磨出茧来……多听听他们那些瞎话……我给他们工作，给他们一个能派上用场的地方。可他们除了抱怨……什么都不会……
