{Dialogs2.Days.Day6.Day6_Q11_InfectingTheBull.Day6_Q11_Eva_OurBull.58114} 多可爱的公牛……你看，它的睫毛真长。
{Dialogs2.Days.Day6.Day6_Q11_InfectingTheBull.Day6_Q11_Eva_OurBull.56455} 你喜欢吗？我还担心自己得解释这只房间里的公牛。
{Dialogs2.Days.Day6.Day6_Q11_InfectingTheBull.Day6_Q11_Eva_OurBull.3350} 它真好。奇迹不需要解释。  很久以前，我曾梦想成为草药新娘，在公牛们倦怠的目光前为我们所有人起舞。那件事从未成真，但这头公牛会在这里用慵倦的目光看着我。
{Dialogs2.Days.Day6.Day6_Q11_InfectingTheBull.Day6_Q11_Eva_OurBull.28335} 为什么没有成真？你改变主意了？
{Dialogs2.Days.Day6.Day6_Q11_InfectingTheBull.Day6_Q11_Eva_OurBull.4629} 我不确定。回望过去时，有些时候它像一块蒙了雾的玻璃。我看得见形状，却看不清细节。  在那块玻璃后面，法尔哈德建起了静水观星台。在那块玻璃后面，没有人在这里长久住下去。我尤其替那位女工程师难过。在那块玻璃后面，西蒙说静水观星台会接纳我。还是说，那是在我改变主意之后？
{Dialogs2.Days.Day6.Day6_Q11_InfectingTheBull.Day6_Q11_Eva_OurBull.46736} 女工程师？
{Dialogs2.Days.Day6.Day6_Q11_InfectingTheBull.Day6_Q11_Eva_OurBull.3308} 是的，她是跟梦构师们一起来的，但她从来没打算久留。所以她才住进这里，住进这座客舍。
{Dialogs2.Days.Day6.Day6_Q11_InfectingTheBull.Day6_Q11_Eva_OurBull.28540} 她后来怎么了？
{Dialogs2.Days.Day6.Day6_Q11_InfectingTheBull.Day6_Q11_Eva_OurBull.6755} 我想她离开了。
{Dialogs2.Days.Day6.Day6_Q11_InfectingTheBull.Day6_Q11_Eva_OurBull.21007} 唔。我还半以为会是别的结局。如果是这样，你也该学她，搬去另一所房子。我让这头公牛染上了瘟疫，当然不想让你也染上。
{Dialogs2.Days.Day6.Day6_Q11_InfectingTheBull.Day6_Q11_Eva_OurBull.51858} 我以为只有草原姑娘才能成为草药新娘。
