{Dialogs2.Days.Day6.Day6_Q13_BlackForest.Day6_Q13_ChangelingAndNeighbour.38719} 第四十七遍了，走开！别烦我，该死的！
{Dialogs2.Days.Day6.Day6_Q13_BlackForest.Day6_Q13_ChangelingAndNeighbour.3274} 叫他出来。叫他开门。
{Dialogs2.Days.Day6.Day6_Q13_BlackForest.Day6_Q13_ChangelingAndNeighbour.22153} 克拉拉？你在这里做什么？看来每当别人的性命开始崩塌，你总会出现。
{Dialogs2.Days.Day6.Day6_Q13_BlackForest.Day6_Q13_ChangelingAndNeighbour.34546} 哦，你来了，医生。又来挡我的路？门后那个人不是人。他是我的，你明白吗？走开。
{Dialogs2.Days.Day6.Day6_Q13_BlackForest.Day6_Q13_ChangelingAndNeighbour.27349} 叫谁出来？锁在房间里的疯子？我本来还想问钥匙的事。室友有钥匙，不是很自然吗？
{Dialogs2.Days.Day6.Day6_Q13_BlackForest.Day6_Q13_ChangelingAndNeighbour.25256} 你们两个到底在说什么？这屋里只有我一个人住。只有我，没有别人。我以前有个室友，但他三天前死于瘟疫了。
{Dialogs2.Days.Day6.Day6_Q13_BlackForest.Day6_Q13_ChangelingAndNeighbour.34976} 是你让我来看他的。你在医院找到我，告诉我雅库布康复了……
{Dialogs2.Days.Day6.Day6_Q13_BlackForest.Day6_Q13_ChangelingAndNeighbour.53721} 你要把我逼疯了。我从没求过这种事！我哪儿也没去！我也根本不知道你是谁，伙计。滚出我家！
{Dialogs2.Days.Day6.Day6_Q13_BlackForest.Day6_Q13_ChangelingAndNeighbour.13685} 你真的不记得曾经向我求助？
{Dialogs2.Days.Day6.Day6_Q13_BlackForest.Day6_Q13_ChangelingAndNeighbour.19255} 走开，医生。趁还来得及，离开这里。这里的一切都是假的。你还渴望更多幻象吗？去看Shabnak（泥魔女）吧，她想你呢，可怜的姑娘。现在你挡着我的路了。我自己能处理。
{Dialogs2.Days.Day6.Day6_Q13_BlackForest.Day6_Q13_ChangelingAndNeighbour.20608} 处理什么？这里到底发生了什么？
{Dialogs2.Days.Day6.Day6_Q13_BlackForest.Day6_Q13_ChangelingAndNeighbour.5345} 人去了黑林，人回来了。这很糟——那片林子是另一个世界的根。我一个人能治，但黑林会索取人，把他们的灵魂连同瘟疫一起吞进它的嘴里，把他们往里拖。我们必须把它连根拔起。所以我来了。我是换生灵。我能处理异世的芽。你不能。这里没有你的事，医生。
{Dialogs2.Days.Day6.Day6_Q13_BlackForest.Day6_Q13_ChangelingAndNeighbour.27703} 根？芽？另一个世界？你有一点说对了——这确实超出我的理解。随你去做吧。
{Dialogs2.Days.Day6.Day6_Q13_BlackForest.Day6_Q13_ChangelingAndNeighbour.58734} 好极了。你自己处理这些胡言乱语的疯子吧。他让我发毛。物以类聚。
{Dialogs2.Days.Day6.Day6_Q13_BlackForest.Day6_Q13_ChangelingAndNeighbour.33534} 随你。我已经检查过这间屋子——没人。如果你想玩通灵游戏，我不会妨碍。
{Dialogs2.Days.Day6.Day6_Q13_BlackForest.Day6_Q13_ChangelingAndNeighbour.25897} 克拉拉还是那副疯女人样。我不管了。
{Dialogs2.Days.Day6.Day6_Q13_BlackForest.Day6_Q13_ChangelingAndNeighbour.37675} 如果门后这个可怜人真的从瘟疫中康复了，我必须检查他。
{Dialogs2.Days.Day6.Day6_Q13_BlackForest.Day6_Q13_ChangelingAndNeighbour.34273} 不，他没有康复。人去了黑林，人回来了。这很糟——那片林子是另一个世界的根。我一个人能治，但黑林会索取人，把他们的灵魂连同瘟疫一起吞进它的嘴里，把他们往里拖。我们必须把它连根拔起。所以我来了。我是换生灵。我能处理异世的芽。你不能。这里没有你的事，医生。
{Dialogs2.Days.Day6.Day6_Q13_BlackForest.Day6_Q13_ChangelingAndNeighbour.19015} 你怎么解释那些声音？如果屋里没有别人，声音从哪里来？你听不见吗？
{Dialogs2.Days.Day6.Day6_Q13_BlackForest.Day6_Q13_ChangelingAndNeighbour.5573} 叫谁出来？屋里没有别人。就算有，他们也不愿露面。
{Dialogs2.Days.Day6.Day6_Q13_BlackForest.Day6_Q13_ChangelingAndNeighbour.49442} 也许那是因为他们不信任你。每种生灵都有特别的接近办法，而你像列车班次一样直来直去。他躲在门后。我能听见他在受苦……
