{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Angel_Kids.2892} 你想干什么？别碰我。我<i>说了</i>别碰我！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Angel_Kids.5674} 放轻松。我没打算碰你。我只是想说几句话。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Angel_Kids.3179} 那你就退后一步，双手放在我看得见的地方。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Angel_Kids.14738} 镇上现在有传言，说后身区有孩子失踪了。也许你听说过？
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Angel_Kids.19198} 你又是哪位？记者还是什么东西？
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Angel_Kids.27070} 丹尼尔·丹科夫斯基，医学学士。幸会。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Angel_Kids.3957} 离我远点，好吗，医学学士？一头闯进酒馆，立刻就来烦我……你身上至少带糖了吗？还是说我该担心？
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Angel_Kids.18711} 没人。只是个走进酒馆的男人。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Angel_Kids.3642} 一个走进酒馆，还开始<i>纠缠</i>我的男人。你身上至少带糖了吗？还是说我该担心？
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Angel_Kids.13777} 我哪知道，你<i>该不该</i>担心？得看那些孩子到底出了什么事。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Angel_Kids.32491} 就在几天前，这些孩子还在外头疯玩，现在却不见了。他们的街坊都担心得很。有人托我查清到底出了什么事。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Angel_Kids.11297} 这跟我有什么关系？难不成我现在是儿童监管总头头？
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Angel_Kids.17886} 你心里清楚，我为什么偏偏来问你。外头都在传，说你会拐孩子，还跟什么阴森森的团伙有牵连。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Angel_Kids.28576} 你认识卡捷琳娜·萨布洛娃吗？
