{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Haruspex_Accusation.24923} 是你。你怎么知道我们在这儿？从来没人会回到这后头来。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Haruspex_Accusation.9746} 告诉我，emshen（医者）。你听说过哈默林捕鼠人的故事吗？
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Haruspex_Accusation.11354} 没有。那是谁？
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Haruspex_Accusation.2306} 你啊。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Haruspex_Accusation.2750} 这是个老故事，说有个男人把镇上的孩子全都拐走，再把他们杀了。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Haruspex_Accusation.23380} 哇！再多讲点！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Haruspex_Accusation.18681} 每一个孩子？为什么？他为什么要杀他们？
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Haruspex_Accusation.9587} 看来你不信任我，医生。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Haruspex_Accusation.18837} 有个概念你大概听过，叫做……“名声”。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Haruspex_Accusation.15792} 在你对娜拉做过那种事之后？不好说。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Haruspex_Accusation.15630} Shaardlagatai，emshen（医者）。我做了我必须做的事，向来如此。孩子们需要有人救，所以我救了他们。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Haruspex_Accusation.23844} 把他们送去多面体吧。那里已经有很多孩子了，而且如果我理解得没错，那地方简直是完美的隔离病房。瘟疫进不去。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Haruspex_Accusation.10634} 我不喜欢多面体。Ayuultai。那地方不安全。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Haruspex_Accusation.25926} 看来你不只是医生，还是个建筑师。你对自己的多面体可真懂。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Haruspex_Accusation.23483} 我不懂，emshen（医者）。我尽量不去碰自己不明白的东西。比起多面体，我更信这片河岸。这里荒着，几乎没人来。我四处都看过了，这里最安全。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Haruspex_Accusation.1903} 也许你说得对，但至少在那里他们不会染上瘟疫。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Haruspex_Accusation.30062} 这处藏身地比多面体更合适。这里荒着，几乎没人来。我到处都看过了，这里最安全。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Haruspex_Accusation.26406} 你觉得他们在这儿更安全？这破角落凭什么比别的街区强？
