{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.15610} 你也被赶出来了吗？
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.9119} 从哪儿赶出来？谁赶的？
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.32258} 从藏身处。我们刚才在玩捉迷藏，小钉把我赶出来了。他说我偷看。可我根本没有！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.10978} <i>藏身处？</i>什么藏身处？在哪儿？
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.31245} 我不能告诉你。熊说了，谁都知道的藏身处，就不叫藏身处了。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.20133} 没关系，你可以告诉我。熊和我是朋友。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.5662} 我怎么知道你真的是<i>你</i>？说不定你是个bokholdoi（博克霍尔多伊）！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.22839} 你们躲在里面，到底是在躲什么呀？
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.15965} 躲麻烦。躲疾病。躲坏人。所以<i>你</i>不能进去。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.11172} 你是在说我是坏人？
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.17475} 我哪知道你是什么。你也许就是坏的。说不定你是那种……怎么说来着，bokholdoi（博克霍尔多伊）。披着大人的皮，到处走来走去，就像披了件外套！我怎么知道？
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.27205} 那有什么办法能证明我不是bokholdoi（博克霍尔多伊）吗？
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.10047} 给我讲个故事。童话故事。熊说，好人会讲好故事。bokholdoi（博克霍尔多伊）不懂故事，因为它没有心。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.3528} 我不会讲童话。抱歉。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.4958} 真像个bokholdoi（博克霍尔多伊）。熊说，bokholdoi（博克霍尔多伊）不怕火，也不怕死。它只怕一样东西，那就是童话。所以熊晚上和我们围着火坐的时候，总会讲童话！这样就能把bokholdoi（博克霍尔多伊）吓跑。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.2876} 好吧，那就依你。我现编一个故事给你。你有什么特别想听的吗？
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.14710} bokholdoi（博克霍尔多伊）到底是什么？
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.15480} 熊说，bokholdoi（博克霍尔多伊）不怕火，也不怕死。它只怕一样东西，那就是童话。所以熊晚上和我们围着火坐的时候，总会讲童话！这样就能把bokholdoi（博克霍尔多伊）吓跑。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.14517} 我没工夫陪你闹。快告诉我你朋友在哪儿，我得确认他们平安无事。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.13512} <i>抓到啦！</i>熊说，bokholdoi（博克霍尔多伊）最爱装成那种“没时间”的人。它们老爱撒谎，这些讨厌的bokholdoi（博克霍尔多伊）。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.9280} 我怎么知道<i>你</i>不是bokholdoi（博克霍尔多伊）？你现在就可疑得很。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.25121} 给我讲个故事，我们就知道咱俩谁才是bokholdoi（博克霍尔多伊）了！哈哈！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.1879} 我才不讲什么童话。你到底有没有在听我说？我是医生，城里闹<i>沙疫</i>了！立刻告诉我，你朋友在哪儿！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.20789} 救命！来人啊！有个bokholdoi（博克霍尔多伊）在攻击我！啊啊啊！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.27210} 该死。好了，够了。别喊了。你想听什么童话？
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.5736} 唉，真是服了。从前有个老头和老太婆，他们唯一的家当就是一个破木盆……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.9648} 我不要破木盆！三天前，你听了一颗榛子的话，讲起故事却没讲完！这不公平！\n\n熊说，故事讲到一半就停，是最坏最坏的事。只有bokholdoi（博克霍尔多伊）才会这么干。<i>好</i>人一定会把故事讲到团圆结局！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.19338} 我不可能是bokholdoi（博克霍尔多伊），理由很简单：那词是你现编的。bokholdoi（博克霍尔多伊）根本不存在。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.12532} 才不是！它们真的有！熊说，bokholdoi（博克霍尔多伊）不怕火，也不怕死。它只怕一样东西，那就是童话。\n\nbokholdoi（博克霍尔多伊）里面是空的。它不懂故事。所以熊晚上才给我们讲童话，把bokholdoi（博克霍尔多伊）吓跑。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.18039} 好吧。你讲个童话给我听，你就知道我不是bokholdoi（博克霍尔多伊）了。我才不怕童话。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.25625} 不，你讲！<i>你</i>讲给我听！哈哈！我要听童话！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.17316} 唉，天哪……你快把我逼疯了，小鬼。你刚才还说童话是拿来吓跑bokholdoi（博克霍尔多伊）的。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.17819} 行，就讲童话。有什么特别要求？
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.15576} 三天前，你听了一颗榛子的话，讲起故事却没讲完！这不公平！\n\n熊说，故事讲到一半就停，是最坏最坏的事。只有bokholdoi（博克霍尔多伊）才会这么干。<i>好</i>人一定会把故事讲到团圆结局！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.28291} 等等，那是什么时候？三天前？我不记得了。你提醒我一下，我当时讲到哪儿了？
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.11416} 我想知道莉莉丝和奎奇后来怎么样了！你不讲，你就是bokholdoi（博克霍尔多伊）！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.27177} 可我已经不记得后面怎么讲了。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.14090} <i>抓到啦，</i>bokholdoi（博克霍尔多伊）！我就知道！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.3245} 别急，小鬼。至少给我一点时间理理思路。你的童话会有的。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.12225} 在草原上的一座古老小镇里，住着一对姐弟：莉莉丝和奎奇。她们还有两个朋友。来着，叫什么来着？
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.5441} 沙鼠和米奇。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.21752} 对，就是。谢谢你，小姑娘。后来有一天，一个叫巴瓦伊的萨满来到镇上。镇民都聚到广场上，萨满巴瓦伊向大家展示了他的……
