{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Clerk_TheKey.44051} 是，丹科夫斯基医生？
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Clerk_TheKey.46394} 小弗拉德的书桌抽屉锁着。
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Clerk_TheKey.690} 没错。工人的书桌都配有锁，用来存放个人物品和机密文件。
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Clerk_TheKey.27475} 你有他书桌的钥匙吗？
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Clerk_TheKey.22314} 我需要你打开那个抽屉。
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Clerk_TheKey.6628} 恐怕这事我帮不了您。我没有同事书桌的钥匙。再说，我为什么会有？
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Clerk_TheKey.9305} 你有小弗拉德书桌的钥匙吗？
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Clerk_TheKey.6487} 恐怕没有。再说，我为什么会有？
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Clerk_TheKey.53303} 仔细想想。这事关生死。
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Clerk_TheKey.30158} 我们每个人都有上锁的私人抽屉，不过弗拉德嘛，他对自己的工作位置相当粗心；我总在各处找到他的钥匙。上一次是在图书室。我必须问一句：您期望在他的东西里找到什么？
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Clerk_TheKey.58829} 弗拉德有危险，我想帮他。
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Clerk_TheKey.18945} 这就不是你该知道的了。但谢谢你的提示。
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Clerk_TheKey.19714} 没什么特别的。我只是偶尔喜欢翻翻别人的东西。
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Clerk_TheKey.3771} 要是钥匙丢了怎么办？你们没有备份吗？
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Clerk_TheKey.61936} 没有备份。每把钥匙都是独一无二的。不过弗拉德嘛，他对自己的工作位置相当粗心；我总在各处找到他的钥匙。上一次是在图书室。我必须问一句：您期望在他的东西里找到什么？
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Clerk_TheKey.4820} 请告诉我，如果钥匙丢了，哪里能找到备份？
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Clerk_TheKey.26657} 没有备份。每把钥匙都是独一无二的。再说，您说的是哪个抽屉，丹科夫斯基医生？我不知道这里也替您安排了工作位置。
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Clerk_TheKey.36676} 我需要打开小弗拉德书桌里的抽屉。这事关生死。
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Clerk_TheKey.60312} 弗拉德嘛，他对自己的工作位置相当粗心；我总在各处找到他的钥匙。上一次是在图书室。我必须问一句：您期望在他的东西里找到什么？
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Clerk_TheKey.8689} 还是说：这种情况你们怎么办？如果钥匙丢了？
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Clerk_TheKey.7357} 这种事很少发生。也许弗拉德·奥金斯基除外。恕我直言，他对自己的工作位置相当粗心。上一次，我在图书室找到了他的钥匙。我必须问一句：您是想打开他的书桌，对吧？您期望在那里找到什么？
