{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Maria_TakesVlad.13442} 恩-丹尼尔！我能帮你什么？
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Maria_TakesVlad.52275} 你会把奥尔金斯基家称作敌人吗？
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Maria_TakesVlad.36002} 多么粗俗的说法，恩-丹尼尔！他们是我们的对手。对手是我们的血液。若没有他们结实能干的肚腹与双手，这座镇上就没有土壤可供我们更精巧的造物扎根。
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Maria_TakesVlad.38456} 如果我告诉你，几天之后他们之中有一个人会痛苦地死去呢？
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Maria_TakesVlad.3619} 卡佩拉？
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Maria_TakesVlad.51817} 那是……希望吗？我好像从你的声音里听见了。
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Maria_TakesVlad.29206} 又一次落入琐碎的卑小。你在我眼中把自己变小了。我无法理解，一个人怎会被卡佩拉和她那些日常的平庸迷住。但我知道这一点：女主人们的命运永远相连。自然，她的安危与我有关。
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Maria_TakesVlad.65301} 不。剑悬在小弗拉德头上。
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Maria_TakesVlad.5067} 我还以为你的第一个猜测会是家族的族长。
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Maria_TakesVlad.63280} 不可能。大弗拉德——那才是我们镇上真正的不死者。无论灾难还是瘟疫降临，都只会让他越长越大。
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Maria_TakesVlad.26401} 嗯……这一点倒是真的。剑悬在小弗拉德头上。
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Maria_TakesVlad.9405} 不。是小弗拉德。
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Maria_TakesVlad.7687} 他遇到什么危险了吗？
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Maria_TakesVlad.47075} 他做了一件邪恶的事——金族人打算因此同他清算。而我有一种非常清楚的印象：他欢迎这一切。
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Maria_TakesVlad.34000} 欢迎……什么？羞辱和死亡？
{Dialogs2.Days.Day6.Day6_Q7_VladAndTheGardenCity.Day6_Q7_Maria_TakesVlad.56258} 嗯，羞辱的部分是你自己添上去的。
