{Dialogs2.Days.Day6.Day6_Q9_SimonExhumation.Day6_Q9_Sign_SimonBuried.54308} 医生？我想同您谈一种病。也许您知道怎样治好它。我说的是过去之病。
{Dialogs2.Days.Day6.Day6_Q9_SimonExhumation.Day6_Q9_Sign_SimonBuried.17827} 没有这种事。
{Dialogs2.Days.Day6.Day6_Q9_SimonExhumation.Day6_Q9_Sign_SimonBuried.12883} 您错了，医生。玛丽亚·凯纳患的是往昔之疾。那病咬得她太深，连我们每个人都能感觉到。
{Dialogs2.Days.Day6.Day6_Q9_SimonExhumation.Day6_Q9_Sign_SimonBuried.34375} 我记得你——你是她随从中的人，对吧？
{Dialogs2.Days.Day6.Day6_Q9_SimonExhumation.Day6_Q9_Sign_SimonBuried.61506} 我是认同凯恩家族城市命运愿景的人之一。玛丽亚称我们为“征兆”。我们在这里，并肩而立，是因为我们相信乌托邦。可最近几天，我们的决心被西蒙之死毒坏了。玛丽亚患的是往昔之疾，而她把这种病传染给了身边所有人。
{Dialogs2.Days.Day6.Day6_Q9_SimonExhumation.Day6_Q9_Sign_SimonBuried.65424} 她只是在哀悼亲近的人。悲伤不是疾病。
{Dialogs2.Days.Day6.Day6_Q9_SimonExhumation.Day6_Q9_Sign_SimonBuried.4794} 不，医生，那不是悲伤。哀悼者会接受死亡，承受它的重量。可玛丽亚拒绝去想西蒙可能已经死了。所以我才称它为疾病。而且这种病有十分明确的症状。
{Dialogs2.Days.Day6.Day6_Q9_SimonExhumation.Day6_Q9_Sign_SimonBuried.39440} 很好。如果你有具体说法，我听着。
{Dialogs2.Days.Day6.Day6_Q9_SimonExhumation.Day6_Q9_Sign_SimonBuried.44588} 悲伤当然可能成为疯狂的诱因……所以——玛丽亚怎么了？
{Dialogs2.Days.Day6.Day6_Q9_SimonExhumation.Day6_Q9_Sign_SimonBuried.20009} 那么，这种奇怪疾病的症状是什么？
{Dialogs2.Days.Day6.Day6_Q9_SimonExhumation.Day6_Q9_Sign_SimonBuried.5026} 姑且假定它存在。那么，这种“往昔之疾”的症状是什么？
{Dialogs2.Days.Day6.Day6_Q9_SimonExhumation.Day6_Q9_Sign_SimonBuried.58622} 首先，玛丽亚执着于无法改变的事。玛丽亚无法接受西蒙只是一个凡人，也无法接受他以凡人的方式死去。
{Dialogs2.Days.Day6.Day6_Q9_SimonExhumation.Day6_Q9_Sign_SimonBuried.16425} 你确定他只是凡人？
{Dialogs2.Days.Day6.Day6_Q9_SimonExhumation.Day6_Q9_Sign_SimonBuried.60324} 你确定他死了？
{Dialogs2.Days.Day6.Day6_Q9_SimonExhumation.Day6_Q9_Sign_SimonBuried.57486} 西蒙确实是伟大的人——我绝不敢贬低他的成就。但他和我们一样会死。你不信，是吗？西蒙死的那天，我亲眼看见凯恩家的人把一具裹着尸布的遗体抬向墓地。
{Dialogs2.Days.Day6.Day6_Q9_SimonExhumation.Day6_Q9_Sign_SimonBuried.36046} 你凭什么断定那是西蒙的遗体？
{Dialogs2.Days.Day6.Day6_Q9_SimonExhumation.Day6_Q9_Sign_SimonBuried.48799} 他们趁黑抬着它走，连每一道影子都会让他们一惊。他们没有通知任何人，也没有召来任何人……凯恩家族想让所有人相信西蒙是个奇迹；他们用谜团裹住他。可事实上，他不过是个衰弱的老人——自己神话的牺牲品。
{Dialogs2.Days.Day6.Day6_Q9_SimonExhumation.Day6_Q9_Sign_SimonBuried.43249} 你认为凯恩家族偷偷埋葬了西蒙，现在还在欺骗所有人？
{Dialogs2.Days.Day6.Day6_Q9_SimonExhumation.Day6_Q9_Sign_SimonBuried.40099} 西蒙的亲族太相信他的非凡，以至于没有像埋葬一个人那样埋葬他。他们把他放进了一座无名坟！可悲，且骇人的命运。
{Dialogs2.Days.Day6.Day6_Q9_SimonExhumation.Day6_Q9_Sign_SimonBuried.51452} 让我猜猜。你把这事告诉了玛丽亚，她被冒犯了？
{Dialogs2.Days.Day6.Day6_Q9_SimonExhumation.Day6_Q9_Sign_SimonBuried.2170} 我爱玛丽亚，也希望减轻她的负担。她是受害者——骗局的受害者。她的父亲和叔叔瞒着她埋葬了西蒙，而如今她确信西蒙的凡人肉身并不存在。丹科夫斯基医生，你的一句话可以中和那份占据玛丽亚的虚假希望之毒。
{Dialogs2.Days.Day6.Day6_Q9_SimonExhumation.Day6_Q9_Sign_SimonBuried.7876} 那就你自己去找出遗体，拿给她看。为什么需要我？
{Dialogs2.Days.Day6.Day6_Q9_SimonExhumation.Day6_Q9_Sign_SimonBuried.27525} 要让玛丽亚面对严酷沉重的真相，需要一个特殊的人。一个权威。她会相信的人。她无法轻易驳回的人。
{Dialogs2.Days.Day6.Day6_Q9_SimonExhumation.Day6_Q9_Sign_SimonBuried.13878} 我没时间核查无稽的幻想。不过如果有机会，我或许会看一眼。
{Dialogs2.Days.Day6.Day6_Q9_SimonExhumation.Day6_Q9_Sign_SimonBuried.53605} 抱歉，但我不相信秘密埋葬这种事。
{Dialogs2.Days.Day6.Day6_Q9_SimonExhumation.Day6_Q9_Sign_SimonBuried.27889} 果然如我所惧。您也被感染了。往昔之疾蒙蔽了您的理性。您也相信西蒙是不朽的吗？
