{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Colleagues_WeExpected.16755} 这是我们的机会，我告诉你！把握今日。若想拯救实验室，我们就得抓住今天。
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Colleagues_WeExpected.27359} 我想先问问尊敬的学者。你怎么看这个莉莉奇女人？
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Colleagues_WeExpected.14160} 我不认识她，所以没有看法。
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Colleagues_WeExpected.380} 我去听了那场讲座。莉莉奇讲审判机关的职能，讲层级，讲“法”如何运作。你知道吗？我相信这是一个征兆。此刻，塔纳提卡比以往任何时候都需要保护。而还有谁能比审判机关和“法”更好地保护我们？
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Colleagues_WeExpected.21987} 我不确定……
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Colleagues_WeExpected.10986} 听讲座时，我有种感觉，莉莉奇是在对我个人说话。她暗示自己可以帮忙。只要我们与审判机关合作，就没人敢动我们。这就是法。
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Colleagues_WeExpected.29569} 也许你说得对。我不喜欢这个主意，但看来这是拯救实验室的唯一机会。
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Colleagues_WeExpected.26409} 是的，确实如此。我同意学者。
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Colleagues_WeExpected.24205} 如果我们向莉莉奇宣誓效忠，其他审判官就动不了我们。他们内部有行为准则。彼此队伍里的人，他们不会碰。
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Colleagues_WeExpected.26203} 你真的相信这个？我真羡慕你的天真。
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Colleagues_WeExpected.1238} 你该来听讲座的。莉莉奇用例子说明了法的机制。她也提到了科学院。科学院服从审判机关，这就是指挥链。只要能同莉莉奇谈妥，让她庇护我们，塔纳提卡就会被放过。
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Colleagues_WeExpected.9276} 我们的问题不在审判机关。是在科学院。
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Colleagues_WeExpected.4087} 看得出你没去听讲座。科学院服从审判机关，这就是指挥链。只要能同莉莉奇谈妥，让她庇护我们，这对科学院来说会是很有力的论据。
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Colleagues_WeExpected.17596} 你怎么看，学者？
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Colleagues_WeExpected.19083} 我不喜欢这个主意。风险太大。
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Colleagues_WeExpected.27961} 懒惰乃诸恶之母，丹科夫斯基。就我们而言，怠惰即是死亡。
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Colleagues_WeExpected.9858} 我们必须在实验室的死亡和我们自己可能的死亡之间选择。我们怎么会落到这一步？
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Colleagues_WeExpected.15769} 法有个恶习：它总是先惩罚那些更容易够到的人。向审判官宣誓效忠，就像在自己背上画靶子。
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Colleagues_WeExpected.2495} 你知道吗？丹尼尔·丹科夫斯基，那个当年创立这间实验室的人，是我见过最勇敢的人。现在他怎么了？为了你的心血，为了你的科学，你难道不准备做任何事吗？
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Colleagues_WeExpected.2681} 我不知道……
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Colleagues_WeExpected.28597} 我去找莉莉奇谈谈。看看她会怎么说。
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Colleagues_WeExpected.14552} 我当然不准备拿同事的性命冒险。
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Colleagues_WeExpected.15193} 不冒险者不得胜。我去找莉莉奇谈谈。
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Colleagues_WeExpected.26681} 这是个可怕的主意。凡是和审判机关合作过的人，都没有好下场。
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Colleagues_WeExpected.1667} 她确实是个该死的好讲师，这点无疑。学生们对她敬畏得很……
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Colleagues_WeExpected.7794} 我认为她是个非常危险的女人。最好离她远些。
