{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Maestro_Frustration.11532} 惊人……我第一次见有人这么轻易牺牲棋子。可她居然还是赢过了我，您看……
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Maestro_Frustration.24223} 你在说什么？
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Maestro_Frustration.27040} 阿格拉娅·莉莉奇今天进行了一场国际象棋车轮战。十盘。每一盘都限时。其中三盘，她在开局阶段就赢了。其余的……我简直不想提。她牺牲兵时那么轻松，我本以为我会赢……结果我错了。
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Maestro_Frustration.15688} 这么说，莉莉奇十盘全赢了？
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Maestro_Frustration.32071} 不是全赢。马斯坦斯卡娅把棋局拖成了和棋。她也不在乎兵，棋子飞出棋盘的速度快得我眨眼都来不及。莉莉奇似乎对此印象很深。我听说马斯坦斯卡娅已经收到邀请了。审判机关在招募她。
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Maestro_Frustration.25022} 马斯坦斯卡娅，是吗。要是她接受，那可真可惜。她有一颗出色的头脑。
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Maestro_Frustration.12327} 如果我是她，我会答应。能有这样的前程，简直是美梦成真。
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Maestro_Frustration.32062} “美梦”……你们这些学生，永远学不会。每个兵都总以为自己是后，所以它们才那么容易被牺牲。
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Maestro_Frustration.32290} 我听说情况正相反。从前那才危险。现在，只要你为审判机关做事，就没人会动你。要是一个审判官处决了另一个审判官手下的人，他会有麻烦，你知道。他们现在不这么做了。
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Maestro_Frustration.28161} 你真的相信？我明白了。
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Maestro_Frustration.26900} 哦，是吗？所以时代已经变了，对吧？
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Maestro_Frustration.28870} 这就叫“兵的思维”。比起常识，更相信你的上级。
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Maestro_Frustration.13173} 当心你的愿望。没有什么比美梦成真更危险。尤其当审判机关牵涉其中。今天，你靠近一名审判官。明天，你就会因此被推到墙边。
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Maestro_Frustration.12199} 经典手法。大师故意走几步笨棋，让对手误以为自己安全。
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Maestro_Frustration.14050} 你说得倒轻巧。你又不在场。事后人人都聪明。可在棋局中……马斯坦斯卡娅是唯一一个能逼成和棋的人。她也不在乎兵。我听说她已经收到邀请了。审判机关在招募她。
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Maestro_Frustration.31242} 你刚刚被人杀得一败涂地，看起来倒挺高兴。
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Maestro_Frustration.29295} 今天，我见证了——甚至可以说参与了——这样一场非凡的棋局，输掉它反倒更像一种喜悦……
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Maestro_Frustration.26477} 这有什么不对？兵不就是用来牺牲的吗？
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Maestro_Frustration.30178} 看得出你是个外行。兵在战略上是至关重要的棋子。你听说过亨廷顿—普罗弗那局棋吗？也许去年在报纸上读过？那局棋是谁赢了？是兵赢了！亨廷顿之所以能赢，只因为他保住了更多的兵。这是事实。
