{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Seraphima_NobodyExpectsTheInquisition.16434} 我仍然觉得这太荒唐了……
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Seraphima_NobodyExpectsTheInquisition.9921} 什么？
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Seraphima_NobodyExpectsTheInquisition.19107} 让审判官站上讲坛。用学院做宣传，而不是做科学。你们怎么能让这种事发生？
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Seraphima_NobodyExpectsTheInquisition.12481} 你真以为我有力量拒绝审判机关的要求？阻止莉莉奇来讲课？我会说，战胜死亡都比战胜审判机关容易。
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Seraphima_NobodyExpectsTheInquisition.30221} 这个决定不是我做的。
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Seraphima_NobodyExpectsTheInquisition.32231} 这和宣传有什么关系？
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Seraphima_NobodyExpectsTheInquisition.3334} 我听了这个莉莉奇的讲座。五分钟，我就已经看清她是什么人了。她不是来教书的。她是来招募人的。
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Seraphima_NobodyExpectsTheInquisition.22210} 招募未来的医生去当审判官？这倒是奇特的做法。他们自己的人用完了吗？
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Seraphima_NobodyExpectsTheInquisition.20165} 她找的不是雇员。她需要告密者。对审判机关来说，人就是耗材。他们自称为法，可本质上不过是一群普通刽子手。
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Seraphima_NobodyExpectsTheInquisition.14501} 如果他们向你提出同审判机关合作，谢拉菲玛，你会拒绝吗？
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Seraphima_NobodyExpectsTheInquisition.28967} 我已经拒绝了。反正她要找的也不是探员。她只需要告密者。她说审判机关会保护自己人，可那只是谎言，你知道。对审判机关来说，人就是可消耗的东西。他们自称为法，可那全是空话。他们其实不过是一群普通刽子手。
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Seraphima_NobodyExpectsTheInquisition.28803} 总得有人维持秩序。
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Seraphima_NobodyExpectsTheInquisition.26476} 我简直不敢相信你刚才说了这句话。你不是认真的，对吧？我和普拉东这周的课都被取消了。这就是眼下的“秩序”。
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Seraphima_NobodyExpectsTheInquisition.2975} 确实。他们不过是刽子手。离他们远点。
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Seraphima_NobodyExpectsTheInquisition.28057} 这并不难。我和普拉东这周的课都被取消了。
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Seraphima_NobodyExpectsTheInquisition.5180} 你看起来很紧绷。我从没见过你这样。出什么事了？还是只因为莉莉奇那场讲座？
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Seraphima_NobodyExpectsTheInquisition.20324} 确实出事了。我和普拉东这周的课都被取消了。
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Seraphima_NobodyExpectsTheInquisition.22600} 那你原本打算什么时候告诉我？为什么我总是被蒙在鼓里？
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Seraphima_NobodyExpectsTheInquisition.23421} 院长没有解释为什么取消，只说是“课表变动”。真方便，所有“变动”总是只和塔纳提卡有关，不是吗？
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Seraphima_NobodyExpectsTheInquisition.18156} 现在实验室里有人吗？
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Seraphima_NobodyExpectsTheInquisition.6661} 普拉东，和往常一样。我想就算实验室关了，普拉东也会像幽灵一样在那地方徘徊好几年。
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Seraphima_NobodyExpectsTheInquisition.30459} 没人会关闭我们。我向你保证。
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Seraphima_NobodyExpectsTheInquisition.16884} 别这么说。普拉东是个卓越的科学家。我相信他前途光明。
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Seraphima_NobodyExpectsTheInquisition.14712} 除非我们被关停。
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Seraphima_NobodyExpectsTheInquisition.3192} 我们的处境确实严峻，但现在放弃还太早。继续你的工作。
{Dialogs2.Days.Day7.Day7_Q0_FlashbackOfTheInstitute.Day7_Q0_Seraphima_NobodyExpectsTheInquisition.15365} 继续你的工作。我会想办法处理这件事。
