{Dialogs2.Days.Day7.Day7_Q1_Trial.Day7_Q1_Agents_GoToCathedral.23976} 等一下，市民。我们在找丹尼尔·丹科夫斯基。有人告诉我们，他住在静水观星台。
{Dialogs2.Days.Day7.Day7_Q1_Trial.Day7_Q1_Agents_GoToCathedral.25046} 哦，我明白了。卡尔明斯基派人来找我。希望你们不打算浪费阿格拉娅·莉莉奇仆从的宝贵时间。来吧，诸位，审判你们自己的案子。
{Dialogs2.Days.Day7.Day7_Q1_Trial.Day7_Q1_Agents_GoToCathedral.20968} 没错。我听着。
{Dialogs2.Days.Day7.Day7_Q1_Trial.Day7_Q1_Agents_GoToCathedral.12224} 到底出了什么事？
{Dialogs2.Days.Day7.Day7_Q1_Trial.Day7_Q1_Agents_GoToCathedral.15379} 审判官已经到镇上了。你必须立刻被带去见他。是他的亲自命令。
{Dialogs2.Days.Day7.Day7_Q1_Trial.Day7_Q1_Agents_GoToCathedral.3331} 好，命令就是命令。只希望你们不要浪费阿格拉娅·莉莉奇仆从的宝贵时间。来吧，诸位，审判你们自己的案子。
{Dialogs2.Days.Day7.Day7_Q1_Trial.Day7_Q1_Agents_GoToCathedral.15767} 什么……你刚才说了什么？
{Dialogs2.Days.Day7.Day7_Q1_Trial.Day7_Q1_Agents_GoToCathedral.28294} 你耳朵不好吗？哪一部分没听懂？
{Dialogs2.Days.Day7.Day7_Q1_Trial.Day7_Q1_Agents_GoToCathedral.18677} 我说：希望你们不要浪费阿格拉娅·莉莉奇仆从的宝贵时间。
{Dialogs2.Days.Day7.Day7_Q1_Trial.Day7_Q1_Agents_GoToCathedral.22576} 你认识阿格拉娅·莉莉奇？
{Dialogs2.Days.Day7.Day7_Q1_Trial.Day7_Q1_Agents_GoToCathedral.30815} 我不只是认识她；我侍奉她。怎么？我打乱了你们的计划？你们不是要带我去见卡尔明斯基吗——那就请吧！带我去。
{Dialogs2.Days.Day7.Day7_Q1_Trial.Day7_Q1_Agents_GoToCathedral.30616} 你的洞察力可真敏锐。你怎么知道的？
{Dialogs2.Days.Day7.Day7_Q1_Trial.Day7_Q1_Agents_GoToCathedral.23550} 现在怎么办？我没想到他，那个……会是莉莉奇的人。
{Dialogs2.Days.Day7.Day7_Q1_Trial.Day7_Q1_Agents_GoToCathedral.9777} 我也没想到……先把他带去大教堂吧。头儿自己会处理。
{Dialogs2.Days.Day7.Day7_Q1_Trial.Day7_Q1_Agents_GoToCathedral.26669} …
{Dialogs2.Days.Day7.Day7_Q1_Trial.Day7_Q1_Agents_GoToCathedral.13458} 这是拉丁文：审判你自己的案子。意思就是，审判你自己的案子。如果你为审判机关办事，至少该知道它的格言。
{Dialogs2.Days.Day7.Day7_Q1_Trial.Day7_Q1_Agents_GoToCathedral.19009} 如果我拒绝呢？
{Dialogs2.Days.Day7.Day7_Q1_Trial.Day7_Q1_Agents_GoToCathedral.25570} 你试试看。看看会怎样。
{Dialogs2.Days.Day7.Day7_Q1_Trial.Day7_Q1_Agents_GoToCathedral.30733} 命令很清楚：如果你选择不服从，我们获准使用武力。
{Dialogs2.Days.Day7.Day7_Q1_Trial.Day7_Q1_Agents_GoToCathedral.27458} 那我们就拧住你的胳膊，照样把你带过去。我们现在好好请你，所以别把事情弄得更难。
{Dialogs2.Days.Day7.Day7_Q1_Trial.Day7_Q1_Agents_GoToCathedral.16666} 啊，刚闻到权力的味儿，就已经开始诉诸武力了？你这种人小时候掐死过小猫吧？也许还剪过鸡爪子？
{Dialogs2.Days.Day7.Day7_Q1_Trial.Day7_Q1_Agents_GoToCathedral.18257} 这混账真狂！你既然不肯好好来——马克，上！
{Dialogs2.Days.Day7.Day7_Q1_Trial.Day7_Q1_Agents_GoToCathedral.4998} 希望你们别让阿格拉娅·莉莉奇的一名仆从把宝贵时间浪费在你们身上。来吧，诸位，审判你们自己的案子。
