{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Georgiy_YouAreFool.31996} 抱歉，丹科夫斯基，我现在另有要事。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Georgiy_YouAreFool.29296} 我知道中庭街的事。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Georgiy_YouAreFool.28088} 然后呢？怎么，你指望因为查出它就得到什么奖赏？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Georgiy_YouAreFool.23417} 奖赏——从你这里？不，我还没天真到那种地步。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Georgiy_YouAreFool.19413} 可你还是来了。如果我真有心对你施以怜悯，我就不会告诉你任何关于中庭街的事。我会让你永远忘记它。没有人该知道它。它只会带来苦难。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Georgiy_YouAreFool.4758} 那你们为什么创造了它？什么人会造出那么危险的东西？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Georgiy_YouAreFool.14870} 现在谈怜悯太迟了。我已经走过那条街。我知道它能做什么。你们创造了一个邪物。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Georgiy_YouAreFool.31513} 别再谈神秘主义了。你的兄弟已经为此付过代价。你知道那条街是如何运作的吗？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Georgiy_YouAreFool.21521} 我想明白你们为何创造了它。什么人会造出那么危险的东西？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Georgiy_YouAreFool.2193} 这个问题暴露了你的外行。任何不可能之物的主要特性就在于，创造者永远无法确知它最终会变成什么。那是运气问题。有时是不幸，正如中庭街。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Georgiy_YouAreFool.10570} 通常，人们开始做某件事时，总会对结果是什么有个大致设想。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Georgiy_YouAreFool.11448} 真是如此么？你听说过胡多金吗？他是个发明了带刺铁丝的草原人。他相信自己创造的是相当仁慈的东西：铁丝会保护牲畜不受捕食者侵害。  他能知道自己的铁丝后来会被用来对付人，被用在监狱和集中营里么？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Georgiy_YouAreFool.3615} 你到底想说什么？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Georgiy_YouAreFool.22912} 我们聘用尤利娅时，设想是创造一条能够增殖现实的街道。我们希望任何走过那条街的人，都能看见自身未来的一切可能分支，并能够选择。如今得到的结果，从来不在我们的计划之内。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Georgiy_YouAreFool.31352} 所以你们才解雇了她。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Georgiy_YouAreFool.3250} 但这怎么会发生？为什么你们想要的是一回事，最后得到的却是另一回事？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Georgiy_YouAreFool.6080} 每一件创造物都必然带有创造者人格的印痕。我们聘用尤利娅时，没有把这一点计算进去。她是工程学天才，但她有一个当时被我们漏看的缺陷。她太理性，太依赖逻辑。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Georgiy_YouAreFool.1328} 我不明白这为什么是缺陷。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Georgiy_YouAreFool.13120} 尤利娅本质上是怀疑论者，她总是在寻找唯一正确的答案。于是现在，中庭街正做着和尤利娅的头脑一样的事：它不创造诸多现实，而是把一切现实收束为一个，使它成为必然。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Georgiy_YouAreFool.3160} 那你们为什么没有封锁那条街？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Georgiy_YouAreFool.10970} 我们不想把注意力引到它身上。我们只是想为自己争取些时间，弄清该怎么办。如何驯服它，压制它。但现在都无关紧要了……维克多已经不在了。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Georgiy_YouAreFool.17293} 我认为必须封锁那条街，免得它再伤害别人。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Georgiy_YouAreFool.64575} ……这是我的错。悲痛之中，我竟让你忘了我们并非朋友，而你也没有权力向凯恩家族下命令。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Georgiy_YouAreFool.11373} 我不敢相信您现在还要提起旧日争执。现在有这么多人的命运悬在上面！
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Georgiy_YouAreFool.42916} 你手里有权力，丹科夫斯基。你为什么还需要我？想封街，就下令封街。换一次，用你自己的名义做点事！
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Georgiy_YouAreFool.31479} 很好。我会以自己的名义下令封锁那条街。我也会记住今天——记住您拒绝合作。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Georgiy_YouAreFool.23315} 看来那会是你唯一记得的事。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Georgiy_YouAreFool.48694} 我告辞了。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Georgiy_YouAreFool.46487} 再说一遍——说西蒙看错了我！
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Georgiy_YouAreFool.45856} 我无法调拨保护镇子免受瘟疫侵害所需的资源，去照看你们那些宏大的工程。显然，您是在等您所有亲人都因为那条街发疯。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Georgiy_YouAreFool.32794} 格奥尔基，清醒一点！封街不是为了我——是这座城镇需要它！
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Georgiy_YouAreFool.53060} 确实是因为您，我才走上那条街，毁掉了自己的未来。这难道不就给了我权利，要求没有人重蹈我的命运吗？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Georgiy_YouAreFool.36391} 这一点你说得对。被毁掉的命运确实允许人提出要求。我会下令封锁那条街。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Georgiy_YouAreFool.30468} 那场被遗忘的争执，其涟漪竟还在不断扩散，真令人惊讶。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Georgiy_YouAreFool.8780} 好吧，丹科夫斯基，就按你的意思。中庭街会被封锁。我不相信这能帮到任何人，但若这能让你好受些，那就这样吧。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Georgiy_YouAreFool.4539} 谢谢。也请接受我的哀悼。维克多不该遭遇这样的命运。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Georgiy_YouAreFool.15849} 罪在何处，罚即随之。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Georgiy_YouAreFool.2410} 这些私人的斗争、这些悲痛，让您忘了人们。要是还有别人走上那条街呢？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Georgiy_YouAreFool.4069} 你说得对。对于那条该死的街，我根本不知道该怎么办……封锁它未必有多大用处，但至少应能让偶然路过的人安全些。  我会下令派巡逻兵守在那里。暂时禁止通行，直到我想清下一步该怎么办。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Georgiy_YouAreFool.14546} 您为什么不把这些告诉尤利娅？也许她能以某种方式修好一切。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Georgiy_YouAreFool.23673} 我们试过。尤利娅拒绝承认她的街出了问题。她相信自己的所有计算都是正确的。她错了。  此外，她把审判机关引到了维克多头上，而结果你也已经看见了。我们和她没有什么可谈的了。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Georgiy_YouAreFool.29656} 既然那条街造成了这么多苦难，您为什么不毁掉它？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Georgiy_YouAreFool.12812} 你指望我怎么做？我又该如何向住在那里的人解释？首先，不可能之物无法被彻底毁掉。而尝试毁掉它，永远只会引出新的灾难。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Georgiy_YouAreFool.26180} 在我看来，您只是想把尤利娅当成替罪羊。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Georgiy_YouAreFool.11095} 我没听说过，但我很确信这个胡多金从来不存在。您刚刚编出来的。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Georgiy_YouAreFool.4905} 那为什么还要碰这些东西？为什么要创造会让你们自身陷入风险的东西？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Georgiy_YouAreFool.14138} 这样的问题从塔纳提卡实验室的创造者口中说出，倒是奇怪。因为有风险的事物，才是唯一值得去做的事物，唯一能告诉我们关于自身的新东西。不可能之物是一种理解自身、超越人性的方式。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Georgiy_YouAreFool.17799} 我不只是知道而已。我走过它。我知道它能做什么。你们创造了一个邪物。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Georgiy_YouAreFool.15396} 错了。你不知道我们创造了什么。连我们自己也不知道。不可能之物的特殊之处就在于，创造者永远不知道它究竟会变成什么样。  那是运气问题。有时是不幸，正如中庭街。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Georgiy_YouAreFool.28571} 我知道中庭街，我还走过它。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Georgiy_YouAreFool.23136} 人性的特殊之处，总令人惊异。人们明知那条街危险——却仍然走上那条街，凭自己的自由意志跳进罗网。  你为什么走上那条街？为的是什么？一定有人告诉过你那里等待着什么。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Georgiy_YouAreFool.13725} 我想亲身体验。现在，我确切知道你们做了什么。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Georgiy_YouAreFool.29786} 我知道维克多为什么受罚。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Georgiy_YouAreFool.3967} 然后呢？我也知道维克多为什么受罚。这对任何人有什么帮助？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Georgiy_YouAreFool.1495} 您为什么不替您的兄弟出手干预？为什么任由审判官把他逼疯？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Georgiy_YouAreFool.27469} 你又懂什么正义，丹科夫斯基？你说得像可以违抗审判机关一样。若我有机会用自己的命换维克多的命，我会毫不迟疑地代他承受。但我没有得到这样的机会。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Georgiy_YouAreFool.2066} 您知道审判官会因为那条街来找您，对吧？那您为什么什么也不做？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Georgiy_YouAreFool.26356} 你为什么认为我们什么也没做？这正是我最深的痛处：我们做尽了一切，却仍然不够。中庭街比我们更强，比我们更大，也比我们更危险。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Georgiy_YouAreFool.22477} 你们最初为什么要创造它？为什么要造出会让你们自己也陷入风险的东西？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Georgiy_YouAreFool.13745} 我想明白您为何创造中庭街。什么人会造出那么危险的东西？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Georgiy_YouAreFool.18235} 我走过那条街。我知道你们做了什么。
