{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Maria_VictorPunished.26002} 恩-丹尼尔！我父亲在炉宅，情况很糟。你必须尽快为他检查，我求你。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Maria_VictorPunished.17485} 发生了什么？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Maria_VictorPunished.27402} 清晨，审判官来到我们这里。他指控了我的父亲，并当场执行了判决。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Maria_VictorPunished.14306} 上门巡回法庭倒真是新鲜。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Maria_VictorPunished.19538} 通常审判官会把人传唤到自己的住所。可他却决定亲自拜访你们。为什么？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Maria_VictorPunished.9034} 什么样的指控？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Maria_VictorPunished.1496} 他说了些关于不可能物体的话，说父亲被指控煽动创造这类物体。求你，我们时间不多了，你必须帮他，他的状况很糟。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Maria_VictorPunished.28713} 好，但你至少告诉我，审判官究竟对他做了什么？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Maria_VictorPunished.989} 审判官碰了碰他的额头，低声说了些什么，从那以后，父亲就一直坐着，直直看着前方。已经好几个小时了。我从没见过他这样。他的眼神像玻璃一样，完全空白。就好像他自己也变成了一件不可能物体。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Maria_VictorPunished.26711} 也许他只是和审判官谈过之后受了惊吓。给他一点时间恢复。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Maria_VictorPunished.26875} 不，不。我从没见过他这样。就像他被……抹掉了。我发誓，如果父亲一直这样，我会尽我所能让她付出代价。这全都是因为她。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Maria_VictorPunished.26200} 所以你已经知道这一切是谁的错了，是吗？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Maria_VictorPunished.9612} 我还是第一次听说，审判官只要一碰就能把人“抹掉”。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Maria_VictorPunished.25593} 这正是我请你赶快的原因。我想我们没有多少时间了。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Maria_VictorPunished.1465} 为什么审判官偏偏去找他？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Maria_VictorPunished.32259} 他具体指的是哪些物体？多面体已经在那里很久了，而且我记得那是西蒙下令建造的，不是维克多。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Maria_VictorPunished.8004} 审判官提到了尤利娅·柳里切娃。他说柳里切娃受父亲委托做了什么。还说那是“对现实的攻击”。全都是她的错。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Maria_VictorPunished.4635} 这个柳里切娃是谁？我还是第一次听到她的名字。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Maria_VictorPunished.1557} 我们家一直雇她设计镇上的道路规划。这重要吗？现在重要的是这个吗？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Maria_VictorPunished.10359} 我只是想把所有棋子摆上棋盘，弄清到底发生了什么。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Maria_VictorPunished.497} 柳里切娃创造的物体究竟是什么？她到底做了什么，能引来审判庭的注意？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Maria_VictorPunished.16661} 因为尤利娅？她到底有什么罪？你为什么如此确信？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Maria_VictorPunished.23881} 几天前，父亲说他不再需要她的服务，让她离开小镇。她发怒了，决定报复。她去见了审判官，陷害了他。陷害了我的父亲。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Maria_VictorPunished.18344} 维克多为什么解雇她？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Maria_VictorPunished.32254} 我不知道。这重要吗？你为什么要关心这些？我的父亲才是受害者，而你却在审问我关于柳里切娃的事。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Maria_VictorPunished.10076} 我只是想把所有棋子摆上棋盘，弄清到底发生了什么。尤利娅根本不知道自己为什么被解雇。这意味着她几乎不可能告诉审判官任何有价值的东西。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Maria_VictorPunished.4606} 我需要你作为医生，丹科夫斯基，不是作为棋手。更不是作为尤利娅·柳里切娃的辩护人。我的父亲不是棋子。他是我最亲近的人，如今陷入了麻烦；眼下重要的只有这一件事。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Maria_VictorPunished.25345} 如果我是你，就不会急着下结论。这真的不像尤利娅。她确实怨恨维克多，这一点没错，但把他交给审判官？我不这么认为。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Maria_VictorPunished.12568} 你会这么说，丹科夫斯基，是因为你还没见过父亲。你还没见过审判官对他做了什么。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Maria_VictorPunished.23910} 好，我立刻去炉宅检查维克多。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Maria_VictorPunished.19811} 不过，我还是需要和尤利娅谈谈。听听她的说法。这里有些事对不上。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Maria_VictorPunished.22523} 我有空时会去看你。现在我有一大堆更重要的事要做。抱歉。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Maria_VictorPunished.11850} 他也染上沙疫了吗？多久了？症状是什么？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Maria_VictorPunished.22330} 不，他没有生病。事情要糟得多，糟得多。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Maria_VictorPunished.334} 如果我没记错，你的父亲是维克多·凯恩，对吧？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Maria_VictorPunished.10745} 他需要你的帮助。我试着做了些什么，可他——仿佛已经不在我们这里了。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Maria_VictorPunished.105} “仿佛不在我们这里了”是什么意思？你能更精确些吗？他昏迷了吗？
