{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Shadow_VictorPunished.16365} 他什么都不会告诉你。你该跟我谈。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Shadow_VictorPunished.6027} 他怎么了？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Shadow_VictorPunished.13130} 你从哪里来的？我以为只有人死了的地方才会出现影子。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Shadow_VictorPunished.15878} 没错。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Shadow_VictorPunished.15935} 可维克托不是还活着吗？还是说你不是他的影子？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Shadow_VictorPunished.3711} 这个问题的答案取决于视角。什么使一个人活着？是他的生物过程，还是精神过程？是心脏，还是大脑？有人即便心脏仍在跳动，也可以是死的；而肉体生命，唉，也完全可以和形而上的死亡并存。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Shadow_VictorPunished.17505} 你是说他现在已经无药可救了？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Shadow_VictorPunished.5932} 我会说，他已经不再需要帮助了。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Shadow_VictorPunished.7994} 卡尔明斯基到底对他做了什么？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Shadow_VictorPunished.28399} 审判官马克·卡尔明斯基执行了他的判决。凡被控袭击现实者，必须被从现实中放逐。被去现实化。这就是法。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Shadow_VictorPunished.31968} 据玛丽亚说，卡尔明斯基只是碰了一下他的额头。一次触碰真的能摧毁一个人的心智吗？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Shadow_VictorPunished.29954} 如你所见，可以。如果你对技术细节感兴趣，应该去问审判官。被杀害的受害者很少会被告知行凶的技术细节。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Shadow_VictorPunished.2864} 维克托具体是怎么袭击现实的？他究竟做了什么，才配受这样残酷的惩罚？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Shadow_VictorPunished.28158} 一切都是因为中庭的一条街。维克托把小镇的一个关键项目交给了尤利娅·柳里切娃：一条创造现实的街。一条让人能看见自己命运所有可能排列的街。可是……出了差错。那条街没有按预期运作。它没有如设想那样召来种种可能，而是把人逼入噩梦般的疯狂状态。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Shadow_VictorPunished.59863} 噩梦到什么程度？他们在那里看见了什么？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Shadow_VictorPunished.44946} 维克托自己走过那条街吗？他看见了什么？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Shadow_VictorPunished.29231} 如果那条街这么危险，为什么没有封闭？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Shadow_VictorPunished.58005} 那条街在……反向运作，一时找不到更好的说法。起初看起来，那条街坏了，走过它也没有结果。然后维克托发现，有人在造访中庭后发疯。这些人包括一个邮差、一个送奶人、一个乞丐，还有另一个容易陷入执念的人。维克托花了一阵子才意识到他们的共同点。你想猜猜是什么吗？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Shadow_VictorPunished.8694} 他们都不走直线？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Shadow_VictorPunished.36084} 是的。维克托意识到，那条街只会向以特定方式行走的人显现，也就是从一个门廊走向下一个门廊。他通过实验发现，必须从大教堂广场开始，站到你左手边第一个门廊上，再从那里循着声音走。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Shadow_VictorPunished.33417} 我首先就不明白，创造这种荒唐又危险的街有什么意义。
