{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.8653} 审判官的到来似乎搅动了整座小镇。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.4705} 我听说卡尔明斯基今天早上也去见过你。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.16694} 总是这样：审判官一到镇上，所有人突然都对他做了什么、和谁谈过话起了可怕的兴趣。你自己还有事要处理，为什么要操心我和他的谈话？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.15887} 我最鄙视两种人：瘾君子和告密者。我甚至说不准哪一种更糟。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.8647} 我也鄙视不会直说话的人。你想说什么就说。别拿暗示和谜语来烦我。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.23106} 我怀疑维克多·凯恩今天被处决，是因为你向他告了密。我真心希望你能洗清这个嫌疑。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.244} ...
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.11985} 沉默似乎就是承认。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.4947} 证毕。沉默者，即视为同意。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.19128} 还沉默，是吗。我想，此处默哀片刻倒也合宜。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.30663} 你说维克多被处决是什么意思？什么时候？为什么？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.27467} 因为他命令你建造一个不可能物体——中庭里的某条街。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.22176} 今天。似乎就在和你谈过之后。所以我才来了。你们谈了什么？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.10284} 你怀疑是我说动卡尔明斯基惩罚维克多，但事实不是这样。他问我为凯恩家做过的工作。我把一切都告诉了他。我说的任何一个字，都不可能成为处决的理由。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.26420} 让我猜猜：卡尔明斯基特别关心中庭那条街，对吗？他到底想知道什么？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.15258} 没什么特别的。技术细节。结果发现他对心理地理学相关的一切都相当精通。我想他自己也能造出不可能物体。也许在宣誓成为审判官之前，他甚至已经造过。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.19671} 你确切知道你那条街会对人做什么吗？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.14107} 你以为呢，丹科夫斯基？那是我造出来的。我当然知道它会做什么。它会把未来的各种变体展示给任何以特定方式走过它的人。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.31469} 如果我走过那条街呢？你准备保证我不会发疯，也不会被噩梦般的幻象压垮吗？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.23023} 谁把你吓成这样？有人很不愿意让你走过中庭那条街。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.13101} 我已经走过了，相信我，我在那里看见的东西很难称作‘所有可能的变体’。你的街坏了。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.14378} 不可能。你为什么撒谎？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.26283} 告诉我，你自己走过那条街时看见了什么？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.19281} ...
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.16942} 证毕。沉默出卖了有罪的一方。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.29710} 我早该知道。你没有走过，对吗？你造出一条怪物般的街，却从来没敢亲自走过去。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.2149} 我们相识不久，丹科夫斯基，所以这一次冒犯我可以原谅你。事实是，一处旧伤让我左腿跛行，而这跛行使我无法走过中庭那条街。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.14410} 造桥人有个传统。第一台机车驶过桥面时，桥的建筑师必须站在桥下。如果桥撑不住，建筑师会立刻为自己的拙劣工作受罚。可到了你这里，受罚的不是建筑师。是雇主。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.2253} 你指望我相信这个？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.15758} 我上学时，有时会为没做作业编些荒唐借口。你这话听起来就像其中一种。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.16464} 走吧。这场谈话结束了。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.20848} 摆出一副受辱的姿态，是结束一场不愉快谈话的便利办法。但它不能替你洗脱罪责。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.32657} 我同意。我们没什么可谈的了。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.14403} 至少告诉我这一点：有没有办法在这条街毁掉另一个人之前解除它的武装？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.32463} 如果你建造物体的方式也像你组织这场谈话一样，那它们运转得如此糟糕，我并不意外。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.5203} 抱歉。我不是有意伤害你的感情。我只是想弄清楚发生了什么。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.14815} 要我告诉你我看见了什么吗？我看见我毕生的工作被毁了。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.12585} 看着我的眼睛告诉我：我在撒谎吗？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.5183} 有人告诉我，那条街做的恰恰相反。它并不展示变体，而是把它们压缩成唯一一个——最坏的那个。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.13731} 此后，故因此。所以你和卡尔明斯基的谈话同那场处决无关？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.9945} 卡尔明斯基出现时，我确信他是来找我的，确信今天就是我被处决的日子。所以我尽可能坦白地回答了他所有问题。我把能说的一切都说了。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.11004} 你为什么认定卡尔明斯基可能惩罚你？有什么该受罚的理由？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.1328} 别装天真，丹科夫斯基，这不适合你。任何和不可能物体打交道的人，都随时准备看见审判官出现在自己门口。我只不明白一件事：为什么他决定定罪的是维克多，而不是我？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.1713} 看来卡尔明斯基是借你去拿下维克多。他需要一个借口，而你成了那个借口。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.13364} 恶心。我从没想过自己会知道落在别人手里当棋子的滋味。我只不明白一件事：为什么是我？卡尔明斯基为什么偏偏来找我？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.32668} 你甚至不知道自己在中庭造出的到底是什么，对吗？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.25035} 卡尔明斯基问过你中庭街的事吗？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.3370} 他问我的正是这个。我实在不明白，为什么偏偏是这条街如此激起了他的兴趣。若有人问起我的作品，这条街会是我最后想起来的。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.8655} 你到底说了维克多·凯恩什么？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.784} 什么也没有，除了说他是我的雇主。还有，他是凯恩家里最讲理、最脚踏实地的一个。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.16178} 这不像是足以处决的理由。你在隐瞒什么。为什么维克多·凯恩要为中庭那条街付出理智？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.12263} 你甚至不知道自己在中庭造出的到底是什么，对吗？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.1073} 多荒唐的问题。我造出的每一件物体，我都像了解自己一样了解它。中庭那条街也不例外。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.29089} 我走过你的街。我可以极其肯定地说：你造出了一个怪物。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.19961} 你自己有没有试着走过它？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.23036} 那为什么维克多·凯恩要为这条街付出理智？它到底有什么特别之处？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.11084} 我不知道。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.22378} 你就只想说这个？我几乎可以肯定，你和审判官谈话时要健谈得多。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.14814} 就在一分钟前，你还告诉我，你像了解自己一样了解自己造出的每一件物体。现在又不了解了？
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.23856} 我觉得问题不在那条街。是别的什么。具体是什么，我不知道。
{Dialogs2.Days.Day7.Day7_Q2_BrokenStreet.Day7_Q2_Yulia_Innocent.32330} 我知道自己一无所知。
