{Dialogs2.Days.Day8.Day8_Q13_BetrayalOfAndrey.Day8_Q13_Inquisitor_Warning.9478} 还有别的吗？
{Dialogs2.Days.Day8.Day8_Q13_BetrayalOfAndrey.Day8_Q13_Inquisitor_Warning.42843} 有人正在谋划刺杀你，审判官。职责要求我警告你。
{Dialogs2.Days.Day8.Day8_Q13_BetrayalOfAndrey.Day8_Q13_Inquisitor_Warning.21524} 是吗？我承认，丹科夫斯基，你让我惊讶了。我的工作是读懂人，而我原以为你并不十分欢迎我出现在这里。
{Dialogs2.Days.Day8.Day8_Q13_BetrayalOfAndrey.Day8_Q13_Inquisitor_Warning.28586} 有时我也会让自己惊讶。
{Dialogs2.Days.Day8.Day8_Q13_BetrayalOfAndrey.Day8_Q13_Inquisitor_Warning.55165} 我们也许有分歧，但我不希望看见你死。
{Dialogs2.Days.Day8.Day8_Q13_BetrayalOfAndrey.Day8_Q13_Inquisitor_Warning.51929} 那么这些勇敢的人是谁？他们具体计划做什么，又为什么？把名字告诉我。我在听。
{Dialogs2.Days.Day8.Day8_Q13_BetrayalOfAndrey.Day8_Q13_Inquisitor_Warning.41172} 安德烈·斯塔马京这个名字听起来熟吗？
{Dialogs2.Days.Day8.Day8_Q13_BetrayalOfAndrey.Day8_Q13_Inquisitor_Warning.34352} 那个失宠的建筑师，在批评和指控进入法庭前就逃离首都。你的大学朋友。当然。等在阁楼里要见我的就是他，对吗？他穿成了他的兄弟彼得。
{Dialogs2.Days.Day8.Day8_Q13_BetrayalOfAndrey.Day8_Q13_Inquisitor_Warning.9664} 所以你知道？你知道安德烈和彼得交换了身份？
{Dialogs2.Days.Day8.Day8_Q13_BetrayalOfAndrey.Day8_Q13_Inquisitor_Warning.12463} 我的人已经报告过：起初被制服又安静的彼得，如今变得健谈，并且反常地放肆。
{Dialogs2.Days.Day8.Day8_Q13_BetrayalOfAndrey.Day8_Q13_Inquisitor_Warning.21340} 所以你才允许我去见他。
{Dialogs2.Days.Day8.Day8_Q13_BetrayalOfAndrey.Day8_Q13_Inquisitor_Warning.64903} 把它当作一次实验吧。据我所见，这座小镇很热衷实验——我不过是采纳这种方法。谢谢你的情报，丹科夫斯基医生。它很有价值。我不会忘记你今日为我做的事。
{Dialogs2.Days.Day8.Day8_Q13_BetrayalOfAndrey.Day8_Q13_Inquisitor_Warning.25251} 我也不会忘记我做了什么。
{Dialogs2.Days.Day8.Day8_Q13_BetrayalOfAndrey.Day8_Q13_Inquisitor_Warning.48209} 我不是为了你，而是为了这座城。
{Dialogs2.Days.Day8.Day8_Q13_BetrayalOfAndrey.Day8_Q13_Inquisitor_Warning.27484} 我希望自己不会后悔今天的选择。
{Dialogs2.Days.Day8.Day8_Q13_BetrayalOfAndrey.Day8_Q13_Inquisitor_Warning.51313} 宁取最不公的和平，也胜过最正义的战争。
