{Dialogs2.Days.Day8.Day8_Q15.1_DecreesSaving.Day8_Q15.1_Kuron_NoDecrees.27791} 日安，医生。您找我们尊敬的审判官有事吗？
{Dialogs2.Days.Day8.Day8_Q15.1_DecreesSaving.Day8_Q15.1_Kuron_NoDecrees.64726} 我找的是<i>你</i>，赫伦。关于紧急指挥部，有许多事要处理。
{Dialogs2.Days.Day8.Day8_Q15.1_DecreesSaving.Day8_Q15.1_Kuron_NoDecrees.62510} 我能献上的只有慰问。
{Dialogs2.Days.Day8.Day8_Q15.1_DecreesSaving.Day8_Q15.1_Kuron_NoDecrees.1140} 他们指控你什么了吗？还是传唤你作证？我会尽力把你弄出去。
{Dialogs2.Days.Day8.Day8_Q15.1_DecreesSaving.Day8_Q15.1_Kuron_NoDecrees.21442} 我是你无能的见证人，不过别担心——我不是以那个身份来的。\n\n昨天我花了一整天观察审判官卡明斯基到来后的影响，并做了一些计算。结果是，我决定转去为他服务，担任临时助理。
{Dialogs2.Days.Day8.Day8_Q15.1_DecreesSaving.Day8_Q15.1_Kuron_NoDecrees.49054} 什么？！
{Dialogs2.Days.Day8.Day8_Q15.1_DecreesSaving.Day8_Q15.1_Kuron_NoDecrees.58558} 审判官卡明斯基极其认真地接受了我的提议，并且已经交给我一些远比你给我的工作有意义的任务。你当然明白，细节我不能透露——审判庭不是你那套过家家的紧急指挥部。\n\n所以，恕我失陪，我得回去工作了。
{Dialogs2.Days.Day8.Day8_Q15.1_DecreesSaving.Day8_Q15.1_Kuron_NoDecrees.57760} 我早该料到你会这样。
{Dialogs2.Days.Day8.Day8_Q15.1_DecreesSaving.Day8_Q15.1_Kuron_NoDecrees.17934} 很高兴我们想法一致。Boös（兄长） Vlad（大弗拉德）派我到您身边，是为了在紧急状态下维持秩序。\n\n但您，医生，您本身就是另一种紧急状态。我无力与您抗衡。然而我宁愿帮助灭火的人，而不是点火的人。
{Dialogs2.Days.Day8.Day8_Q15.1_DecreesSaving.Day8_Q15.1_Kuron_NoDecrees.62206} 抛弃紧急指挥部，怎么能算“维持秩序”？
{Dialogs2.Days.Day8.Day8_Q15.1_DecreesSaving.Day8_Q15.1_Kuron_NoDecrees.31851} 我认为，注定失败的事业就该被放弃，而不是靠一个人的劳动和技能，维持它痛苦的濒死抽搐。我不会回紧急指挥部。
{Dialogs2.Days.Day8.Day8_Q15.1_DecreesSaving.Day8_Q15.1_Kuron_NoDecrees.37700} 很不幸，紧急指挥部的案头比以往任何时候都更需要你。关于法令的全部文档……阵亡了。
