{Dialogs2.Days.Day8.Day8_Q16_PlagueDevouring.Day8_Q16_Watson_Discovery.27266} 你看见了！看见了，对吧？挺壮观，不是吗？
{Dialogs2.Days.Day8.Day8_Q16_PlagueDevouring.Day8_Q16_Watson_Discovery.28087} 老实说，我几乎没来得及看一眼。那座该死的封板屋之后，我的手还在发抖。
{Dialogs2.Days.Day8.Day8_Q16_PlagueDevouring.Day8_Q16_Watson_Discovery.23734} 那我直说了——我实在等不及！太异常了……你看，瘟疫菌体在另一种感染里面。像是在吞噬它。
{Dialogs2.Days.Day8.Day8_Q16_PlagueDevouring.Day8_Q16_Watson_Discovery.12933} 什么？你确定？
{Dialogs2.Days.Day8.Day8_Q16_PlagueDevouring.Day8_Q16_Watson_Discovery.6037} 一开始我以为是眼花，但不是——它确实钻进另一种病里，好像要先清算那边，再转向健康细胞……所以我们的“持久”病人才能活那么久！沙疫并不是马上想杀死他们——它先去咬他们身上的另一种病！
{Dialogs2.Days.Day8.Day8_Q16_PlagueDevouring.Day8_Q16_Watson_Discovery.55220} 我原以为那只是免疫系统对二重感染的反应。这依然成立，不过——
{Dialogs2.Days.Day8.Day8_Q16_PlagueDevouring.Day8_Q16_Watson_Discovery.12966} 不过它被另一种疾病分了心——想击败它，成为其中最强的那个。它容不下竞争。
{Dialogs2.Days.Day8.Day8_Q16_PlagueDevouring.Day8_Q16_Watson_Discovery.21214} 小家伙，别给瘟疫安上意图。这里不需要诗，也不需要隐喻。
{Dialogs2.Days.Day8.Day8_Q16_PlagueDevouring.Day8_Q16_Watson_Discovery.18092} 我在您眼里一定像个傻瓜吧？为这点事高兴得像发现了什么伟大发现……可它到底有什么用？
{Dialogs2.Days.Day8.Day8_Q16_PlagueDevouring.Day8_Q16_Watson_Discovery.44616} 你的兴奋完全合理。我们观察到一种未被研究疾病的新性质。仅这一点就有价值。
{Dialogs2.Days.Day8.Day8_Q16_PlagueDevouring.Day8_Q16_Watson_Discovery.48017} 您是学者，您更懂。我懂什么……那现在我们大概该检查这里所有病人，看看是不是也一样，对吗？只是为了确定。您一句话，我马上开始。
{Dialogs2.Days.Day8.Day8_Q16_PlagueDevouring.Day8_Q16_Watson_Discovery.42741} 是，去做。还有，小家伙，我一直在想……
{Dialogs2.Days.Day8.Day8_Q16_PlagueDevouring.Day8_Q16_Watson_Discovery.31407} 是，医生？
{Dialogs2.Days.Day8.Day8_Q16_PlagueDevouring.Day8_Q16_Watson_Discovery.1622} 不，没什么。回去做你的事。
{Dialogs2.Days.Day8.Day8_Q16_PlagueDevouring.Day8_Q16_Watson_Discovery.60983} 一个疯狂的念头。想象一下：一个病人感染了沙疫。倘若他——先不论如何——撑了过去，他原本携带的一切疾病都会被治好。由瘟疫本身治好。
{Dialogs2.Days.Day8.Day8_Q16_PlagueDevouring.Day8_Q16_Watson_Discovery.5938} 所以沙疫也可能是药？能治任何病？说得通——如果它会先烧尽其他疾病！
{Dialogs2.Days.Day8.Day8_Q16_PlagueDevouring.Day8_Q16_Watson_Discovery.57170} 是——一种药。前提是身体能经受这种试炼，而这不太可能。
{Dialogs2.Days.Day8.Day8_Q16_PlagueDevouring.Day8_Q16_Watson_Discovery.62752} 哎呀……我脑子都转不过来了！不过反过来说……您听见街上的传言了吗？有人说瘟疫根本不是惩罚，而是净化。人必须穿过熔炉，然后重生。我一直以为那是胡话——可从您嘴里说出来……
{Dialogs2.Days.Day8.Day8_Q16_PlagueDevouring.Day8_Q16_Watson_Discovery.36865} 我听起来像个本地疯子。谢谢你——把我拉回地面。
{Dialogs2.Days.Day8.Day8_Q16_PlagueDevouring.Day8_Q16_Watson_Discovery.51370} 虽说承认起来很奇怪，那些流言里也许有一点真相。瘟疫或许能服务于进步。
{Dialogs2.Days.Day8.Day8_Q16_PlagueDevouring.Day8_Q16_Watson_Discovery.53291} 我自己也没有完全确信……我这过于大胆的猜想，暂时只留在我们两人之间吧。
{Dialogs2.Days.Day8.Day8_Q16_PlagueDevouring.Day8_Q16_Watson_Discovery.1727} 不只是药。是不朽的配方。
{Dialogs2.Days.Day8.Day8_Q16_PlagueDevouring.Day8_Q16_Watson_Discovery.9195} 就在今早我还在想：如果我们有个好几天都没接受治疗的并发病人就好了。也许能看见些了不得的东西！我本想问您——结果您就在那座封板屋里找到了这样一个人！所以现在我们大概该检查这里所有病人，看看是不是也一样，对吗？只是为了确定。您一句话，我马上开始。
{Dialogs2.Days.Day8.Day8_Q16_PlagueDevouring.Day8_Q16_Watson_Discovery.44426} 是你自己指出，现在我们对并发病人的状况有了更清楚的解释。
{Dialogs2.Days.Day8.Day8_Q16_PlagueDevouring.Day8_Q16_Watson_Discovery.13685} 确实，我们离实际应用还很远……但这很可能是战胜沙疫的一步。
{Dialogs2.Days.Day8.Day8_Q16_PlagueDevouring.Day8_Q16_Watson_Discovery.55831} 破坏力被推至绝对……它同样令我着迷。非凡的现象。
{Dialogs2.Days.Day8.Day8_Q16_PlagueDevouring.Day8_Q16_Watson_Discovery.20581} 所以沙疫是如此高效的细胞内寄生物？能够攻击其他病原体……嗯。
{Dialogs2.Days.Day8.Day8_Q16_PlagueDevouring.Day8_Q16_Watson_Discovery.26803} 我几乎不敢相信自己的眼睛。瘟疫竟然强行……直接钻进了继发病原体？
{Dialogs2.Days.Day8.Day8_Q16_PlagueDevouring.Day8_Q16_Watson_Discovery.41283} 是的！一开始我以为是眼花，但不是——它确实钻进另一种病里，好像要先清算那边，再转向健康细胞……所以我们的“持久”病人才能活那么久！沙疫并不是马上想杀死他们——它先去咬他们身上的另一种病！
