{Dialogs2.Days.Day8.Day8_Q18_ArchivesInvestigation.Day8_Q18_Servants_LeaveThemAlone.31522} 有什么能为您效劳？给您倒茶，还是接外套？
{Dialogs2.Days.Day8.Day8_Q18_ArchivesInvestigation.Day8_Q18_Servants_LeaveThemAlone.25672} 你为奥尔吉姆斯基家工作多久了？
{Dialogs2.Days.Day8.Day8_Q18_ArchivesInvestigation.Day8_Q18_Servants_LeaveThemAlone.6427} 从我记事起就是。我父亲在我之前就在这里服侍——从小教我照看地毯，给菜配正确的叉子，用香料做库列比亚卡。
{Dialogs2.Days.Day8.Day8_Q18_ArchivesInvestigation.Day8_Q18_Servants_LeaveThemAlone.1312} 块垒里的仆人都是这样。这里不收来路不明的人。
{Dialogs2.Days.Day8.Day8_Q18_ArchivesInvestigation.Day8_Q18_Servants_LeaveThemAlone.1329} 大弗拉德待你好吗？在你看来，他是什么样的人？
{Dialogs2.Days.Day8.Day8_Q18_ArchivesInvestigation.Day8_Q18_Servants_LeaveThemAlone.38626} 他是个公正的人——这才重要。严厉，但公正。他有时会发怒，不过谁不会呢？这么多年里，他只揪着我的头发拖过我一次。那次也是我的错——我把炖卷心菜放咸了。
{Dialogs2.Days.Day8.Day8_Q18_ArchivesInvestigation.Day8_Q18_Servants_LeaveThemAlone.37952} 奥尔吉姆斯基因为菜太咸就揪着你的头发拖你？
{Dialogs2.Days.Day8.Day8_Q18_ArchivesInvestigation.Day8_Q18_Servants_LeaveThemAlone.11508} 那可不是普通的菜！猪肉香肠土豆炖卷心菜——布尔斯最喜欢。还有库列比亚卡。这两样绝不能太咸。所有人都知道。
{Dialogs2.Days.Day8.Day8_Q18_ArchivesInvestigation.Day8_Q18_Servants_LeaveThemAlone.16436} 有传言说前些天奥尔吉姆斯基家被盗了。是真的吗？
{Dialogs2.Days.Day8.Day8_Q18_ArchivesInvestigation.Day8_Q18_Servants_LeaveThemAlone.40424} 被盗——我们？我不知道。我敢肯定，哪怕有一样东西挪了地方，我也会第一个知道。听见了吗，奥斯塔普？他们说我们这里被偷了东西。
{Dialogs2.Days.Day8.Day8_Q18_ArchivesInvestigation.Day8_Q18_Servants_LeaveThemAlone.61352} 真有事，也只会是蚂蚁从糖罐里偷糖。我已经值了一整周班，什么都没见过。不，不可能。都是流言闲话！
{Dialogs2.Days.Day8.Day8_Q18_ArchivesInvestigation.Day8_Q18_Servants_LeaveThemAlone.39442} 再说了，谁清醒时会去偷布尔斯？镇上没有那样的傻子。
{Dialogs2.Days.Day8.Day8_Q18_ArchivesInvestigation.Day8_Q18_Servants_LeaveThemAlone.8628} 嗯。但如果没有失窃，那伊西多尔的档案一定还在屋里，对吧？他五年前写下的瘟疫笔记。
{Dialogs2.Days.Day8.Day8_Q18_ArchivesInvestigation.Day8_Q18_Servants_LeaveThemAlone.3909} 这个我不知道。我负责清洁和秩序。我在这里时没有发生任何盗窃，如果你怀疑我——可以自己看看。你找不到这种事的痕迹。要是你有的是老爷们的事——就去找布尔斯问他。
{Dialogs2.Days.Day8.Day8_Q18_ArchivesInvestigation.Day8_Q18_Servants_LeaveThemAlone.41260} 如果你不介意，我确实想四处看看。之后，也许我也会同大弗拉德谈谈。
{Dialogs2.Days.Day8.Day8_Q18_ArchivesInvestigation.Day8_Q18_Servants_LeaveThemAlone.61307} 我毫不怀疑你尽心履行职责。
{Dialogs2.Days.Day8.Day8_Q18_ArchivesInvestigation.Day8_Q18_Servants_LeaveThemAlone.5378} 有意思。那么赫伦或卡尔敏斯基，至少有一人就失窃一事说了谎。
{Dialogs2.Days.Day8.Day8_Q18_ArchivesInvestigation.Day8_Q18_Servants_LeaveThemAlone.33397} 你听说过伊西多尔·布拉赫关于第一次暴发的档案吗？他们说你的主人保管着它们。
{Dialogs2.Days.Day8.Day8_Q18_ArchivesInvestigation.Day8_Q18_Servants_LeaveThemAlone.47731} 我们是小人物。我们的任务很简单——维持秩序，照管清洁。老爷们的事就是老爷们的事——我们不把鼻子伸进去。
