{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.13153} 学者。你知道，我明白你为什么来。
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.18691} 我就这么好猜吗？
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.13339} 别往心里去。每个人都好猜。你来，是为了那个镇民称作换生灵的女孩。
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.23008} 我听说审判庭在每座城、每座镇都有一整张情报网。真好奇是谁把我供出来的。
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.9739} 这与什么情报人无关。读人是我的工作。昨天我注意到，你在克拉拉面前多么不安。我理解你，也理解那种感觉。
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.21819} 你到底怎么能在这里工作？这座教堂简直疯透了。
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.31118} 你太小看审判庭了，丹科夫斯基。我们处理不可能之物的经验相当丰富。
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.31363} 我第一次到这里时，天花板上正往下落雨。
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.20720} 不算什么大事。我带了伞。
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.9003} 看来审判官确实强大，连雨都能叫它停下。
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.7757} 这比看起来容易。为什么问这些？我知道你为什么来，丹科夫斯基。困扰你的不是室内降水，而是某个特定的人——她像教堂里的雨一样不可预测。
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.27096} 这是玩笑吗？
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.30470} 也许。为什么问这些？我知道你为什么来，丹科夫斯基。困扰你的不是室内降水，而是某个特定的人——她像教堂里的雨一样不可预测。
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.22096} 我第一次到这里时，总有些透明的人影在这里出现。我还以为自己疯了。
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.16500} 审判庭驻留期间，所有透明人影都已迁走。我们给他们安排了临时住处。
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.9307} 这是玩笑吗？
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.16357} 也许。这些话究竟要说到哪里？我确实知道你为什么来，丹科夫斯基。困扰你的不是那些透明人影，而是某个特定的人影。而她让你困扰的地方，恰恰在于她对你一点也不透明。换生灵。
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.24079} 哦？审判庭连鬼魂都能迁走？
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.30413} 这比看起来容易。为什么问这些？我确实知道你为什么来，丹科夫斯基。困扰你的不是那些透明人影，而是某个特定的人影。而她让你困扰的地方，恰恰在于她对你一点也不透明。换生灵。
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.27005} 可以这么说。我来谈克拉拉。萨布罗夫家的女儿，记得吗？
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.26124} 你怎么知道？
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.30099} 读人是我的工作。昨天我注意到，你在克拉拉面前多么不安。我理解你，也理解那种感觉。
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.19249} 顺便问一句，大教堂看守者在哪里？入口处有个可疑人物，警告说不该在教堂里浪费时间，也不要唱借来的歌。
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.31232} 为什么问这些？我确实知道你为什么来，丹科夫斯基。你不是来讨论大教堂看守者的，而是另一个完全不同的人。所以，说吧。
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.27327} 有人告诉我，审判庭知道每个人的一切。你们到处都有耳目。
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.16552} 不是告密者，是情报人。告密者，我们不容忍；情报人，我们尊重，也照料。
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.1676} 有什么区别？你怎么分辨告密者和情报人？
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.27813} 就像你分辨瘟疫和普通感冒一样，医生。靠经验。
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.5737} 那这个比喻里，谁是谁？我猜告密者是瘟疫，情报人是普通感冒？
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.6801} 这话题倒少见。为什么问这些？你想要什么，丹科夫斯基？你想成为我的情报人吗？
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.6380} 你说你知道我为什么来。那是为什么？
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.21782} 克拉拉。又名换生灵。又名亚历山大·萨布罗夫的养女。不过若我没记错，就在昨天，亚历山大·萨布罗夫正是在这里同她断绝了关系。这样一来，她就是他的前女儿了。如果能这么说的话。
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.8887} 好吧。你的情报人对克拉拉，萨布罗夫家的女儿，都说了些什么？
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.6556} 我来谈克拉拉。萨布罗夫家的女儿，记得吗？
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.19575} 若我没记错，亚历山大·萨布罗夫昨天正是在这里同她断绝了关系。这样一来，她就是他们的前女儿了。如果能这么说的话。
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.3387} 你知道他们怎么说她吗？
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.28837} 这个问题太含糊了，丹科夫斯基。我们什么都知道。问题是，你究竟关心什么？
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.7416} 你昨天亲口说过：她是在疫病开始那天出现在城里的。你说她把沙疫带进了这座城。
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.19587} 所以你现在就这样把我的话还给我。不错，不错。基于这些指控，你想从我这里得到——究竟什么？
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.14403} 你知道我想要什么。你知道我为什么来。
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.5415} 她声称自己能用触碰治愈他人。
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.12536} 我必须承认，克拉拉具备很不寻常的特质。她与不可能之物有某些相通之处。
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.23432} 你相信这是真的吗？
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.11993} 我不认为你来这里，是为了同我讨论关于克拉拉的传闻。你有事求我。
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.6852} 我认为她应当被隔离。越快越好。这就是我来求你的事。
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.6661} 所以，你是在要求我拘押一个人，只因为你不喜欢她的治疗方法。
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.5035} 她的“治疗方法”会让病人的数量增加。而治疗方法本该做的，恰恰相反。
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.32559} 我认为她应当被隔离。越快越好。在她造成更多伤害之前。
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.31460} 我听到了什么？丹尼尔·丹科夫斯基也想加入审判庭情报人的行列了。
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.27290} 我不想加入任何行列。我只是关心这座城和城里的人。换生灵显然是这座城的威胁。
{Dialogs2.Days.Day8.Day8_Q2_ChangelingArrest.Day8_Q2_Karminskiy_ArrestChangeling.4550} 看来昨天的审判没有让你毫发无伤。你已经尝到滋味了。我理解。指控别人是愉快的。不过我至少能听到一条论据吗？你为什么认为克拉拉需要被隔离？
