{Dialogs2.Days.Day8.Day8_Q5_VladSacrifice.Day8_Q5_Kapella_Brother.40590} 你的脚步很沉。像带来灾祸的人。你带来了灾祸，是不是？
{Dialogs2.Days.Day8.Day8_Q5_VladSacrifice.Day8_Q5_Kapella_Brother.49141} 你怎么知道？
{Dialogs2.Days.Day8.Day8_Q5_VladSacrifice.Day8_Q5_Kapella_Brother.49939} 女主人们不能不知道这些事。也不能不感觉到它们。
{Dialogs2.Days.Day8.Day8_Q5_VladSacrifice.Day8_Q5_Kapella_Brother.47858} 所以你已经知道你哥哥的命运了？
{Dialogs2.Days.Day8.Day8_Q5_VladSacrifice.Day8_Q5_Kapella_Brother.36185} 他心上早就压着一块巨石。那块巨石对他太重了，把他往地下压。事情总是这样：罪疚的负担会把人赶进地下，而对此无计可施。
{Dialogs2.Days.Day8.Day8_Q5_VladSacrifice.Day8_Q5_Kapella_Brother.61582} 无计可施，真的吗？这座镇里全是宿命论者，还是说也剩下几个正常人？
{Dialogs2.Days.Day8.Day8_Q5_VladSacrifice.Day8_Q5_Kapella_Brother.48874} 什么巨石？到底是什么在折磨他？
{Dialogs2.Days.Day8.Day8_Q5_VladSacrifice.Day8_Q5_Kapella_Brother.31051} 弗拉德对痛苦很敏感。不像父亲。他无法忍受看见这座镇建在金族人的骨头上。他想创造属于自己的东西，一种地基里没有骨头的东西，但他不够强大。当他看清这一点，他就再没有别的选择了。
{Dialogs2.Days.Day8.Day8_Q5_VladSacrifice.Day8_Q5_Kapella_Brother.32826} 而你没有阻止他？你明明全都知道，却没有？
{Dialogs2.Days.Day8.Day8_Q5_VladSacrifice.Day8_Q5_Kapella_Brother.17167} 我试过。当然试过。这些天，我哥哥几乎没有离开过破碎之心酒馆。什么事也做不进去。我每天都去看他。我们谈过。今天，我又去了，却没在那里找到他。我同他的罪疚搏斗，而他的罪疚赢了。
{Dialogs2.Days.Day8.Day8_Q5_VladSacrifice.Day8_Q5_Kapella_Brother.17598} 请节哀。
