{Dialogs2.Days.Day8.Day8_Q8_MariaWakeUp.Day8_Q8_RatProphet_Devouring.45972} 人类。
{Dialogs2.Days.Day8.Day8_Q8_MariaWakeUp.Day8_Q8_RatProphet_Devouring.51785} 鼠。
{Dialogs2.Days.Day8.Day8_Q8_MariaWakeUp.Day8_Q8_RatProphet_Devouring.23810} 我知道你要去哪儿。我知道你在找什么。三天前我求你饶过我的族类，而你守了诺言，人类。你没有屈服于诱惑，让我的同胞活了下来。现在我欠你。我可以帮你，你只需要开口。
{Dialogs2.Days.Day8.Day8_Q8_MariaWakeUp.Day8_Q8_RatProphet_Devouring.30785} 你怎么知道我在找什么？
{Dialogs2.Days.Day8.Day8_Q8_MariaWakeUp.Day8_Q8_RatProphet_Devouring.17664} 我在找离开这座城的办法。最好是活着离开。
{Dialogs2.Days.Day8.Day8_Q8_MariaWakeUp.Day8_Q8_RatProphet_Devouring.3234} 你要去玛丽亚·凯纳的宅邸。我知道原因。今晚她会做一个真梦。那梦会像玻璃碎片一样刺穿审判官的喉咙。你想改变她的梦。你想抹掉它。我可以帮忙。我能吃掉她的梦，她就什么也看不见。
{Dialogs2.Days.Day8.Day8_Q8_MariaWakeUp.Day8_Q8_RatProphet_Devouring.37512} 了不起。我开始相信你是先知了。
{Dialogs2.Days.Day8.Day8_Q8_MariaWakeUp.Day8_Q8_RatProphet_Devouring.55405} 我不会给自己取一个不诚实的名字。大声说：“哦，鼠先知，梦与呻吟的吞噬者，我召唤你。吃掉玛丽亚·凯纳的真梦。”这样我们的交易就会成立。
{Dialogs2.Days.Day8.Day8_Q8_MariaWakeUp.Day8_Q8_RatProphet_Devouring.7022} 吃掉？你怎么能“吃掉”别人的梦？
{Dialogs2.Days.Day8.Day8_Q8_MariaWakeUp.Day8_Q8_RatProphet_Devouring.19725} 你不必理解，人类。你只需要开口。大声说：“哦，鼠先知，梦与呻吟的吞噬者，我召唤你。吃掉玛丽亚·凯纳的真梦。”这样我们的交易就会成立。
{Dialogs2.Days.Day8.Day8_Q8_MariaWakeUp.Day8_Q8_RatProphet_Devouring.43371} 哦，鼠先知，梦与呻吟的吞噬者，我召唤你。吃掉玛丽亚·凯纳的真梦。祝你胃口好。
{Dialogs2.Days.Day8.Day8_Q8_MariaWakeUp.Day8_Q8_RatProphet_Devouring.33452} 你的滑稽反而让它更好了。你祝我用餐愉快。恭喜你，人类，你做成了一笔很好的交易。而我做成了一笔更好的。你要知道，真梦最甜。我已经很久没吃得这么好了。
{Dialogs2.Days.Day8.Day8_Q8_MariaWakeUp.Day8_Q8_RatProphet_Devouring.22474} 为什么没有我开口，你就不能自己吃掉她的梦？
{Dialogs2.Days.Day8.Day8_Q8_MariaWakeUp.Day8_Q8_RatProphet_Devouring.15009} 要吃别人的梦，我需要交易。必须有人承担意图的重负。你这样做了，我才能接近她的梦。
{Dialogs2.Days.Day8.Day8_Q8_MariaWakeUp.Day8_Q8_RatProphet_Devouring.51901} 好吧，随你。哦，鼠先知，梦与呻吟的吞噬者，我召唤你。吃掉玛丽亚·凯纳的真梦。
{Dialogs2.Days.Day8.Day8_Q8_MariaWakeUp.Day8_Q8_RatProphet_Devouring.41368} 可爱！哦，真可爱！恭喜你，人类，你做成了一笔很好的交易。而我做成了一笔更好的。你要知道，真梦最甜。我已经很久没吃得这么好了。
{Dialogs2.Days.Day8.Day8_Q8_MariaWakeUp.Day8_Q8_RatProphet_Devouring.12512} 你看起来得意得过分……不过我想现在太迟了。
{Dialogs2.Days.Day8.Day8_Q8_MariaWakeUp.Day8_Q8_RatProphet_Devouring.7927} 和童话生物做交易让我觉得自己荒唐透顶。最好值得。
{Dialogs2.Days.Day8.Day8_Q8_MariaWakeUp.Day8_Q8_RatProphet_Devouring.20099} 谢谢你，鼠。
{Dialogs2.Days.Day8.Day8_Q8_MariaWakeUp.Day8_Q8_RatProphet_Devouring.23703} 我不得不说，你这“交易”很臭。
