{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_HeFell.16392} 又是你？就不能放过这件事吗？
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_HeFell.2250} 你来来回回，像蜜蜂绕着一束花打转——这可能引来其他好奇的蜜蜂。我不希望镇民聚到现场来。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_HeFell.16060} 我和多面体楼梯上的孩子们谈过。我知道发生了什么。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_HeFell.39912} 所以你有目击证词？他们说了什么？
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_HeFell.51888} 他们说那个士兵试图攀爬多面体，然后摔死了。那是一场悲惨事故。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_HeFell.9049} 谢天谢地……抱歉，我知道这话听起来不好，但这真让我松了一大口气。如果这不是谋杀，我们就不必担心骚乱。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_HeFell.13494} 可怜的小伙子！他到底要上那碍眼东西顶上做什么？
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_HeFell.21500} 这有区别吗？他已经死了。其余都无关紧要。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_HeFell.45827} 说得也对。愿他安息。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_HeFell.52747} 谁知道呢。也许他被那建筑的宏伟迷住了。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_HeFell.16861} 他想帮忙。一位本地女人请他把她儿子从多面体里带回来。
