{Dialogs2.Days.Day9.Day9_Q6_LaraArrest.Day9_Q6_Block_Assault.28559} 那罗曼诺夫斯基和列维坦呢？他们在哪儿？
{Dialogs2.Days.Day9.Day9_Q6_LaraArrest.Day9_Q6_Block_Assault.16138} 卡在路上了。他们今晚会到，或者明天。
{Dialogs2.Days.Day9.Day9_Q6_LaraArrest.Day9_Q6_Block_Assault.19133} 真是一团糟。步枪箱不是在他们那里吗？我们拿什么武装士兵？木棍？
{Dialogs2.Days.Day9.Day9_Q6_LaraArrest.Day9_Q6_Block_Assault.20821} 一部分装备随第一排到了。我正想请示您，长官，我们给士兵发哪种弹？实弹还是空包弹？
{Dialogs2.Days.Day9.Day9_Q6_LaraArrest.Day9_Q6_Block_Assault.8945} 只有士兵能领弹药吗？我不是士兵，但我也用得上几发。
{Dialogs2.Days.Day9.Day9_Q6_LaraArrest.Day9_Q6_Block_Assault.27475} 谁放你进来的？你是谁？
{Dialogs2.Days.Day9.Day9_Q6_LaraArrest.Day9_Q6_Block_Assault.20674} 我还想问您呢，为什么这里没有卫兵？简直像谁都能从街上直接进来。
{Dialogs2.Days.Day9.Day9_Q6_LaraArrest.Day9_Q6_Block_Assault.19058} 丹尼尔·丹科夫斯基，医学专业的学者。我负责医院，也负责抗击疫情。
{Dialogs2.Days.Day9.Day9_Q6_LaraArrest.Day9_Q6_Block_Assault.19525} 没人放我进来。门没锁，我就进来了。
{Dialogs2.Days.Day9.Day9_Q6_LaraArrest.Day9_Q6_Block_Assault.32681} 杰尔扎文，去叫副官，有个人在这儿迷路了，让他们带他出去。只发空包弹，听见没有？他们把我扔到这里，就是为了败坏我的名声。“军队来了，见谁就开枪。”不准开火。这是命令。
{Dialogs2.Days.Day9.Day9_Q6_LaraArrest.Day9_Q6_Block_Assault.32376} 我没迷路，我是来见您的，长官。丹科夫斯基，负责医院。
{Dialogs2.Days.Day9.Day9_Q6_LaraArrest.Day9_Q6_Block_Assault.28619} 镇上还有医院？地图上没注意到。顺便，杰尔扎文，住处呢？士兵驻扎在哪里？
{Dialogs2.Days.Day9.Day9_Q6_LaraArrest.Day9_Q6_Block_Assault.19556} 那个……还没决定……
{Dialogs2.Days.Day9.Day9_Q6_LaraArrest.Day9_Q6_Block_Assault.2466} 什么叫还没决定？别这样丢我的脸！这里有两百人，明天还会再来两百人，我们把他们安置在哪儿？怎么，你打算让他们再去挖战壕，免得他们无聊？
{Dialogs2.Days.Day9.Day9_Q6_LaraArrest.Day9_Q6_Block_Assault.24613} 医院目前设在剧院大楼里。
