{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_SoulAndHalves_Repair.38875} 不行。它安静了。已经死了。
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_SoulAndHalves_Repair.64793} 我妈说，死了的心还能跳四十天。它不可能死那么久。快，给它钉上！
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_SoulAndHalves_Repair.47079} 塞不进去，就是塞不进去！我早说该把它塞进肚子里，不是嘴里。生命在肚子里，谁都知道！
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_SoulAndHalves_Repair.53130} 不对。机车的生命在前面，和司机在一起。火在那里，心也该在那里。大石头是这么告诉我的。
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_SoulAndHalves_Repair.11460} 你们拿着什么？哦！我的原型机！看起来还完整……
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_SoulAndHalves_Repair.68} 啊啊啊！滚开，恶毒的蛇！
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_SoulAndHalves_Repair.64641} 你杀了别的火车，对不对？就是因为你，它们才不再来找我们了？
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_SoulAndHalves_Repair.39119} 我们一直在想，却不知道它们为什么老是死。我们有一整座墓地——它们全都锈住了，哪儿也去不了。\n\n这全都怪你！你把火车的心偷走，装进箱子带跑了！现在火车彻底死了！
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_SoulAndHalves_Repair.41703} 如果火车很久以前就不来了，那就不可能是我的错。我以前从没来过这里。而且我也不擅长偷心。
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_SoulAndHalves_Repair.51800} 这倒是真的。以前没见过他。
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_SoulAndHalves_Repair.54077} 那他就是从未来偷心？
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_SoulAndHalves_Repair.27992} 先生，你会从未来偷心吗？
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_SoulAndHalves_Repair.30032} 我碰过的东西确实常有死去的倾向。这一点你们说中了。
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_SoulAndHalves_Repair.50567} 他承认了！他承认了！古加肯定也是你害的！
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_SoulAndHalves_Repair.14445} 你们自己说火车的心在前面。我坐在中间的车厢里。那我怎么够得到心？
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_SoulAndHalves_Repair.46034} 从肠子里过去，所有门库都是这么干的。
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_SoulAndHalves_Repair.55292} 年轻的朋友，不能从肠道通向心脏。你会先撞上完全不同的部位。
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_SoulAndHalves_Repair.43360} 你们为什么会觉得我的原型机是火车的心？
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_SoulAndHalves_Repair.11012} 因为它是铁做的，不是吗？
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_SoulAndHalves_Repair.58545} 而且它是圆的。
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_SoulAndHalves_Repair.4269} 我摆弄它的时候，它还会滴答响。
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_SoulAndHalves_Repair.1373} 那就说明它是心！火车的心！
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_SoulAndHalves_Repair.39465} 是。也可能是一块怀表。
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_SoulAndHalves_Repair.44203} 没有它，火车就不再哀号了。也不动了。那就说明它死了！所以这就是它的心！很明显吧？
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_SoulAndHalves_Repair.23804} 嗯，这有点过于简单了。对刺激作出反应只是生命的特征之一，并不完整。
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_SoulAndHalves_Repair.34032} 还有什么？
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_SoulAndHalves_Repair.5255} 遗传。
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_SoulAndHalves_Repair.41287} 以前，火车每周都来。后来两周来一次。现在两个月才来一次，甚至更少。而且它们再也不开走，只是躺在那里等。
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_SoulAndHalves_Repair.35619} 是因为打仗。
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_SoulAndHalves_Repair.6176} 不是！是因为它们不再爱我们了！可要是我们治好这一辆，它们就会重新爱我们，就会回来，还会带蛋白甜饼！
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_SoulAndHalves_Repair.52156} 听着。我的原型机不是火车的心，也绝对修不好火车。但它本身确实很有意思，所以我们做个交易。你们把它还给我，我告诉你们它怎么运作。
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_SoulAndHalves_Repair.58834} 我不知道……
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_SoulAndHalves_Repair.12797} 故事里会有尸体。一大堆尸体。
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_SoulAndHalves_Repair.39046} 那些尸体，是被捅死的，还是被勒死的？金族人绝不能切割，他们只会勒死。所以如果是被捅的，就不是金族人干的！
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_SoulAndHalves_Repair.14501} ……故事里还会有一位姑娘。当然，是身陷危难的姑娘。
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_SoulAndHalves_Repair.5128} 她漂亮吗？
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_SoulAndHalves_Repair.45892} 我的天才且令人难以忍受的助手也会出现在故事里。他对细节近乎惹人发狂的执着，以及遮遮掩掩的政治暗示，能把圣人都逼进坟墓。
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_SoulAndHalves_Repair.38110} 哦，妈妈也这么说过马雷克先生，然后他就在棚子里上吊了！
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_SoulAndHalves_Repair.55709} ……看这里。让我拿着原型机。我不会跑，保证。要给它上劲，你得把这个把手顺时针转。
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_SoulAndHalves_Repair.40008} 适应。
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_SoulAndHalves_Repair.60768} 死亡性。
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_SoulAndHalves_Repair.18969} 我不知道该怎么让你们明白，我的原型机和火车没有关系。看，它们用的金属都不一样。
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_SoulAndHalves_Repair.35142} 可是你知道的，人外面看起来也不怎么亮闪闪。里面却全是红的。
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_SoulAndHalves_Repair.24621} 不，他说得对。身体有不同的层，可肉都是肉做的。布拉赫爷爷就是这么说的。
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_SoulAndHalves_Repair.25201} 也可能是炸弹。
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_SoulAndHalves_Repair.15739} 也可能是审判庭的徽记。你们知道，他们的象征是一颗铁心。代表敏锐与头脑清明。至少大家都这么说。
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_SoulAndHalves_Repair.64023} 也可能就是我该死的原型机，而你们下一秒就要把它弄坏了！
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_SoulAndHalves_Repair.16771} 你是耶奇卡，对吧？你说得对。火车的生命在机车里，而机车<i>确实</i>位于前端。
