{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_Worker_Possessions.7822} 我说……竟然有个活生生的人从我们这班车上下来了？
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_Worker_Possessions.43766} 你们这儿平常只接死人吗？
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_Worker_Possessions.39559} 你从哪儿来的？
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_Worker_Possessions.32571} 火车——正如你自己指出的那样。
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_Worker_Possessions.49529} 首都。丹尼尔·丹科夫斯基，医学学士。听说这里住着一位所谓的不死人，西蒙·凯恩。我是来研究他的。
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_Worker_Possessions.101} 我大学同学对这个问题有个标准答案。和解剖学有关。
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_Worker_Possessions.25229} 你盯着我干什么，像只井底之蛙？我的行李就在你眼皮底下被偷了！
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_Worker_Possessions.55083} 哦……你们城里人出门都要带二十箱衬衫？还是您已经精简到十箱了，先生？
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_Worker_Possessions.24309} 我带了几箱并不重要，重要的是它们第一分钟就被人偷了……
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_Worker_Possessions.7716} 八箱，不过最后一箱我得坐在上面才合得上。哪里能找到警员？我要找谁追回被盗财物？
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_Worker_Possessions.44343} 衬衫？你这木头脑袋，里面是我的器材！你知道显微镜<i>是什么</i>吗？更不用说独一无二的抗弥散装置原型……
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_Worker_Possessions.10480} 那它怎么没把孩子们“抗散”掉？
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_Worker_Possessions.34652} 它是<i>抗</i>弥散——我的意思是，它不是干这个的，正如显微镜也不是拿来钉钉子的。那些孩子大概已经拿它钉钉子了，而我们还在这里聊天。
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_Worker_Possessions.26961} 是啊，钉钉子通常最好用锤子。名字里就写着呢。
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_Worker_Possessions.25751} 你到底帮不帮我抓小偷，天才？
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_Worker_Possessions.39696} 一台独特的抗瘴气装置，用于阻断结核扩散。研究生团队的突破性成果。
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_Worker_Possessions.64281} 没听过什么“结核瘤子”。你确定来对城了吗？我们这儿不种土豆。
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_Worker_Possessions.33497} 对，当然，你们这里还叫它“痨病”。所以你到底帮不帮我？
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_Worker_Possessions.28937} 你是清扫工，我从你的扫帚看得出来。你们这行不是天生就爱一大早叫醒别人、揪小鬼耳朵吗？帮我抓他们！
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_Worker_Possessions.43350} 孩子嘛，孩子就是这样。没必要对他们那么凶。
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_Worker_Possessions.28921} 这叫孩子？老练的惯犯都没法以这种速度卷走我的行李。
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_Worker_Possessions.25856} 我说了，别碰孩子。你是新来的，刚下火车，刚进城。所以自己小心，守我们的规矩。不会有警员或巡逻兵替你追孩子。清扫工也不会。
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_Worker_Possessions.11581} 荒唐。
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_Worker_Possessions.31308} ……因为孩子有他们自己的那套。自己的王国，明白吗？我不会插手。你要是找别人替你插手——那就是你的葬礼。\n\n或者说，是他们的。不过他们不会有葬礼。塔会直接把他们折断。
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_Worker_Possessions.62954} 什么塔？
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_Worker_Possessions.58059} 多面体。
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_Worker_Possessions.55744} 这可真是解释清楚了。
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_Worker_Possessions.7969} 我也不知道自己原本期待什么。
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_Worker_Possessions.9538} 我本人并不相信体罚。当然，我也不是要和一群十岁的孩子打架。也许我可以和他们谈判？
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_Worker_Possessions.52146} 这么着吧……你要是那么想要你的衬衫，就去找那些抱着衬衫跑掉的小鬼。好好跟他们说。\n\n这些孩子跟喜鹊似的。他们会把你那些首都来的贵重布料换回来，换些彩色玻璃碎片。甚至换个故事也行。但不管怎样，别伤着他们。
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_Worker_Possessions.55435} 不是衬衫！是仪器！不过我明白你的意思。
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_Worker_Possessions.53110} ……话说，首都真是个地方吗？
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_Worker_Possessions.600} 我倒希望它不是。
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_Worker_Possessions.41647} 从某种意义上说，首都是神话，而这个神话就是真正的首都。但那座城市在物理上确实存在。
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_Worker_Possessions.26535} 这是什么问题？
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_Worker_Possessions.65222} 凯恩一家从首都来，造出了我们的城。但从那以后，再也没有真正的人从那里来过。\n\n所以我在想，也许西蒙·凯恩只是编出了首都？连同其他一切。
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_Worker_Possessions.41142} 对，当然。而我只是他雇来的演员。
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_Worker_Possessions.28144} 在你们这种小城里，一个人的权威确实可能膨胀到无所不包。但我向你保证，首都不是凯恩编出来的。
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_Worker_Possessions.20714} 你说他们“造出了你们的城”是什么意思？不，算了；先找箱子，再谈凯恩。祝你今天愉快。
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_Worker_Possessions.50565} 我有很多故事可讲，不过通常都涉及活体解剖……我想孩子们会喜欢这种东西。
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_Worker_Possessions.64664} 我哪来的玻璃碎片？最多就表面上有一块。我恐怕得在字面和比喻意义上都浪费时间了。
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_Worker_Possessions.4405} 如果人人都畏畏缩缩地入乡随俗，我们的罗马至今还会是狼和偏见横行的阴暗森林。
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_Worker_Possessions.60953} 你是认真的吗？为什么不行？
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_Worker_Possessions.62564} 怎么，我还该感谢他们？给他们糖？
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_Worker_Possessions.28551} 正是。你要是那么想要你的衬衫，就去找那些抱着衬衫跑掉的小鬼。好好跟他们说。\n\n这些孩子跟喜鹊似的。他们会把你那些首都来的贵重布料换回来，换些彩色玻璃碎片。甚至换个故事也行。但不管怎样，别伤着他们。
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_Worker_Possessions.51918} 我必须把行李找回来。失去仪器就像失去双臂。比失去双臂还糟！
{Dialogs2.Days.Intro.Intro_Arrival.Intro_Arrival_Worker_Possessions.23828} 就我的职业前途来说，我大概已经离坟墓那边更近了。但也有人说，复活并非不可能。
