{Dialogs2.Decrees.Curfew.Curfew_PatrolAndHooligan.21106} 先生，求您让我进去！我妈妈病在家里，正等着药！
{Dialogs2.Decrees.Curfew.Curfew_PatrolAndHooligan.26835} 你母亲住在哪栋楼？
{Dialogs2.Decrees.Curfew.Curfew_PatrolAndHooligan.21873} 那栋，就拐角那边那栋！求你放我过去，行行好！我不耍花招，我就是要把药给她送去！
{Dialogs2.Decrees.Curfew.Curfew_PatrolAndHooligan.12829} 让这孩子进去吧。
{Dialogs2.Decrees.Curfew.Curfew_PatrolAndHooligan.29459} 谁也不准进去！隔离！你的法令里自己写的——所有人隔离，无一例外。还是现在不是所有人了？除了孩子，别人都不准进，是这样吗？
{Dialogs2.Decrees.Curfew.Curfew_PatrolAndHooligan.8451} 不，当然适用于所有人。我的法令仍然有效。但这是特殊情况——他必须回到母亲身边。没有药，她会死！做件有人性的事，放他进去，可以吗？
{Dialogs2.Decrees.Curfew.Curfew_PatrolAndHooligan.10854} 是啊，想得美。放一个孩子进去，下一步路灯上的灯泡就该不见了。每个人不是炉子上烧着水，就是有个快死的母亲，或者有孩子没人照看。
{Dialogs2.Decrees.Curfew.Curfew_PatrolAndHooligan.13318} 没错，她没人照看！没人照顾她！我妹妹也在里面，先生！她还是个小娃娃！求你让我进去！你不听我的，也听听这位大人吧！他说得才是正理！
{Dialogs2.Decrees.Curfew.Curfew_PatrolAndHooligan.2945} 现在又冒出一个妹妹了，是吗？你家里是不是还有一窝生病的小猫？
{Dialogs2.Decrees.Curfew.Curfew_PatrolAndHooligan.19452} 没了，上次你们不让我过封锁线，它们全死了……你不想让这桩罪压在良心上吧，先生？
{Dialogs2.Decrees.Curfew.Curfew_PatrolAndHooligan.30063} 为什么不让他进去？对你没有麻烦，他也不会害人。
{Dialogs2.Decrees.Curfew.Curfew_PatrolAndHooligan.29797} 他当然会！上次，斯捷潘家的银勺子不见了。孩子们就像喜鹊——凡是亮的都偷！
{Dialogs2.Decrees.Curfew.Curfew_PatrolAndHooligan.7290} 真的吗？偷勺子的就是这个男孩？你不能把所有人都一棍子打死……
{Dialogs2.Decrees.Curfew.Curfew_PatrolAndHooligan.10449} 听说过隔离吗，孩子？隔离不是白发明的，就是为了不让你们这种人在镇上到处传病。
{Dialogs2.Decrees.Curfew.Curfew_PatrolAndHooligan.8996} 我又没跟你说话，先生。跟你说有什么用？我是在跟这位好心巡逻员说话。你会让我进去吗，先生？我妈一个人在里面，我还给妹妹带了药……
{Dialogs2.Decrees.Curfew.Curfew_PatrolAndHooligan.1500} 既然跟我说“没用”，那你就继续在街上闲晃吧，小阴谋家！
{Dialogs2.Decrees.Curfew.Curfew_PatrolAndHooligan.408} 哈哈！你们两个都是蠢货！你们在这儿扯嘴皮的时候，我伙伴早从灌木丛钻进去了，就在你们眼皮底下！再见了，老爷子！
{Dialogs2.Decrees.Curfew.Curfew_PatrolAndHooligan.865} 喂！站住，你这小兔崽子！等我抓到你，非扒了你的皮！狡猾的小混账！这周第三回了。他们走到哪儿，口粮就少到哪儿。等一下……我的烟草呢？
{Dialogs2.Decrees.Curfew.Curfew_PatrolAndHooligan.12006} 你的差事可真危险。
