{Dialogs2.Decrees.Executions.Executions_NoAmmo.20006} 大人，我们还要在这里站多久？是不是该有人跑去找军需官，把他骂醒？
{Dialogs2.Decrees.Executions.Executions_NoAmmo.5266} 管住你的舌头，列兵。已经有人去了。
{Dialogs2.Decrees.Executions.Executions_NoAmmo.9299} 遵命，长官。不过，那绞索已经等他们很久了。该死，这活儿倒成了轻省差事……
{Dialogs2.Decrees.Executions.Executions_NoAmmo.18283} 你们为什么拖延处决？
{Dialogs2.Decrees.Executions.Executions_NoAmmo.5331} 不是我们的错，您放心！我们懂自己的活，也规规矩矩地干。麻烦在于：我们手里什么都没有，没工具！他们没送来！
{Dialogs2.Decrees.Executions.Executions_NoAmmo.11399} 我不明白。你们有步枪。
{Dialogs2.Decrees.Executions.Executions_NoAmmo.19364} 这倒没错，我们有步枪。可还是没有能用来射的东西——没有弹药！他们就是不送来——就这么回事！
{Dialogs2.Decrees.Executions.Executions_NoAmmo.7677} 该死的他们！这下我们肯定赶不上配给了，到时候只能饿着肚子到处晃！
{Dialogs2.Decrees.Executions.Executions_NoAmmo.21357} 我不是在指责谁，只是想弄明白。
{Dialogs2.Decrees.Executions.Executions_NoAmmo.17023} 那我说的就是这个：弹药已经四个小时没送来了！我发誓没撒谎，您要是不信，可以问长官。
{Dialogs2.Decrees.Executions.Executions_NoAmmo.61708} 你们只是在无谓地折磨那个人。赶紧办完。
{Dialogs2.Decrees.Executions.Executions_NoAmmo.16227} 折磨？谁在受折磨，真该死！四个小时了，我向上帝发誓，他们就是送不来弹药！我们肯定赶不上配给，到时候只能饿着肚子到处晃！
{Dialogs2.Decrees.Executions.Executions_NoAmmo.38207} 你们没有自己的储备吗？
{Dialogs2.Decrees.Executions.Executions_NoAmmo.45410} 有，或者说，曾经有。我们有过一些，可全没了。都打光了，哈哈。
{Dialogs2.Decrees.Executions.Executions_NoAmmo.9413} 喂，市民！往前走，这里没什么好看的。
{Dialogs2.Decrees.Executions.Executions_NoAmmo.49492} 还有你，焦明，不想挨鞭子就咬住你那张多话的舌头。这是公务。
{Dialogs2.Decrees.Executions.Executions_NoAmmo.59272} 是，长官！
{Dialogs2.Decrees.Executions.Executions_NoAmmo.45393} 嗯……您该走了，市民，走吧，这真是公务……长官是个公正的人，可发起火来也快得很！还没等您反应过来——他真会下令鞭打。
{Dialogs2.Decrees.Executions.Executions_NoAmmo.10591} 别担心，我这就走。
{Dialogs2.Decrees.Executions.Executions_NoAmmo.15461} 赶快把弹药的事理顺。拖延死亡，比死亡本身更残酷。
{Dialogs2.Decrees.Executions.Executions_NoAmmo.25156} 真野蛮。我们连处决一个人都办不好。
{Dialogs2.Decrees.Executions.Executions_NoAmmo.14408} 配给——你现在只担心这个？
{Dialogs2.Decrees.Executions.Executions_NoAmmo.30127} 哦，不止这个，长官。士兵的日子可不是什么甜面包——发愁的事多着呢。虱子凶得很……您看，我左脚后跟都磨出血泡了。还有别的，多得数不过来……
{Dialogs2.Decrees.Executions.Executions_NoAmmo.16182} 为什么不送来？
{Dialogs2.Decrees.Executions.Executions_NoAmmo.49469} 我怎么知道，长官！我看啊，准是那些军需耗子又在搞阴的。愿他们烂掉，那群猪猡，该死，真该死……
