{Dialogs2.Decrees.Fireworks.Fireworks_Gawkers.3019} 听见了吗？吓得人魂都要没了。
{Dialogs2.Decrees.Fireworks.Fireworks_Gawkers.55925} 像一场彩虹风暴。我小时候总想在雷雨天跑出去看闪电。可我母亲从不让我去。她说那很危险……
{Dialogs2.Decrees.Fireworks.Fireworks_Gawkers.36787} 她不让你去是对的。草原上的风暴的确很危险。
{Dialogs2.Decrees.Fireworks.Fireworks_Gawkers.4541} 嗯，对。我的女婿也是这么没的。他老说什么元素的力量，一到雷雨天就往外跑。就站在那里看。雷把他带走了。等我们找到剩下的东西，狼已经把他啃干净了。我们是靠那些小纸条和碎纸认出他的——他走到哪儿都带着那些东西，总是在画图。愿上帝安息他的灵魂……
{Dialogs2.Decrees.Fireworks.Fireworks_Gawkers.57315} 每年有很多人死在风暴里吗？
{Dialogs2.Decrees.Fireworks.Fireworks_Gawkers.54271} 不，不多。明事理的人会顾着自己——他们知道风暴天不能在草原上乱走。只有我家那样的傻子，还有草原人会去。再说，谁会费心去数他们……
{Dialogs2.Decrees.Fireworks.Fireworks_Gawkers.43349} 等等——！等等！！该死，他们要用那些光把草原点着了！！要是烧起来，就完了——我们全完了！！我们得……得跑去市政厅。让他们立刻停下！
{Dialogs2.Decrees.Fireworks.Fireworks_Gawkers.19408} 你喊什么，像疯了一样。烧起来？跑去哪？从夏末开始雨就没停过——一刻也没停。草原这会儿早该湿透了。
{Dialogs2.Decrees.Fireworks.Fireworks_Gawkers.65290} 是啊……今年的秋天，只顾着哭了。
{Dialogs2.Decrees.Fireworks.Fireworks_Gawkers.59749} 晚上好。
{Dialogs2.Decrees.Fireworks.Fireworks_Gawkers.9364} 好好看吧。烟火就是为这个放的。
{Dialogs2.Decrees.Fireworks.Fireworks_Gawkers.1628} 我该走了。
{Dialogs2.Decrees.Fireworks.Fireworks_Gawkers.30185} 我怀疑小镇以后再也见不到这样的东西了。
{Dialogs2.Decrees.Fireworks.Fireworks_Gawkers.32735} 是啊。说得没错。从没见过这样的。不，从小镇烧毁那次以后就没有了。那以后，没错。愿上帝保佑，下次也隔得这么久。
{Dialogs2.Decrees.Fireworks.Fireworks_Gawkers.24600} 是啊……我记得清楚！上一次小镇起火时，我就像现在这样站着，仰头看天。后来那念头像闪电一样劈进我脑子——该死，是火！于是我跑去帮忙灭火，递水桶什么的。
{Dialogs2.Decrees.Fireworks.Fireworks_Gawkers.32744} 你听起来相当兴奋。你写诗吗？
{Dialogs2.Decrees.Fireworks.Fireworks_Gawkers.408} 写。关你什么事？反正你看着也不像读诗的人。
{Dialogs2.Decrees.Fireworks.Fireworks_Gawkers.22181} 确实。我有更要紧的事要处理。
{Dialogs2.Decrees.Fireworks.Fireworks_Gawkers.30762} 还有什么比诗更要紧？
{Dialogs2.Decrees.Fireworks.Fireworks_Gawkers.62459} 科学。
{Dialogs2.Decrees.Fireworks.Fireworks_Gawkers.35990} 你们两个安静点。毛都没长齐，就像婚礼上的狗一样闹……嘘，规矩点，好吗？看天上——烧得多亮。我们什么时候还能再见到这个？
{Dialogs2.Decrees.Fireworks.Fireworks_Gawkers.56894} 像火。我没见过这样的……自从小镇烧毁以后就没见过！
{Dialogs2.Decrees.Fireworks.Fireworks_Gawkers.1316} 现实。
{Dialogs2.Decrees.Fireworks.Fireworks_Gawkers.54969} 说真的，这问题很奇怪。什么都行。
{Dialogs2.Decrees.Fireworks.Fireworks_Gawkers.45708} 各得其分。
{Dialogs2.Decrees.Fireworks.Fireworks_Gawkers.57756} 人人都会犯错，只有愚人执迷不改。
{Dialogs2.Decrees.Fireworks.Fireworks_Gawkers.52112} 噢。我不得不佩服——虽然这跟正题无关。
{Dialogs2.Decrees.Fireworks.Fireworks_Gawkers.52829} 好吧。我得承认——这话聪明。你赢了。
{Dialogs2.Decrees.Fireworks.Fireworks_Gawkers.11156} 年轻的时候。偶尔。
{Dialogs2.Decrees.Fireworks.Fireworks_Gawkers.3237} 年轻的时候？你也没比我大多少，说话却像个老人。
{Dialogs2.Decrees.Fireworks.Fireworks_Gawkers.57711} 增长知识，也增长劳苦。
{Dialogs2.Decrees.Fireworks.Fireworks_Gawkers.42227} 但知识就是力量！
{Dialogs2.Decrees.Fireworks.Fireworks_Gawkers.5183} 谢谢。我就当这是夸奖了。
