{Dialogs2.Decrees.SocialDistancing.SocialDistancing_Introvert.16159} 站住！别再靠近了！这是禁止的！
{Dialogs2.Decrees.SocialDistancing.SocialDistancing_Introvert.21947} 好，好！听你的……
{Dialogs2.Decrees.SocialDistancing.SocialDistancing_Introvert.31697} 冷静点。我是镇上最健康的人。你这样可赶不走 Shabna……我是说，瘟疫。
{Dialogs2.Decrees.SocialDistancing.SocialDistancing_Introvert.26590} 我怎么知道你是病是好？你自己也未必知道！万一你朝我这边喘口气，我明天就病倒了呢？退后，别再靠近！
{Dialogs2.Decrees.SocialDistancing.SocialDistancing_Introvert.55777} 出什么事了？你需要我帮忙吗？
{Dialogs2.Decrees.SocialDistancing.SocialDistancing_Introvert.63561} 是的。你退开，别再靠近，就是在帮我。
{Dialogs2.Decrees.SocialDistancing.SocialDistancing_Introvert.50552} 这样够好吗？
{Dialogs2.Decrees.SocialDistancing.SocialDistancing_Introvert.38961} 嗯，也许吧。请别朝我这边呼吸。谢谢。\n你找我到底有什么事？
{Dialogs2.Decrees.SocialDistancing.SocialDistancing_Introvert.58177} 你既然这么怕传染，为什么不待在家里？
{Dialogs2.Decrees.SocialDistancing.SocialDistancing_Introvert.26634} 我也想，可我的食品柜空得像跳鼠的脑袋。遗憾的是，人人都得吃饭。要只有我一个，我就硬扛过去了。可我亲爱的妻子、孩子们、老母亲呢？他们不该挨饿。
{Dialogs2.Decrees.SocialDistancing.SocialDistancing_Introvert.37433} 你的家人有你真幸运。
{Dialogs2.Decrees.SocialDistancing.SocialDistancing_Introvert.49759} 谢谢。我是因为那道“隔离”法令才躲着所有人。叫什么来着，那个首都来的医生，是他下的令。
{Dialogs2.Decrees.SocialDistancing.SocialDistancing_Introvert.21059} 你这异常举动引起了我的兴趣。
{Dialogs2.Decrees.SocialDistancing.SocialDistancing_Introvert.42141} 这有什么稀奇？我不想死，可谁想死呢。我家里有母亲，有可爱的妻子，还有两个小孩。没有我，他们怎么过？我不能把瘟疫带回家，老天保佑！死已经够糟了，带着全家一起死更糟。
{Dialogs2.Decrees.SocialDistancing.SocialDistancing_Introvert.8297} 你为什么这样躲着人？
{Dialogs2.Decrees.SocialDistancing.SocialDistancing_Introvert.59281} 可不是嘛……叫什么来着，那个首都来的医生……他禁止我们彼此靠近。你没听说？看看那些告示！\n大家却还像什么都没发生一样。成群结队地走来走去！来来回回，来来回回！真吓人！
{Dialogs2.Decrees.SocialDistancing.SocialDistancing_Introvert.16556} 那有什么不好？一起死就能一起坐在云上，或者那故事大概是这么说的。人越多越热闹。
{Dialogs2.Decrees.SocialDistancing.SocialDistancing_Introvert.45361} 呸，别乱说！老天不许！没人能永远活着，可活着的时候总归是好的。死亡可以等等。我打算活到一百二十岁，也建议你这么做。
{Dialogs2.Decrees.SocialDistancing.SocialDistancing_Introvert.31273} 这是个蠢笑话。抱歉！
{Dialogs2.Decrees.SocialDistancing.SocialDistancing_Introvert.26939} 这不是开玩笑的事。你该更明白才对。
{Dialogs2.Decrees.SocialDistancing.SocialDistancing_Introvert.64771} 我会尽量不让你失望。谁知道呢，我也许能活到一百五十岁！我对人生有很大的计划。
{Dialogs2.Decrees.SocialDistancing.SocialDistancing_Introvert.62026} 我是因为那道“隔离”法令才躲着所有人。叫什么来着，那个首都来的医生，是他下的令。
{Dialogs2.Decrees.SocialDistancing.SocialDistancing_Introvert.16639} 你是想说“距离”？
{Dialogs2.Decrees.SocialDistancing.SocialDistancing_Introvert.56741} 我也许不擅长措辞，但意思很清楚。别和别人混在一起，你就能保持健康。
{Dialogs2.Decrees.SocialDistancing.SocialDistancing_Introvert.10623} 你做得对。我赞许你。谢谢你如此负责。
{Dialogs2.Decrees.SocialDistancing.SocialDistancing_Introvert.56261} 不幸的是，直接接触并不是染病的唯一途径。就算你不靠近任何人，也要留意自己的感觉。
{Dialogs2.Decrees.SocialDistancing.SocialDistancing_Introvert.18986} 要我说，你做过头了。每次看见陌生人都这么跳起来，你还没染上瘟疫，就先死于心脏病了。
{Dialogs2.Decrees.SocialDistancing.SocialDistancing_Introvert.45124} 对，隔离令。它是警告性的，没得绕。要么你遵守紧急指挥部的法令，要么这座镇子就完了。
{Dialogs2.Decrees.SocialDistancing.SocialDistancing_Introvert.49961} 我在努力！我已经尽力了！聪明人不会让我们做蠢事的。
{Dialogs2.Decrees.SocialDistancing.SocialDistancing_Introvert.22613} 但愿我也能相信这一点。
{Dialogs2.Decrees.SocialDistancing.SocialDistancing_Introvert.48178} 你怎么能这么说？
{Dialogs2.Decrees.SocialDistancing.SocialDistancing_Introvert.23227} 那就由我离开。你想都别想跟着我。
{Dialogs2.Decrees.SocialDistancing.SocialDistancing_Introvert.6772} 走了正好。
{Dialogs2.Decrees.SocialDistancing.SocialDistancing_Introvert.5725} 好，我退后！这样够好吗？
