{Dialogs2.Decrees.SteppeBridesDancing.SteppeBridesDancing_GirlAndBride.2610} Hain daa（我没有更多话可说）, basagan（姑娘）. Ekhe hainaar khezhe bainash（好吧，姑娘。母亲说得好）。
{Dialogs2.Decrees.SteppeBridesDancing.SteppeBridesDancing_GirlAndBride.7950} 这里在做什么？
{Dialogs2.Decrees.SteppeBridesDancing.SteppeBridesDancing_GirlAndBride.60827} 嘘。大灾降临时，人们难道不该互相帮忙吗？孩子学着帮忙——我在教她。你挡路了！走开，haad！
{Dialogs2.Decrees.SteppeBridesDancing.SteppeBridesDancing_GirlAndBride.55970} 我曾认识一个热爱芭蕾的人。他常说，舞蹈从不会让任何人幸福。
{Dialogs2.Decrees.SteppeBridesDancing.SteppeBridesDancing_GirlAndBride.55674} 嘘。我从没听过这么愚蠢的话。大灾降临时，人们难道不该互相帮忙吗？孩子学着帮忙——我在教她。你挡路了！走开，haad！
{Dialogs2.Decrees.SteppeBridesDancing.SteppeBridesDancing_GirlAndBride.59971} 如果你不想告诉我——那就算了。
{Dialogs2.Decrees.SteppeBridesDancing.SteppeBridesDancing_GirlAndBride.26042} 大灾？
{Dialogs2.Decrees.SteppeBridesDancing.SteppeBridesDancing_GirlAndBride.29638} 即便如此，我还是要一个回答。
{Dialogs2.Decrees.SteppeBridesDancing.SteppeBridesDancing_GirlAndBride.426} 啊，naalduu！我该拿什么喂饱你空洞的好奇心？人人都做自己能做的事——新娘们也在帮忙。走吧。我不再说了。去问别人，如果他们有时间回答你的问题。
{Dialogs2.Decrees.SteppeBridesDancing.SteppeBridesDancing_GirlAndBride.28185} 好吧……
{Dialogs2.Decrees.SteppeBridesDancing.SteppeBridesDancing_GirlAndBride.42936} 帮忙？我可不会这么形容。
{Dialogs2.Decrees.SteppeBridesDancing.SteppeBridesDancing_GirlAndBride.11285} 很好。原始舞蹈——正是我们需要的东西。
