{Dialogs2.Decrees.StreetPatrols.StreetPatrols_PatrolmanAndSoldier.21732} ……总之，说个笑话。两只旱獭坐在河边，坐在悬崖上，织着小帽子……
{Dialogs2.Decrees.StreetPatrols.StreetPatrols_PatrolmanAndSoldier.22867} ...
{Dialogs2.Decrees.StreetPatrols.StreetPatrols_PatrolmanAndSoldier.17749} ……这时一头公牛走过来，对它们说：“嘿，伙计们！这河深吗？河底怎么样？是沙底吗？我要是跳下去，不会被石头划破肚子吧？”
{Dialogs2.Decrees.StreetPatrols.StreetPatrols_PatrolmanAndSoldier.35946} 一只旱獭说：“跳吧，跳进去！河很深，底下是沙——划不破肚子。跳就是了！”
{Dialogs2.Decrees.StreetPatrols.StreetPatrols_PatrolmanAndSoldier.59787} 公牛信了，助跑，从悬崖上跳下去——结果河很浅！底下全是石头！砰！咣！脑袋先撞上石头，撞上岩块，随你怎么说……
{Dialogs2.Decrees.StreetPatrols.StreetPatrols_PatrolmanAndSoldier.38323} 长话短说——公牛摔断了脖子。肚皮朝上从旱獭旁边漂过去。第二只旱獭问第一只：“你为什么要骗公牛？它……死了！”
{Dialogs2.Decrees.StreetPatrols.StreetPatrols_PatrolmanAndSoldier.34528} 第一只就说：“那你为什么拆我的帽子？”
{Dialogs2.Decrees.StreetPatrols.StreetPatrols_PatrolmanAndSoldier.45033} ……哈，哈。
{Dialogs2.Decrees.StreetPatrols.StreetPatrols_PatrolmanAndSoldier.61521} 我更喜欢那个讲猪油的。
{Dialogs2.Decrees.StreetPatrols.StreetPatrols_PatrolmanAndSoldier.28930} ...
{Dialogs2.Decrees.StreetPatrols.StreetPatrols_PatrolmanAndSoldier.39206} 嗯，各有所好。我喜欢这个——它有寓意。某种高尚的东西。很有教益。
{Dialogs2.Decrees.StreetPatrols.StreetPatrols_PatrolmanAndSoldier.9953} 不知道渡口，就别问陌生人，是吧？
{Dialogs2.Decrees.StreetPatrols.StreetPatrols_PatrolmanAndSoldier.63339} 不，不。不是这个意思。你看，这是讲我们的。讲人。怎么说呢……我们到处互相做烂事。为什么？如果不做——大家都能过得好好的。可我们偏要做。为什么？因为总有人把别人的帽子拆了。明白吗？
{Dialogs2.Decrees.StreetPatrols.StreetPatrols_PatrolmanAndSoldier.4008} 你说的是垃圾。这笑话也一样——垃圾。一点也不好笑。
{Dialogs2.Decrees.StreetPatrols.StreetPatrols_PatrolmanAndSoldier.12819} 我以前听过这个笑话——在疯人院里。
{Dialogs2.Decrees.StreetPatrols.StreetPatrols_PatrolmanAndSoldier.3574} 哦！……医生！先生！无需担心——值勤秩序正在以最高水平维持！您方才听到的任何胡言，都只是我们出于愚蠢的自发行为，只为打发时间！
{Dialogs2.Decrees.StreetPatrols.StreetPatrols_PatrolmanAndSoldier.49615} 真是格外出色的胡言。
{Dialogs2.Decrees.StreetPatrols.StreetPatrols_PatrolmanAndSoldier.32830} 你刚才说话还挺正常。
{Dialogs2.Decrees.StreetPatrols.StreetPatrols_PatrolmanAndSoldier.2572} 原谅他，他只是太卖力。
{Dialogs2.Decrees.StreetPatrols.StreetPatrols_PatrolmanAndSoldier.63134} 情况如何？
{Dialogs2.Decrees.StreetPatrols.StreetPatrols_PatrolmanAndSoldier.54936} 公共安宁遭到扰乱，形式包括四起斗殴、两起推搡，以及一起醉酒滋事！所有扰乱公共安宁的行为均已依法压制！除此之外，我们继续维持秩序与清醒！
{Dialogs2.Decrees.StreetPatrols.StreetPatrols_PatrolmanAndSoldier.10638} 看来这班岗很热闹。
{Dialogs2.Decrees.StreetPatrols.StreetPatrols_PatrolmanAndSoldier.1527} 情况如何？
{Dialogs2.Decrees.StreetPatrols.StreetPatrols_PatrolmanAndSoldier.25104} 医生！请原谅，没认出您！报告！公共秩序遭到扰乱：四起斗殴、两起殴打、一起醉酒闹事！所有扰乱公共秩序的行为均已妥善处理！除此之外，我们继续维护秩序与清醒！
{Dialogs2.Decrees.StreetPatrols.StreetPatrols_PatrolmanAndSoldier.23572} 一切安静。
{Dialogs2.Decrees.StreetPatrols.StreetPatrols_PatrolmanAndSoldier.58619} 你说有几起斗殴？……
{Dialogs2.Decrees.StreetPatrols.StreetPatrols_PatrolmanAndSoldier.52301} 四起斗殴，两起殴打，还有……
{Dialogs2.Decrees.StreetPatrols.StreetPatrols_PatrolmanAndSoldier.58353} 有一起动了手，得把他们拉开。其他其实都不算什么。嚷了几句，然后就各走各的。
{Dialogs2.Decrees.StreetPatrols.StreetPatrols_PatrolmanAndSoldier.15973} 你一开始就该这么说。
{Dialogs2.Decrees.StreetPatrols.StreetPatrols_PatrolmanAndSoldier.28409} 和平的守卫。
