{Dialogs2.Eva.Evening.Eva_Evening_06.15675} 今天多安静、多平和。几乎寻常，仿佛哪怕在所有哀伤之中，生活也回到了原本的轨道。
{Dialogs2.Eva.Evening.Eva_Evening_06.3710} 我可没觉得。那时我还在没完没了地四处奔走。
{Dialogs2.Eva.Evening.Eva_Evening_06.55301} 你知道吗，玛丽亚告诉我，今天不会到来。可它到了。光是这件事本身，就已经是一种幸福了，不是吗？
{Dialogs2.Eva.Evening.Eva_Evening_06.9752} 我也和玛丽亚有过那样一场谈话。昨天，或者……嗯，在另一个不可能存在的昨天。
{Dialogs2.Eva.Evening.Eva_Evening_06.47816} 玛丽亚让我着迷。她不喜欢我，但我仍然钦佩她。只是她奉行的是“全有或全无”。所以她看不见那些只会在暮色里显露的可能。你能看见，真好。
{Dialogs2.Eva.Evening.Eva_Evening_06.11822} 要是我能明白今天究竟是怎么来的就好了。
{Dialogs2.Eva.Evening.Eva_Evening_06.17755} 有个梦构师曾经告诉我，人要么擅长做事，要么擅长解释。我当时不信。但也许里面有一点道理。也许你更擅长做，而不是解释？
{Dialogs2.Eva.Evening.Eva_Evening_06.21130} 我还以为自己算是个知识分子呢！
{Dialogs2.Eva.Evening.Eva_Evening_06.7109} 别想太多。还是告诉我吧：这个终于到来的、安静而寻常的日子，你会记住什么？
{Dialogs2.Eva.Evening.Eva_Evening_06.61991} 你知道吗。我到现在还不敢相信，静水观星台里居然有一头公牛在晃荡！
{Dialogs2.Eva.Evening.Eva_Evening_06.28344} 它太可爱了。呼吸那么温热。想要人抚摸的时候，还会轻轻顶我。我这样问，是因为谁也不知道明天会带来什么。万一平静之后真的有风暴呢？那就最好把今天的一点什么紧紧攥在手心里。
{Dialogs2.Eva.Evening.Eva_Evening_06.65268} 我会把这场谈话攥在手心里。它会成为我的护符。
{Dialogs2.Eva.Evening.Eva_Evening_06.31291} 我不太擅长享受当下。别试着教我——没救的。
{Dialogs2.Eva.Evening.Eva_Evening_06.53616} 不管接下来会发生什么，今天已经来了。这就不算坏。
{Dialogs2.Eva.Evening.Eva_Evening_06.47295} 风暴要来了……事实上，就是明天。但我们会看看谁赢。
{Dialogs2.Eva.Evening.Eva_Evening_06.9687} 所有病人都逃出了医院。看来他们开始相信那个女孩克拉拉的神圣性了。
{Dialogs2.Eva.Evening.Eva_Evening_06.10361} 太糟了。没有你的医院，我们怎么办？我听说前天克拉拉想来帮忙……也许你可以让她来？我这样问，是因为谁也不知道明天会带来什么。万一平静之后真的有风暴呢？那就最好把今天的一点什么紧紧攥在手心里。
{Dialogs2.Eva.Evening.Eva_Evening_06.65096} 今天我不得不给一个很小的小姑娘讲一个很长的童话。连我自己都没想到。
{Dialogs2.Eva.Evening.Eva_Evening_06.47039} 童话？多好啊。我想，一个人若是不再想听童话——或是不再想讲童话——他身体里某个地方就会裂开。我这样问，是因为谁也不知道明天会带来什么。万一平静之后真的有风暴呢？那就最好把今天的一点什么紧紧攥在手心里。
{Dialogs2.Eva.Evening.Eva_Evening_06.5048} 我试着邀请鲁宾去医院，但他拒绝了。可惜。
{Dialogs2.Eva.Evening.Eva_Evening_06.26510} 斯塔赫很骄傲；别人伸出的手，他很难握住。再等等吧——也许他会想通。我这样问，是因为谁也不知道明天会带来什么。万一平静之后真的有风暴呢？那就最好把今天的一点什么紧紧攥在手心里。
{Dialogs2.Eva.Evening.Eva_Evening_06.38200} 我只向你坦白：我挖开了一座坟。结果发现里面根本没人下葬。
{Dialogs2.Eva.Evening.Eva_Evening_06.1468} 我曾听孩子们说，我们其实谁也没有埋葬。任何坟墓里——都只有一个玩偶。我这样问，是因为谁也不知道明天会带来什么。万一平静之后真的有风暴呢？那就最好把今天的一点什么紧紧攥在手心里。
{Dialogs2.Eva.Evening.Eva_Evening_06.53091} 我不知道……我觉得还是太安静了。
{Dialogs2.Eva.Evening.Eva_Evening_06.9670} 我这样问，是因为谁也不知道明天会带来什么。万一平静之后真的有风暴呢？那就最好把今天的一点什么紧紧攥在手心里。
{Dialogs2.Eva.Evening.Eva_Evening_06.26179} 我一直以为，自己比起做事，更擅长解释。我在塔纳提卡还没真正做出什么成果，倒确实闹出了不少声响……
{Dialogs2.Eva.Evening.Eva_Evening_06.62472} 可我也是一样。全有或全无。非黑即白。
{Dialogs2.Eva.Evening.Eva_Evening_06.59763} 玛丽亚看见了你这一面，并被它吸引。但我看见的是完全不同的一面：你太想赢了，所以愿意不断地输下去。这是个悖论，可我也只能这样解释。
{Dialogs2.Eva.Evening.Eva_Evening_06.34422} 我想确实如此。连我自己也说不出更好的说法。
{Dialogs2.Eva.Evening.Eva_Evening_06.3462} 我不知道这样能不能赢。但我在试。
{Dialogs2.Eva.Evening.Eva_Evening_06.43905} 恐怕我不明白你的意思。
{Dialogs2.Eva.Evening.Eva_Evening_06.65133} 你为自己选择的是最强大的敌人——瘟疫、死亡，乃至人性本身。为了有朝一日战胜它们，你就必须不断看着它们得胜……不过别想太多。还是告诉我吧：这个终于到来的、安静而寻常的日子，你会记住什么？
{Dialogs2.Eva.Evening.Eva_Evening_06.22344} 玛丽亚为什么不喜欢你？
{Dialogs2.Eva.Evening.Eva_Evening_06.16448} 我不知道……如果你问的是这个，我们从没吵过架。我想，她不明白一个人怎么能过我这样的生活。不追求什么，不急着去哪里——只是凝望近旁的东西，在那种美里晒一会儿太阳。她大概就是这样责备我的。
{Dialogs2.Eva.Evening.Eva_Evening_06.32047} 我不觉得这有什么可责备的。恰恰相反，我只会羡慕你。
{Dialogs2.Eva.Evening.Eva_Evening_06.32096} 有时候，我确实觉得自己空荡荡的。周围有那么多人，努力想填满整个世界，到处留下自己的痕迹……而我连音乐太响都不喜欢。那会妨碍我听见墙那边的东西。
{Dialogs2.Eva.Evening.Eva_Evening_06.26089} 你并不空。
{Dialogs2.Eva.Evening.Eva_Evening_06.53701} 我们有时都会觉得，如果能变成别人，也许会好些。
{Dialogs2.Eva.Evening.Eva_Evening_06.32055} 我不信你什么都不追求。我见过那样的人——你跟他们完全不同。
{Dialogs2.Eva.Evening.Eva_Evening_06.46947} 你这么一说，我也觉得……那确实有些空。对不起。
{Dialogs2.Eva.Evening.Eva_Evening_06.38514} 预见者也会出错。
{Dialogs2.Eva.Evening.Eva_Evening_06.43092} 是的，大概吧。一场没人会注意到的胜利和凯旋。也许玛丽亚会注意到——但我怀疑，新的一天到来，对她而言还算不上足够的凯旋。
{Dialogs2.Eva.Evening.Eva_Evening_06.25907} 真安静。没有大事发生。我在想，这是不是风暴前的宁静？
{Dialogs2.Eva.Evening.Eva_Evening_06.55586} 真正的悲剧，是悲伤、瘟疫和死亡都变得寻常。
