{Dialogs2.Eva.Evening.Eva_Evening_07.50120} 你觉得他带的别针够多吗？
{Dialogs2.Eva.Evening.Eva_Evening_07.10172} 谁？
{Dialogs2.Eva.Evening.Eva_Evening_07.15786} 那个脚步声如今回荡在教堂拱顶下的人。他需要大头针——黄铜头的那种……把我们都像蝴蝶一样钉起来。再锁进玻璃下面。
{Dialogs2.Eva.Evening.Eva_Evening_07.20844} 你是说卡尔明斯基？我看他更喜欢绞架。
{Dialogs2.Eva.Evening.Eva_Evening_07.40676} 大头针和标本盒——那才是他的工具。他喜欢占有，也喜欢欣赏——但只欣赏死物，无法振翅，无法离开原位。
{Dialogs2.Eva.Evening.Eva_Evening_07.56355} 我不在的时候，他也来见你了？
{Dialogs2.Eva.Evening.Eva_Evening_07.23063} 哦，没有。我是从窗口看见他的。但那已经够了——一个人的性格会像裙裾一样拖在身后。他打量我们这里的样子……就像走进了一座博物馆，或一间他正考虑从主人手里买下来的珍奇陈列室。客人们总会为我们的小镇吃惊，可在他那样的目光下，人会想缩起来。
{Dialogs2.Eva.Evening.Eva_Evening_07.49585} 别害怕。卡尔明斯基不会对你做什么——如果他真要动手，我会想办法阻止他。
{Dialogs2.Eva.Evening.Eva_Evening_07.47935} 可他已经做了。不是对我——是对整座小镇。我想起来了：那东西叫毒杀瓶。盒子，或者玻璃容器，里面放一块浸了毒的布。用来杀死昆虫，又不损坏它。这样它后来陈在玻璃下面，才会显得美。
{Dialogs2.Eva.Evening.Eva_Evening_07.41604} 卡尔明斯基并没有你想的那么可怕。
{Dialogs2.Eva.Evening.Eva_Evening_07.61876} 今天，有人低声说他处决了你，也有人说他让你成了审判官。告诉我：你觉得自己像是被关在玻璃下面吗？
{Dialogs2.Eva.Evening.Eva_Evening_07.13563} 更像是被钉住了。动弹不得。
{Dialogs2.Eva.Evening.Eva_Evening_07.44708} 我同情你。几乎像同情我们的教堂一样。
{Dialogs2.Eva.Evening.Eva_Evening_07.32576} 你觉得卡尔明斯基驻进教堂，会伤害它？
{Dialogs2.Eva.Evening.Eva_Evening_07.39509} “你没注意到吗？今天，教堂里最重要的东西被赶走了……它一直这么不走运。从一开始就是：法尔哈德建了它那么久，挣扎、怀疑，等他终于建成——第一天，彩色玻璃就碎了……”
{Dialogs2.Eva.Evening.Eva_Evening_07.60855} 我知道。是小卡佩拉打碎了彩色玻璃。她到现在还在责怪自己。
{Dialogs2.Eva.Evening.Eva_Evening_07.54228} 是的，没错。你知道吗，当彼得和安德烈都在寻找全新的、前所未有的形式时，法尔哈德却突然决定转向旧形式……他听说有一位作家，在我们的时代，想要逐字逐句重写一部古老的骑士小说——写出同样的东西，却用他自己的手；一个现代人的手。
{Dialogs2.Eva.Evening.Eva_Evening_07.53133} 等等。你们的教堂里确实还能看出一些旧日法则，但它很难说是对旧建筑的精确复刻。
{Dialogs2.Eva.Evening.Eva_Evening_07.50923} 要建造一座像旧时那样的教堂，你就得像另一个时代的人那样生活、感受和思考。法尔哈德正是想这么做，可到了一半……我至今也不明白，他是有意识地改变了主意，还是输给了自己——没能贯彻自己的设计。
{Dialogs2.Eva.Evening.Eva_Evening_07.63274} 所以没人知道，法尔哈德在教堂这件事上到底算不算成功？
{Dialogs2.Eva.Evening.Eva_Evening_07.4295} 法尔哈德自己承认，教堂缺少某种东西，说它只是对一个尚未到来的奇迹的等待……他说那话的时候，我想捂住耳朵。也许我漏听了什么重要的东西。
{Dialogs2.Eva.Evening.Eva_Evening_07.26952} 可他们说教堂，咳，“生产时间”。所以，也许奇迹终究还是发生了？
{Dialogs2.Eva.Evening.Eva_Evening_07.41697} 如今那个人已经住了进去，教堂便……沉默了。你不能像看一只该被压在玻璃下的昆虫那样看它。我怕我再也听不见它发出微光，听不见那个或许已经降临、或许从未成真的奇迹所带来的闪烁。
{Dialogs2.Eva.Evening.Eva_Evening_07.31297} 卡尔明斯基会离开的。我们只需要最终战胜瘟疫——他就会离开。他没有理由留下。
{Dialogs2.Eva.Evening.Eva_Evening_07.9506} 别把他妖魔化。若是单凭自己的存在就能杀死一个伟大的设计，那他自己也得足够伟大才行。而他很普通。
{Dialogs2.Eva.Evening.Eva_Evening_07.14963} 你知道，卡尔明斯基会为来到你们小镇付出沉重代价。很快。
{Dialogs2.Eva.Evening.Eva_Evening_07.32200} 很难相信，可没有卡尔明斯基，我们就救不了你们的另一个奇迹……这令人难以忍受，但确实如此。
{Dialogs2.Eva.Evening.Eva_Evening_07.15231} 这样的设计一定会让西蒙感兴趣。试图成为另一个时代的人——那也是一种跨越生命边界的方法。
{Dialogs2.Eva.Evening.Eva_Evening_07.39110} 当然。西蒙起初对教堂非常感兴趣。后来就不再感兴趣了。法尔哈德自己承认，教堂缺少某种东西，说它只是对一个尚未到来的奇迹的等待……他说那话的时候，我想捂住耳朵。也许我漏听了什么重要的东西。
{Dialogs2.Eva.Evening.Eva_Evening_07.31847} 我听说，法尔哈德的一处工地上，有一块坠落的板材砸死了孩子。那是在建教堂的时候吗？
{Dialogs2.Eva.Evening.Eva_Evening_07.339} 那座庞然大物从一开始就给我一种……相当不安的印象。
{Dialogs2.Eva.Evening.Eva_Evening_07.24651} 它并不令人不安。你知道吗，当彼得和安德烈都在寻找全新的、前所未有的形式时，法尔哈德却突然决定转向旧形式……他听说有一位作家，在我们的时代，想要逐字逐句重写一部古老的骑士小说——写出同样的东西，却用他自己的手；一个现代人的手。
{Dialogs2.Eva.Evening.Eva_Evening_07.12511} 它让我着迷。几乎不亚于多面体。
{Dialogs2.Eva.Evening.Eva_Evening_07.31156} 你知道吗，当彼得和安德烈都在寻找全新的、前所未有的形式时，法尔哈德却突然决定转向旧形式……他听说有一位作家，在我们的时代，想要逐字逐句重写一部古老的骑士小说——写出同样的东西，却用他自己的手；一个现代人的手。
{Dialogs2.Eva.Evening.Eva_Evening_07.47389} 是的。而且从玻璃另一边注视我的，不只是卡尔明斯基，还有整座小镇。他们都在猜，我是不是成了审判所的走卒。
{Dialogs2.Eva.Evening.Eva_Evening_07.34813} 没有。我挣脱了。如果有必要，我还会再挣脱一次。
{Dialogs2.Eva.Evening.Eva_Evening_07.22713} 请原谅，我仍然不懂你对戏剧性的偏爱。
{Dialogs2.Eva.Evening.Eva_Evening_07.38451} 他强迫我参与审判他人的时候，我也有同样的感觉——像是快要窒息。
{Dialogs2.Eva.Evening.Eva_Evening_07.33622} 要是我能弄明白，他的收藏究竟想要哪些昆虫就好了……
{Dialogs2.Eva.Evening.Eva_Evening_07.62545} 你说珍奇陈列室，说得没错。他对我说过类似的东西。他感兴趣的是他所谓的“不可能之物”。
{Dialogs2.Eva.Evening.Eva_Evening_07.52066} 哦不，那可远远算不上博物馆。卡尔明斯基想拿棍子戳那些展品，然后高兴地看着它们抽搐。
{Dialogs2.Eva.Evening.Eva_Evening_07.16366} 我想起来了：那东西叫毒杀瓶。盒子，或者玻璃容器，里面放一块浸了毒的布。用来杀死昆虫，又不损坏它。这样它后来陈在玻璃下面，才会显得美。
{Dialogs2.Eva.Evening.Eva_Evening_07.4789} 这话听起来也许很疯，但我其实喜欢过他。当权者派来的使者本可以糟糕得多。
{Dialogs2.Eva.Evening.Eva_Evening_07.54245} 你在说什么……我想起来了：那东西叫毒杀瓶。盒子，或者玻璃容器，里面放一块浸了毒的布。用来杀死昆虫，又不损坏它。这样它后来陈在玻璃下面，才会显得美。
{Dialogs2.Eva.Evening.Eva_Evening_07.28854} 我也有同样的印象——他来这里，是为了研究小镇，而不是拯救它或惩罚它。
