{Dialogs2.Eva.Morning.Eva_Morning_06.12208} 数一数你的纽扣。
{Dialogs2.Eva.Morning.Eva_Morning_06.10587} 什么？
{Dialogs2.Eva.Morning.Eva_Morning_06.58684} 你的纽扣。你的外套上可能少了几颗——今天一大早有孩子过来，想要你身上的某样东西。他们偏爱纽扣。
{Dialogs2.Eva.Morning.Eva_Morning_06.6413} 要来做什么？
{Dialogs2.Eva.Morning.Eva_Morning_06.38601} 他们在做娃娃：你、布拉赫，还有克拉拉。孩子们已经从布拉赫那里偷到了一样东西，克拉拉也给了他们几枚她随身带着的鱼钩。现在他们来要你的纽扣——给你的娃娃做眼睛。
{Dialogs2.Eva.Morning.Eva_Morning_06.22848} 奇怪。我从没想过自己会被拆成纪念品——尤其还是和那两个人一起。布拉赫和克拉拉！
{Dialogs2.Eva.Morning.Eva_Morning_06.36987} 你很惊讶吗？别这样。还记得吗，我们这里什么都是三个。三个统治家族，小镇的三部分。还有对那个主要问题的三个答案。连孩子们都知道。
{Dialogs2.Eva.Morning.Eva_Morning_06.59692} 什么问题？
{Dialogs2.Eva.Morning.Eva_Morning_06.20230} 如果我说“生命的意义是什么？”你只会翻白眼。所以我换个说法：最主要的问题是——接下来是什么？还会有接下来吗？
{Dialogs2.Eva.Morning.Eva_Morning_06.37445} 为什么由我们三个人来回答？
{Dialogs2.Eva.Morning.Eva_Morning_06.39407} 因为有人问了你们。至少，孩子们在游戏里问了。
{Dialogs2.Eva.Morning.Eva_Morning_06.21221} 布拉赫和克拉拉要是真能成什么事，也只能是偶然。克拉拉是个江湖骗子。布拉赫甚至算不上草原医者——只是一个草原医者的儿子。
{Dialogs2.Eva.Morning.Eva_Morning_06.57072} 你有没有想过，你在他们眼里是什么样子？一个小信使向我央求你的纽扣时，其他孩子正在争论怎样玩才算合适。他们决定，娃娃一开始应该互相帮助，否则真正美丽的结局就不会成形。
{Dialogs2.Eva.Morning.Eva_Morning_06.40471} 如果游戏只有正确和错误的玩法，那就太乏味了。
{Dialogs2.Eva.Morning.Eva_Morning_06.7724} 我只是想告诉你——我觉得这很好笑。我没有把纽扣给他们。但他们反正已经有了一些——第一天翻乱你行李时拿到的。用不了多久他们就会明白，从那里取走娃娃的眼睛。
{Dialogs2.Eva.Morning.Eva_Morning_06.12990} 我会把我的一切错误都归咎于孩子们——通过一个娃娃操控我。多完美的借口！
{Dialogs2.Eva.Morning.Eva_Morning_06.56889} 他们应该扮演比我、布拉赫和克拉拉更有趣的人。比如西蒙。或者你。
{Dialogs2.Eva.Morning.Eva_Morning_06.16109} 这很令人受宠若惊。我小时候也常假装自己是书里的英雄。
{Dialogs2.Eva.Morning.Eva_Morning_06.65203} 好在现实生活里，我们不必遵守儿童剧作法。
{Dialogs2.Eva.Morning.Eva_Morning_06.5201} 所有人都该多帮助彼此。不只是娃娃。
{Dialogs2.Eva.Morning.Eva_Morning_06.6124} 我注意到了。那两个人像是在和我竞争。
{Dialogs2.Eva.Morning.Eva_Morning_06.9923} 你们都想赢——这是你们的共同点。一个小信使向我央求你的纽扣时，其他孩子正在争论怎样玩才算合适。他们决定，娃娃一开始应该互相帮助，然后到最后再争吵。
{Dialogs2.Eva.Morning.Eva_Morning_06.26302} 我们不是敌人。如果他们中有谁设法战胜了瘟疫——我只会鼓掌。
{Dialogs2.Eva.Morning.Eva_Morning_06.1243} 你准备接受别人的答案？这可不像你。一个小信使向我央求你的纽扣时，其他孩子正在争论怎样玩才算合适。他们决定，娃娃一开始应该互相帮助，然后到最后再争吵。
{Dialogs2.Eva.Morning.Eva_Morning_06.58814} 为什么是我们三个？镇民已经不够用了，所以现在改用新来的人做娃娃？
{Dialogs2.Eva.Morning.Eva_Morning_06.6926} 又是本地仪式？他们想咒我吗？
