{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Children_Second.65291} 客人要来玩猜谜！他会玩的！告诉我们，我们现在最喜欢的游戏是什么？
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Children_Second.6279} 听着，他是基拉的朋友。努赫尔！基拉总是愿意和我们玩。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Children_Second.30894} 别担心，先生！我会替你攥紧手指祈愿。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Children_Second.38861} 好吧，我们就这么办……你一定喜欢动来动去的游戏。比如捉人，或者球。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Children_Second.19485} 你真逗！谁不喜欢那些！球和捉人最好了，可它们什么时候都好，不只是现在。我们现在有个新游戏——我们最喜欢的。你猜错了，先生。错了！
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Children_Second.63423} 抱歉。我就是你们说的“错猜鬼”。克莱门汀的娃娃啊，原谅我，我辜负了你。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Children_Second.30268} 噢，不！我不敢相信！娃娃没帮到你吗？
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Children_Second.40977} 错了！你就是克莱门汀说的“错猜鬼”，我们不把秘密告诉错猜鬼。尤其是重要秘密——比如大人去哪儿了！
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Children_Second.19540} 我输了。不过那是因为大人本来就不擅长孩子的游戏。想让我教你们一个新游戏吗？我在首都玩过的。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Children_Second.40908} 哈！你收买不了我们！秘密不卖。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Children_Second.15152} 教我，教我！我想学新游戏。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Children_Second.15731} 游戏是这样的。两个人在门外敲门，数到一个只有他们知道的数。屋里的人要尽快收拾箱子。数完以后，敲门的人就闯进来。箱子里最后装进去的东西，就是你能带到世界尽头的全部。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Children_Second.59521} 我不喜欢做准备，哪怕只是出门散步——更别说世界尽头了。大家都说我慢吞吞。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Children_Second.20619} 我有点可怜基拉的朋友。他已经很努力了。基拉是不是这样说的？就算第一次失败，肯试也很重要。我们告诉他吧。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Children_Second.27389} 这不公平。虽然他的游戏确实有趣，我承认。克莱门汀，你来投票。你决定。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Children_Second.16509} 我一开始就想告诉他！先生，我们新的最爱游戏是茶会。我们偷偷聚在一起，就像大人那样。每个人带自己的杯子，就像大人那样。然后摆出很神秘的脸。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Children_Second.55600} 为什么这个游戏成了你们的新最爱？
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Children_Second.37761} 大人们自己也玩。他们拿上杯子，走开去摆神秘的脸。脸比杯子更重要。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Children_Second.8953} 要是你告诉他们，是我们把他们的戏码漏出去的，我们会有麻烦。因为这是秘密！我们是在河岸边用药盒捉甲虫时发现的。大人们就在戈尔洪河边开茶会！
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Children_Second.50705} 离这里不远。出去，沿着河岸走。我看见了茶会——而斯缪和针尖不会把我带到太远的地方去捉甲虫。我还小。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Children_Second.9097} 这就是大人现在去的地方吗？河岸？
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Children_Second.38482} 他们还能去哪儿？我们没去查，但很确定。他们在河岸边喝茶，摆着神秘的脸！
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Children_Second.39574} 你们为什么没把这个茶会告诉基拉？
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Children_Second.31704} 我们给她看了！真正的茶会，是我们自己的。我们邀请了她——最后一刻还给她找了个杯子——把一切都给她看了。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Children_Second.28462} 基拉很好。有时候我会想，她是不是像我一样是个女孩子，只是长大了。她总愿意和我们玩！
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Children_Second.60929} 我们担心如果把大人的茶会告诉她，她就会加入他们。我们想让基拉和我们玩！
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Children_Second.51763} 我明白了。基拉没解开你们的谜……告诉我，孩子们，斯塔霍维亚克先生对你们来说是谁？你们的父亲？叔叔？邻居？
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Children_Second.50551} 他是萨夫卡的爸爸。萨夫卡玩医生——他会把我们害死的！
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Children_Second.35679} 萨夫卡因为我们的茶会惹了大麻烦。我们忘了收起杯子，被他爸爸看见了。萨夫卡真倒霉！
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Children_Second.41415} 萨夫卡为什么不在这里？他被罚了吗？我在屋里没见到他。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Children_Second.57727} 大人都走了，罚不了他。他大概在楼上某处，在大人的房间里。仔细找——他很会躲。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Children_Second.24976} 谢谢你们，孩子们。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Children_Second.34586} 我不会告诉大人，是你们泄露了他们的秘密。我完全可以说，我是碰巧遇见他们的……在捉甲虫的时候。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Children_Second.32022} 萨夫卡父亲的房间是哪一间？我也想和他玩猜谜游戏。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Children_Second.20361} 楼上，所有大人的房间都在那里。门通常锁着。不过你可以试试。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Children_Second.35090} 可他们在那儿做什么？
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Children_Second.19963} 你没听见我们说吗？他们喝茶。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Children_Second.14340} 再给我看看你的神秘脸。我需要照着练！
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Children_Second.31297} 想象一个不可战胜的敌人，一个最可怕的人。然后，不管你在做什么——比如刷牙——你都得想：这件事怎么帮我打败那个不可战胜的敌人？
