{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Savka_First.25228} 你好，同僚。我是萨夫卡。我也是医生。不，等等。我才是医生。你也是医生。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Savka_First.16586} 很高兴见到你，同事。你的专长是什么？外科、内科、神经科？也许我们运气好，你是流行病学家？
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Savka_First.54840} 你怀疑我？不该怀疑。我做过一场极其复杂的手术——从针刺的掌心取出木刺。没有麻醉！他一边骂，一边用空着的手敲我的头。这算什么工作环境？
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Savka_First.9359} 你也和我一样会被病人惹恼。真正的医生！
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Savka_First.40651} 我是高度糖证过的专家。你有什么问题？是要就疑难病例征询意见？还是……你自己病了？等一下……转到光里来……
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Savka_First.51623} 你要检查我？
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Savka_First.46188} 你的眼睛、耳朵，还有很可能，你的小灰细胞都累了。普通检查不够。我需要取样，可我还没学会。假说：灯一灭你就睡不着，然后整天偷糖，好补充能量。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Savka_First.4724} 正中要害。你这么轻易揭穿我的秘密，真让人害怕。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Savka_First.57468} 诊鼻……我是说，诊懂，‘我很确定’的古老说法……好了。你有脑虱。它们啃你的念头，扰乱你的睡眠。糖是它们最爱吃的。你看，不是你在拿糖，是你脑袋里的脑虱在拿。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Savka_First.64370} 你会建议什么疗法，同事？
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Savka_First.61246} 有两种：手术和谈守治疗。不知为什么，我觉得你会拒绝手术，那我们就试试谈话。如果你觉得有虱子在啃一个念头，别抓它。好好跟它说话，它也许就走了。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Savka_First.54830} 谢谢你，同事。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Savka_First.64455} 不用谢。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Savka_First.22705} 其实，我有基拉的消息。她病了。你观察到什么症状了吗，同事？
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Savka_First.38329} 当然观察到了。基拉得了急板症——有了这个诊懂，皮疹会像钢琴家敲键一样飞快冒出来。基拉让我做了个实验——用花粉碰她的皮肤。那场面可真值得一看！鲜红的一块！你知道这个症看吗，同事？
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Savka_First.62379} 你喜欢实验，是吧？小小科学家！等你长大，该去首都求学。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Savka_First.28144} 然后让镇上没医生？我不能这么做。至于基拉……我确信她会没事。我告诉她离花粉远点。医嘱！
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Savka_First.20610} 基拉担心你父亲，胜过担心她自己。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Savka_First.50360} 哦……她也注意到他病了？还告诉了你？
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Savka_First.50378} 是的。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Savka_First.32402} 爸爸要是发现你知道了，会发火的。我去检查他时，他已经对我发过火了！一点也不支持我的医业生涯。所以趁他不在，我偷偷进了他的房间。我在找隐损征象。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Savka_First.41987} 萨夫卡，我真的很佩服你。你是个很好的医生。永远别怀疑这一点。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Savka_First.52098} 多谢。我明白，爸爸的诊懂比基拉严重。他发热、头疼。这些是损坏征象。不过隐损征象告诉我，他正在好转。正在吐出噬胸虫。
