{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Utopians.15227} 友好的态度和幸运的转机，能让你不靠蛮力治理一个小共同体。个人权威能创造奇迹。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Utopians.12475} 可以想见，但这要求每个共同体成员都有高度觉悟和个人责任。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Utopians.21871} 责任总与独立并行。既然如此，在一只父亲般的手引导我们、保护我们免于愚行时，我们又怎能抵达乌托邦？
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Utopians.40708} 告诉我，吗啡是你们在这里唯一沉湎的愚行吗？这话听上去也许奇怪，但我需要知道你们是不是在办茶会。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Utopians.7657} 这座城大约十天没人引导了，而我们恐怕也没抵达乌托邦。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Utopians.25967} 你确定自己一眼就能认出来？我们不能。所以我们才举行晚间聚会——学习辨认那个像风暴一样朝我们逼来的新世界的形状。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Utopians.24146} 你们聚会时喝茶吗？我不是开玩笑——我在河岸上找一群办茶会的人。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Utopians.45043} 茶会？有趣的委婉说法。首都人都这么叫？无论如何，能在这美好的夜晚遇见一位有学识、能加入我们辩论的人，真是愉快。来点吗啡吧，我们请客。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Utopians.4571} 我在值班。必须保持清醒。不过谢谢你的好意。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Utopians.24256} 瘟疫正肆虐，每一安瓿都要紧，你们却只顾取乐？真可耻。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Utopians.36562} 然后像你这些朋友一样脸朝下躺在草里？当然，我会把自己放倒。这正是我需要的。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Utopians.7651} 不。这就是乌托邦。治理机构应垄断暴力——否则就会面对无政府状态。任何违法者都应感受到惩罚的必然。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_Utopians.12212} 也祝你晚上好。
