{Dialogs2.Hospital.Day10.Hospital_Tochechka.Hospital_Tochechka_Interview.28916} 我很抱歉，医生！事情那么多……我却失手了。我觉得自己辜负了您，糟透了。
{Dialogs2.Hospital.Day10.Hospital_Tochechka.Hospital_Tochechka_Interview.5092} 时机确实不幸。我的助手如今成了我的病人。
{Dialogs2.Hospital.Day10.Hospital_Tochechka.Hospital_Tochechka_Interview.14374} 但你不会把我赶出去吧？我还能有用！只要我的腿还能撑住我，我就是你的助手，对吗？
{Dialogs2.Hospital.Day10.Hospital_Tochechka.Hospital_Tochechka_Interview.26444} 看看你把自己逼成什么样了……这就是你病倒的原因。你从不让自己休息片刻。
{Dialogs2.Hospital.Day10.Hospital_Tochechka.Hospital_Tochechka_Interview.27183} 我还能怎么办？我没有学位，也没上过大学。只有拼命工作，才能弥补我的无知。否则我还有什么用？反正现在也不重要了。
{Dialogs2.Hospital.Day10.Hospital_Tochechka.Hospital_Tochechka_Interview.8046} 你确定是瘟疫？检测确认了吗？
{Dialogs2.Hospital.Day10.Hospital_Tochechka.Hospital_Tochechka_Interview.39284} 当然。我每天都检测我们的护理员。他们总在感染区里走动。就算戴着面罩，也没有保证。可我哪儿都不去！所以……有两天我疏忽了，没有检测自己。今天一测——就在那里。阳性。
{Dialogs2.Hospital.Day10.Hospital_Tochechka.Hospital_Tochechka_Interview.49181} 我还是不敢相信……
{Dialogs2.Hospital.Day10.Hospital_Tochechka.Hospital_Tochechka_Interview.51044} 哦，我立刻就信了。甚至还有点高兴。你明白我的意思。检测后三小时过去了——没有溃疡。这说明第二个诊断成立。我的血可以用来制造疫苗。所以其实什么都没变。我只是到了屏风的另一边。
{Dialogs2.Hospital.Day10.Hospital_Tochechka.Hospital_Tochechka_Interview.58997} 屏风可以等，我们先谈你的症状。能列出来吗？
{Dialogs2.Hospital.Day10.Hospital_Tochechka.Hospital_Tochechka_Interview.636} 轻微气短。我以防万一记在病历里了……但也可能只是我的错觉。我也许在这里接触了某些化学物质，或者起了过敏。我的意思是，我昼夜都在这里。也睡在这里。为了两个小时的睡眠再一路回家，毫无意义。
{Dialogs2.Hospital.Day10.Hospital_Tochechka.Hospital_Tochechka_Interview.10580} 雅科夫，你需要一次正式检查。
{Dialogs2.Hospital.Day10.Hospital_Tochechka.Hospital_Tochechka_Interview.46117} 要把我的样本直接送到显微镜下吗？试剂够吗？
{Dialogs2.Hospital.Day10.Hospital_Tochechka.Hospital_Tochechka_Interview.26533} 哪怕睡不着，也先休息一会儿。我很快来找你。
{Dialogs2.Hospital.Day10.Hospital_Tochechka.Hospital_Tochechka_Interview.637} 在说自己没什么不适之前，请记住，我多么厌恶那些过分忍耐、忍到害了自己的病人。雅科夫，这辈子就这一次，我请你抱怨！这是为了正事。
{Dialogs2.Hospital.Day10.Hospital_Tochechka.Hospital_Tochechka_Interview.44494} 安全措施呢？你假定伴发疾病会让你不具传染性？
{Dialogs2.Hospital.Day10.Hospital_Tochechka.Hospital_Tochechka_Interview.3364} 检测已经过去相当一段时间了——我还是没看到任何溃疡。是你亲自教我这个计算的。三小时没有溃疡，就意味着第二诊断成立。我的血可以用来制造疫苗。所以其实什么都没变。我只是到了屏风的另一边。
{Dialogs2.Hospital.Day10.Hospital_Tochechka.Hospital_Tochechka_Interview.28120} 如果这能让你好受点，我允许你工作。
{Dialogs2.Hospital.Day10.Hospital_Tochechka.Hospital_Tochechka_Interview.19751} 谢谢你，医生。我想一直有用到最后。如果工作不是药，至少也是麻醉剂。
{Dialogs2.Hospital.Day10.Hospital_Tochechka.Hospital_Tochechka_Interview.41576} 我允许你工作。现在这座城少不起一个医务人员。
{Dialogs2.Hospital.Day10.Hospital_Tochechka.Hospital_Tochechka_Interview.43132} 不要责备自己，雅科夫。这几天你为医院做了太多。为了人们，也为了我。你早已配得上一场喘息。
{Dialogs2.Hospital.Day10.Hospital_Tochechka.Hospital_Tochechka_Interview.10196} 我们都知道，医生，那种喘息没人能回来。我不休息，至少现在不。只要腿还能撑住我，我就工作。
