{Dialogs2.Hospital.Day4.Hospital_Chernyak.Hospital_Chernyak_NewQuestions.29612} 别告诉我我没救了，医生。要真是那样，就对我撒个谎……
{Dialogs2.Hospital.Day4.Hospital_Chernyak.Hospital_Chernyak_NewQuestions.20495} 现在谈那个还太早。我们先过一遍细节。
{Dialogs2.Hospital.Day4.Hospital_Chernyak.Hospital_Chernyak_NewQuestions.18154} 问吧。任何买卖都得注意细节。只要记住，时间就是钱。尤其是我的时间。
{Dialogs2.Hospital.Day4.Hospital_Chernyak.Hospital_Chernyak_NewQuestions.16982} 你知道自己背上有皮损吗？
{Dialogs2.Hospital.Day4.Hospital_Chernyak.Hospital_Chernyak_NewQuestions.16416} 那块起鳞的斑？知道。像晒伤后脱皮。怪得很……又不是夏天，我也没光膀子干活的习惯。老实说，我不知道自己怎么晒成这样的。
{Dialogs2.Hospital.Day4.Hospital_Chernyak.Hospital_Chernyak_NewQuestions.6263} 你的脉搏很快。持续多久了？
{Dialogs2.Hospital.Day4.Hospital_Chernyak.Hospital_Chernyak_NewQuestions.41665} 我在这儿像马一样干活，医生！心脏当然得拼命跟上活计。最近也许更重了一点……我没太留意。
{Dialogs2.Hospital.Day4.Hospital_Chernyak.Hospital_Chernyak_NewQuestions.12032} 你的眼睛发红。
{Dialogs2.Hospital.Day4.Hospital_Chernyak.Hospital_Chernyak_NewQuestions.16167} 是，我也注意到了。最近才这样。一定是活太多累的。我这行里，什么都得自己来——店主、搬运工、装卸工、跑腿……卸完二十袋土豆再揉眼睛时，不一定有空先洗手。
{Dialogs2.Hospital.Day4.Hospital_Chernyak.Hospital_Chernyak_NewQuestions.10974} 你在喘气。注意到气短了吗？
{Dialogs2.Hospital.Day4.Hospital_Chernyak.Hospital_Chernyak_NewQuestions.25934} 注意到了，医生。这可真该死！干我这行，一整天都得站着。现在我喘不上气，像痨病在活活啃我。我从没这样过。这让我恼火。要是连自己都靠不住，我还有什么用？
{Dialogs2.Hospital.Day4.Hospital_Chernyak.Hospital_Chernyak_NewQuestions.11686} 你脸上的这些斑……是新近出现的吗？
{Dialogs2.Hospital.Day4.Hospital_Chernyak.Hospital_Chernyak_NewQuestions.8038} 是草原风，医生。像鞭子一样狠。那边无处可躲——没有房子，没有谷仓，一直到地平线。风咬了我，仅此而已。
{Dialogs2.Hospital.Day4.Hospital_Chernyak.Hospital_Chernyak_NewQuestions.34861} 你说草原。你和草原人做过买卖？
{Dialogs2.Hospital.Day4.Hospital_Chernyak.Hospital_Chernyak_NewQuestions.48561} 没东西的人怎么做买卖！不，医生，草原人没什么利润可图。但他们帮了我这批最新的货。我欠他们很大的人情。
{Dialogs2.Hospital.Day4.Hospital_Chernyak.Hospital_Chernyak_NewQuestions.13348} 帮了你？怎么帮？
{Dialogs2.Hospital.Day4.Hospital_Chernyak.Hospital_Chernyak_NewQuestions.64814} 就是这场隔离的乱事！我带着重货从下城回来，火车停了。我不得不在荒郊野外带着所有货物下车。于是我付钱给几个草原人，让他们当搬夫和向导。没有他们，我绝找不到回家的路。
{Dialogs2.Hospital.Day4.Hospital_Chernyak.Hospital_Chernyak_NewQuestions.25259} 你倒是有办法。希望你给了他们足够的报酬。那趟路本身怎么样？
{Dialogs2.Hospital.Day4.Hospital_Chernyak.Hospital_Chernyak_NewQuestions.59270} 我不是到了吗？连货也到了。我累得像条狗，可我不能把物资扔下。多少年没在露天睡过，脸贴着草。那些人怎么这样活？
{Dialogs2.Hospital.Day4.Hospital_Chernyak.Hospital_Chernyak_NewQuestions.205} 脸贴着草？这很有意思……
{Dialogs2.Hospital.Day4.Hospital_Chernyak.Hospital_Chernyak_NewQuestions.10743} 那没什么有意思的，医生，也不舒服。不推荐任何人试。那草也不对劲——说不上死了，但像发霉还是什么。我已经尽全力把货送到了！要是我直接丢下货，就不用睡在地上了。
{Dialogs2.Hospital.Day4.Hospital_Chernyak.Hospital_Chernyak_NewQuestions.50777} 嗯。你会说，穿过草原之后身体更糟了吗？
{Dialogs2.Hospital.Day4.Hospital_Chernyak.Hospital_Chernyak_NewQuestions.70} 当然更糟。我累得像条狗，可我不能把物资扔下。多少年没在露天睡过，脸贴着草。那些人怎么这样活？
{Dialogs2.Hospital.Day4.Hospital_Chernyak.Hospital_Chernyak_NewQuestions.28669} 所以，你从草原人那里买了什么？
{Dialogs2.Hospital.Day4.Hospital_Chernyak.Hospital_Chernyak_NewQuestions.17727} 我说过了，做买卖的话，草原人派不上用场。但这次我带着重货从下城回来——火车偏偏停运。我不得不在荒郊野外带着所有货物下车。于是我付钱给几个草原人，让他们当搬夫和向导。没有他们，我绝找不到回家的路。
{Dialogs2.Hospital.Day4.Hospital_Chernyak.Hospital_Chernyak_NewQuestions.57793} 症状太多了，这不对……有些必须排除……
{Dialogs2.Hospital.Day4.Hospital_Chernyak.Hospital_Chernyak_NewQuestions.31231} 我可以检查你吗？请到屏风后面去。
{Dialogs2.Hospital.Day4.Hospital_Chernyak.Hospital_Chernyak_NewQuestions.27725} 请忍耐一下，我需要取些样本。
{Dialogs2.Hospital.Day4.Hospital_Chernyak.Hospital_Chernyak_NewQuestions.19014} 我需要时间思考你的病例。请耐心等候。
