{Dialogs2.Hospital.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Neighbour.64820} 我刚把地拖干净，你就这样一路踩过来！你知道要把它擦干净费了我多久吗……
{Dialogs2.Hospital.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Neighbour.36118} 抱歉，我不太擅长倒立行走。不知为什么，我的腿总往左偏。
{Dialogs2.Hospital.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Neighbour.16071} 别演小丑了，行吗？先是他把浴室翻了个底朝天，可那是这些公寓唯一的浴室！人们在这里给孩子洗手，自己每周二和周四洗澡。他们一直保持得干净……现在又有你在这里说风凉话。你八成是菲拉特的朋友吧？
{Dialogs2.Hospital.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Neighbour.51782} 如果本地人没说错，医生更像敌人而不是朋友。当然，这本身值得研究。一次人类学研究……关于自毁倾向。
{Dialogs2.Hospital.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Neighbour.3795} 我现在只看见浴室毁灭倾向。来自你……你鞋上的泥！
{Dialogs2.Hospital.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Neighbour.7043} 如果病人回答我的问题，而不是像小孩一样撒谎，我的鞋就不会沾泥！我并不喜欢拖着自己满城跑，只为收集某个人的病史。
{Dialogs2.Hospital.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Neighbour.36212} 所以菲拉特在医院……也许这样最好。
{Dialogs2.Hospital.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Neighbour.17254} 人生病是最好？嘿，别移开眼。是你说的，不是我。
{Dialogs2.Hospital.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Neighbour.21601} 别让我羞愧！我照顾了他一辈子，做饭、打扫，还有那些琐事。他是个孤人，没人照看，我帮他也不算太麻烦。毕竟我们是邻居。他和我丈夫从小就是朋友。
{Dialogs2.Hospital.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Neighbour.47771} 听起来倒像田园诗。
{Dialogs2.Hospital.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Neighbour.12596} 后来我们渐渐疏远了些，但他过去总会谢我……然后有一天，砰，他像把一切都忘了。再不说一句话。低着眼从我身边溜进公寓，不问好，也不道别。可他倒让这个浴室见识了谁才是主人。
{Dialogs2.Hospital.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Neighbour.45987} 所以这种狂乱的暴怒不是菲拉特的常态？他以前从不砸东西，举止得体？
{Dialogs2.Hospital.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Neighbour.32251} 什么人会这样，太容易猜了……酒鬼常这样。上一刻还安静坐着，下一刻就突然谵妄！闹成这样，弄得一团糟，至少他没把谁打倒！
{Dialogs2.Hospital.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Neighbour.44191} 他酗酒多久了？这是他第一次震颤性谵妄，还是以前也有过？
{Dialogs2.Hospital.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Neighbour.24984} 他以前不喝，可你去看看窗外。镇子都要散架了。足够让圣人也开始喝酒。人们像疯了一样……有的抓起酒瓶，有的抓起刀。很难继续做人。每个人心里的野兽都想冲出来。
{Dialogs2.Hospital.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Neighbour.7457} 所以你确定菲拉特是在醉酒迷乱中砸了那地方？还是这只是你的推测？
{Dialogs2.Hospital.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Neighbour.20326} 那你觉得发生了什么？他不只是砸了公用浴室，还吐得到处都是。整间都糟透了……我以为永远洗不干净！你知道擦别人的呕吐物是什么滋味吗？像你这种穿得体面的人怎么会知道，嗯？
{Dialogs2.Hospital.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Neighbour.18834} 夫人，我上过医学院。过去我搬过的呕吐物，比这整栋楼能吐出来的还多。
{Dialogs2.Hospital.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Neighbour.7034} 你弄清自己需要的了吗？我想把这里清理完。楼下的孩子们很快要来饭前洗手。最好别让他们看见这烂摊子！
{Dialogs2.Hospital.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Neighbour.43678} 再等一会儿。关于菲拉特，你还能告诉我什么？你知道他过去得过什么病吗？慢性的，急性的……任何你记得的都行。
{Dialogs2.Hospital.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Neighbour.21009} 不。他从来不病。强壮结实得像拉车马！我是说，我真能想象他去拉一辆车。正因为这样，当年他们才雇他去守奥尔金斯基家的肉类加工厂。
{Dialogs2.Hospital.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Neighbour.41582} 那时你们谈得更多，对吗？
{Dialogs2.Hospital.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Neighbour.15232} 要我说，菲拉特也许有那副身板……可那活不适合他。蚁巢需要守卫，是为了不让草原野蛮人在镇上乱闯。可他竟然对他们生出同情！所以我才和他闹翻。我们争论虫民和草药新娘是不是和我们平等。哪有这样的守卫！
{Dialogs2.Hospital.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Neighbour.65093} 野蛮人，你说……你有没有想过，首都来的人也许会把这种小镇里的所有人都看作“野蛮人”，不管是你还是虫民？
{Dialogs2.Hospital.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Neighbour.18896} 这叫什么话！别想把我绕糊涂。反正我也没时间拆解你的哲学话。我还得把浴室收拾完。菲拉特也开始讲哲学，结果既毁了我们的友谊，又让他成了酒鬼。那没半点好处。
{Dialogs2.Hospital.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Neighbour.29729} 菲拉特的房间在哪里？走之前，我还是想看一眼。
{Dialogs2.Hospital.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Neighbour.1731} 走廊再往前。钥匙给你——我还有活要干。在这里累死累活半天，是谁的错？一个傻瓜，如今还是酒鬼，可怜的灵魂……
{Dialogs2.Hospital.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Neighbour.17434} 你帮了很大忙。
{Dialogs2.Hospital.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Neighbour.23612} 现在，我必须记得把幻觉和呕吐记进他的病历。根据邻居证词。
{Dialogs2.Hospital.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Neighbour.20126} 如果我们再看看静脉问题，以防菲拉特说错……那就只剩一个诊断了。但我仍得检查他的房间，不然我跑这么远做什么？
{Dialogs2.Hospital.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Neighbour.33252} 这种看法让你显得并不光彩。倒是你的邻居，听起来像个有良知的人！
{Dialogs2.Hospital.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Neighbour.65071} 他也和我争过。争的是面对迫近的瘟疫时，把人关起来是否正当……以及人是否可以为了自身利益而被隔离……
{Dialogs2.Hospital.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Neighbour.24615} 守肉类加工厂是苦差。也许正是这份工作最初毁了他的健康。
{Dialogs2.Hospital.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Neighbour.34675} 我们能不能再回到他饮酒的问题？你的谵妄假说有逻辑，但仍只是猜测。事实上，他否认饮酒习惯时听起来很真诚……
