{Dialogs2.Hospital.Day5.Hospital_Day5_Orderly_Main.15878} 医生，出事了。我们本以为收进来了三个病人，正好够做疫苗，可其中一个……
{Dialogs2.Hospital.Day5.Hospital_Day5_Orderly_Main.15935} 怎么了？快说，小家伙。
{Dialogs2.Hospital.Day5.Hospital_Day5_Orderly_Main.4256} 是流浪汉博博克，本地那种“圣愚”。我们把他带了进来，给他查了鼠疫，也没虐待他什么的，可他突然就不肯配合流程了！也许您能劝劝他？
{Dialogs2.Hospital.Day5.Hospital_Day5_Orderly_Main.43923} 真是怕什么来什么，碰上倔病人了。
{Dialogs2.Hospital.Day5.Hospital_Day5_Orderly_Main.38994} 请您想想办法吧，医生……\n\n另外还有夏普。他平时挺安静的，可现在有点不对劲。还有个草原人，叫奥克泰——看着也像是疯了。今天可真是<i>够呛！</i>
{Dialogs2.Hospital.Day5.Hospital_Day5_Orderly_Main.45564} 夏普怎么了？
{Dialogs2.Hospital.Day5.Hospital_Day5_Orderly_Main.24370} 他想坐火车逃出城。有人答应过他，说火车会开走……他，还有一大群人。\n\n可后来他们没能出去——有人把他们锁在里面了。接着就发生了踩踏，几乎没人活下来。
{Dialogs2.Hospital.Day5.Hospital_Day5_Orderly_Main.6801} 你为什么觉得奥克泰疯了？
{Dialogs2.Hospital.Day5.Hospital_Day5_Orderly_Main.23212} 他说的那些话……我也听过各种草原人的说法了，可从没听过像奥克泰那样的<i>任何</i>东西。您最好亲自去问他。
{Dialogs2.Hospital.Day5.Hospital_Day5_Orderly_Main.32751} 好吧，事不宜迟。我去看看这些病人。
{Dialogs2.Hospital.Day5.Hospital_Day5_Orderly_Main.62384} 等一下！我总算找到显微镜用的试剂了。我们终于能取样了。哦，现在我们可算<i>开张了</i>！
{Dialogs2.Hospital.Day5.Hospital_Day5_Orderly_Main.34381} 谢谢你，小家伙。我还担心那台显微镜就要一直在那儿吃灰了。
{Dialogs2.Hospital.Day5.Hospital_Day5_Orderly_Main.19875} 人一旦知道自己只剩几天可活，往往什么傻事都做得出来。我去和那个流浪汉谈谈。
{Dialogs2.Hospital.Day5.Hospital_Day5_Orderly_Main.17265} 哦，我们这边出了您可以称作“紧急状况”的事……今天配给的吗啡被人偷了。储备倒还有一点，可说真的——医院才开第二天，就已经出盗窃了！
{Dialogs2.Hospital.Day5.Hospital_Day5_Orderly_Main.30368} 医院能拿到补给是好事，可惜看守得太差了。你见过什么可疑的人吗？
{Dialogs2.Hospital.Day5.Hospital_Day5_Orderly_Main.8760} 是我的错，是我没盯住。可医院这种地方，你总不能长出更多眼睛来！病人在这边，护工在那边，文书工作又<i>到处都是……</i>\n\n我已经盘问过所有人了——除了您昨天放进来的那个女孩。她大多是在安慰垂死的人，握着他们的手。我不是说她没干活！但也许她看见了什么？
{Dialogs2.Hospital.Day5.Hospital_Day5_Orderly_Main.12521} 我亲自去问克拉拉。吗啡失窃的事我也会亲自处理。
{Dialogs2.Hospital.Day5.Hospital_Day5_Orderly_Main.2075} 这事闹成这样，真是再次对不住您……要不要我把病历档案交给您？
{Dialogs2.Hospital.Day5.Hospital_Day5_Orderly_Main.14851} 交给我。
{Dialogs2.Hospital.Day5.Hospital_Day5_Orderly_Main.3728} 有个流浪汉博博克，本地那种“圣愚”……还有夏普，他平时挺安静的，但有点不对劲。还有个草原人，叫奥克泰——看着也像是疯了。今天可真够呛！
{Dialogs2.Hospital.Day5.Hospital_Day5_Orderly_Main.12060} 夏普怎么了？
{Dialogs2.Hospital.Day5.Hospital_Day5_Orderly_Main.21756} 他想坐火车逃出城。有人答应过他，说火车会开走……他，还有一大群人。\n\n可后来他们没能出去——有人把他们锁在里面了。接着就发生了踩踏，几乎没人活下来。
{Dialogs2.Hospital.Day5.Hospital_Day5_Orderly_Main.54882} 你为什么觉得奥克泰疯了？
{Dialogs2.Hospital.Day5.Hospital_Day5_Orderly_Main.3558} 他说的那些话……我也听过各种草原人的说法了，可从没听过像奥克泰那样的<i>任何</i>东西。您最好亲自去问他。
{Dialogs2.Hospital.Day5.Hospital_Day5_Orderly_Main.2682} 你们是怎么找到那个流浪汉的？
{Dialogs2.Hospital.Day5.Hospital_Day5_Orderly_Main.14709} 多亏了我们的护工。他们说他一直在一间被封死的鼠疫屋附近转悠。
{Dialogs2.Hospital.Day5.Hospital_Day5_Orderly_Main.32139} 我去看看病人。
{Dialogs2.Hospital.Day5.Hospital_Day5_Orderly_Main.60392} 等一下！我总算找到显微镜用的试剂了。我们终于能取样了。哦，现在我们可算<i>开张了</i>！
{Dialogs2.Hospital.Day5.Hospital_Day5_Orderly_Main.62283} 谢谢你，小家伙。我还担心那台显微镜就要一直在那儿吃灰了。
{Dialogs2.Hospital.Day5.Hospital_Day5_Orderly_Main.59250} 我开医院可不是为了抓贼的。
{Dialogs2.Hospital.Day5.Hospital_Day5_Orderly_Main.31581} 肇事的人我已经找到了。忘了这件事吧——这不是你的责任。
{Dialogs2.Hospital.Day5.Hospital_Day5_Orderly_Main.16422} 医生！医生！请原谅我，我居然彻底忘了把另一个病人的档案交给您了。这些文书活……真让人头都大了！
{Dialogs2.Hospital.Day5.Hospital_Day5_Orderly_Main.2910} 好了好了。什么病人？
{Dialogs2.Hospital.Day5.Hospital_Day5_Orderly_Main.22759} 我自己也不明白怎么会这样。不会再发生了。\n\n流浪汉博博克，本地那种“圣愚”。是护工把他带来的。他们说他一直在一间被封死的鼠疫屋附近转悠。
{Dialogs2.Hospital.Day5.Hospital_Day5_Orderly_Main.21828} 我去看看他。
{Dialogs2.Hospital.Day5.Hospital_Day5_Orderly_Main.28312} 还有一件事……我们这边出了您可以称作“紧急状况”的事。今天配给的吗啡被人偷了。储备倒还有一点，可说真的——医院才开第二天，就已经出盗窃了！
{Dialogs2.Hospital.Day5.Hospital_Day5_Orderly_Main.28206} 医院能拿到补给是好事，可惜看守得太差了。你见过什么可疑的人吗？
{Dialogs2.Hospital.Day5.Hospital_Day5_Orderly_Main.6137} 是我的错，是我没盯住。可医院这种地方，你总不能长出更多眼睛来！病人在这边，护工在那边，文书工作又<i>到处都是……</i>\n\n我已经盘问过所有人了——除了您昨天放进来的那个女孩。她大多是在安慰垂死的人，握着他们的手。我不是说她没干活！但也许她看见了什么？
{Dialogs2.Hospital.Day5.Hospital_Day5_Orderly_Main.10583} 这事我来处理。
{Dialogs2.Hospital.Day5.Hospital_Day5_Orderly_Main.33369} 我开医院可不是为了抓贼的。
{Dialogs2.Hospital.Day5.Hospital_Day5_Orderly_Main.52490} 肇事的人我已经找到了。忘了这件事吧——这不是你的责任。
{Dialogs2.Hospital.Day5.Hospital_Day5_Orderly_Main.3822} 可我还是觉得内疚。请您原谅我。
{Dialogs2.Hospital.Day5.Hospital_Day5_Orderly_Main.19888} 我再说一遍：<i>忘了它吧，</i>小家伙。这事和你无关。
{Dialogs2.Hospital.Day5.Hospital_Day5_Orderly_Main.48115} 别为每一件小事都道歉。
{Dialogs2.Hospital.Day5.Hospital_Day5_Orderly_Main.46989} 原来你是这么看的……你觉得自己只是忘交了一份档案。有意思。
