{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_BadAndMean.40304} 瞧瞧这位伟大的可汗。可别看漏了他有多<i>了不起</i>！
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_BadAndMean.48217} 脸拉得跟灯罩似的。随时都要绷断啦！
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_BadAndMean.43995} 你看，他那脑壳太紧了。一直在压啊，挤啊，<i>碾啊……</i>
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_BadAndMean.4265} 我跟你说，这人脑袋里那根“压杆”可真是<i>长</i>得离谱。咱们问问医生这能不能治呗。趁早干预，诸如此类的！
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_BadAndMean.35447} 你们该不会是在说我吧？
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_BadAndMean.30527} 怎么，他还当真了？这不正好说中他了？
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_BadAndMean.18219} 没有，我们就是闲聊……说的是另一个医生。更聪明的那个。
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_BadAndMean.47384} 你们很没礼貌。
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_BadAndMean.21112} 我可不记得有哪条命令规定过得<i>尊敬</i>你。
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_BadAndMean.7923} 哎哟，你看他还<i>皱眉</i>呢！真以为冲我们吠一声，我们就会立正站好，对你<i>是，长官</i>啊？你想干嘛，傻老兄？
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_BadAndMean.19642} 我想问问你们那个朋友。叫博博克。
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_BadAndMean.44715} 流浪汉博博克？他算是你们的朋友？
