{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_GoodOne.11510} 我们已经下工啦，最亲爱的头儿，这会儿正享受应得的休息呢。
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_GoodOne.2088} 下工？你们是自愿帮忙的护工？
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_GoodOne.35399} ……也可以这么说吧，亲爱的老板。总之，我什么活都能应付。哪儿需要我，我就去哪儿。眼下最需要的就是休息，好让我明天精神焕发地继续为您效劳。
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_GoodOne.15049} 今天能帮我个忙吗？你认识博博克吗？
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_GoodOne.43199} 我们的博博克可是这世上最善良、最肯帮忙的人哪！可以说，他是那种根本不会拒绝别人的人。总想着帮别人……到头来把自己给忘了。他真是急着去做很多很多好事。
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_GoodOne.6929} 不会拒绝别人？我看他更像是个半傻子。
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_GoodOne.20915} 要按你这么说，那也是个最有同情心、最有用的“半傻子”。他替别人干活，也替别人受罪。大家把他当火中取栗的手，又把他当笑柄。\n\n他真是个非常、非常善良又乐于助人的人。
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_GoodOne.22675} 你说的“替别人干活”是什么意思？
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_GoodOne.56656} 嗯，这就有点尴尬了，亲爱的老板。我们不该把别人的脏衣服晾出来。人们愿意把各种事交给我们这种人，是因为他们只需付点零钱……又知道我们不会乱嚼舌根。\n\n所以还请您多包涵……我不能再往下说了。
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_GoodOne.40944} 我在这地方转了一圈，现在有几个问题。你介意回答吗？
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_GoodOne.5774} 我会尽力而为。虽然我实在想不出，您能在我们这垃圾堆里发现什么有趣的东西。
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_GoodOne.19778} 我发现了一些药。新的，没开封。怎么看都不像垃圾……它们是哪来的？放在这儿干什么？
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_GoodOne.43568} 看来您发现了……那我只好坦白了。这是付给博博克干活的报酬。当然啦，这位慷慨的好人又把它分给了大家。他觉得不管是自己用，还是拿去换东西，都行。城里闹鼠疫，谁都需要药。
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_GoodOne.40008} 什么活？他到底做了什么？
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_GoodOne.22655} 嗯，早些时候有几个护工来过，想找个人代替他们去查封锁的鼠疫屋。大概是他们自己太怕染上病。我也怕，所以我没去。可博博克答应了。\n\n他们先用药付他钱……后来又用拳头砸他的肋骨。
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_GoodOne.10170} 可他们为什么要<i>打</i>他？是他活干得不好吗？
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_GoodOne.27125} 哦不，他干得很好。他查完屋子出来，说：“里面有死人！咱们一起去把尸体抬出来吧。”而且他说这话时还那么<i>高兴</i>！多么实诚的人哪。\n\n可那些护工一下就恼了。他们本来就盼着自己不用进去。偏偏我们的博博克还一个劲催他们，说“死人总不能就这么丢着……”
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_GoodOne.36161} 这事我不会就这么算了。纪律对医院至关重要，那帮混账……
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_GoodOne.36618} 别这么激动嘛，亲爱的老板。人一旦怕到那个份上，脸上就会露出兽性。要是不露，那就会像博博克那样。你真想让所有人都变成博博克那样的圣愚吗？
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_GoodOne.28216} 最后一件事：博博克嘴唇裂开的伤也是那些护工弄的吗？我一直在想，那到底算不算症状……
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_GoodOne.23401} 就这儿？哦，我可不敢拿自己身上比划，免得沾上同样的东西……不，不是。那道嘴唇上的疮是在他和护工起冲突之前、在他去鼠疫屋之前就有了。
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_GoodOne.60449} 你尽管指。第一，迷信不管用。第二，那道疮多半正是那种病的症状——也正是它让博博克没有立刻死于鼠疫。
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_GoodOne.35211} 原来如此——我们的护工在让别人替他们干活？还在挥霍医院的物资！你知道他们叫什么吗？
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_GoodOne.8362} 他们干嘛要向我们报名字？再说戴着那种鸟嘴，我们隔着面具也看不清他们的脸。\n\n只有博博克认识他们——他跟他们打交道最多。有一天他从鼠疫屋里出来，对他们说：“我找到几具尸体，咱们一起去抬出来吧！”结果他们就狠狠干了他一顿……
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_GoodOne.15956} 到底什么人会用药来付流浪汉工钱？
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_GoodOne.50806} 垃圾堆后头有只玩具公牛。看着不像是被扔掉的，更像是……特地放在那里的。
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_GoodOne.62420} 是博博克放在那儿的。他正要进一间鼠疫屋的时候，有个小女孩像藤壶似的紧紧粘住他。“先生，把我的小公牛带出来！”她哭着求他。她说自己已经被转移走了，可那只小公牛还落在旧屋里。\n\n她担心它一个人会害怕、会孤单。那还只是个会和玩偶说话的小不点。
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_GoodOne.35231} 等等。博博克一直在说他失约了，说他没把某个小女孩的公牛带出来……难道还有<i>另外</i>一只公牛？还是说他把这只给忘了？
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_GoodOne.64292} 就是这只，亲爱的老板。我实在想不通他怎么会把这事忘了。\n\n博博克等了那个小女孩好久。他甚至还对着玩具说话，就像她还在一样……后来，他听说她死于鼠疫了。收留她的人是这么说的。哦，他哭得可惨了！而您却说他忘了……？
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_GoodOne.65359} 也许是他的记忆出了问题。你注意到过这种情况吗？
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_GoodOne.34102} 像他这样有福相的人，有时候你根本分不清他是原谅了，还是忘了。\n\n不过现在想想，他大概确实有记忆方面的问题。他把同一种药给了我三次，明明我根本不用他费劲劝。
