{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_Interview.22705} 你尽管治吧，不管是为了你自己还是为了我，我都无所谓。
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_Interview.32669} 我不需要你的许可。
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_Interview.4910} 那当然。可尊重呢，医生？每个活物都需要一点尊重。要是再加上一点怜悯……
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_Interview.37227} 我为什么要尊重你？你不过是个普通流浪汉——一个叫花子。别的病人都躲着你。
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_Interview.44758} 我也这么觉得，医生。你尽可以瞧不起我……我是个没用的人，是个可怜虫。一个硬币能换来十几个我这样的。你何必救我呢？
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_Interview.43527} 这由我来决定。我们还是直奔主题吧。你有什么不适？
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_Interview.35848} 抱歉。我的职业口吻常常显得太生硬了。我并没有侮辱你的意思。
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_Interview.27410} 尊重和怜悯要靠行动来表达，不靠嘴说。
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_Interview.13998} 这话再真不过了，医生。我也这么想！像我这样没用的可怜虫，总想逮着机会做点对的事，好让自己赎点罪。
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_Interview.45875} 那就劳驾你现在做件对的事。告诉我，你有什么不适。
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_Interview.47001} 我想，这也是为了整座城的好处。你得的是沙疫。它是致命的……但你的血可以帮别人免于染病。
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_Interview.64584} 看来这大概就是我的命了……我可真是个走运的人！我会死，可我还能帮到别人。人就该互相扶持——你说对不对，医生？
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_Interview.61290} 嗯……人要是<i>字面意义上</i>挤在一起，只会让传染扩散得更快。
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_Interview.17895} 你就是这样过日子的，是吧？什么事都要拐个科学弯来讲。也许这在<i>科学上确实没错</i>，可按人的标准来看，也未免太阴沉、太绝望了吧？\n\n人若不从同类那里寻找安慰，还能从哪里找呢？
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_Interview.55840} 可如果离开科学，这城里的人谁也安慰不了谁，因为鼠疫会把他们全带走。所以还是直说吧。你身体哪里不舒服？
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_Interview.23809} 我同意。没有他人的帮助，很多事都做不成。比如说，一个不配合的病人，就会让医生很难诊断。
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_Interview.39715} 我可不是什么好助手，医生！你那套科学我一点也不懂。但如果我能帮上忙，我很乐意帮。这是唯一的办法。
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_Interview.2702} 那就请帮我。告诉我你身体哪里不舒服。其实很简单。
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_Interview.4909} 讨论这些抽象概念不在我的工作范围内。劳驾你把身体上的不适一项项说出来。
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_Interview.7915} 如果你是说我这流浪日子，那我可不抱怨！这是我应得的，连这些淤青也是。这里头也有它的趣味！\n\n没屋顶可住的时候，每次你在夜里躺下，哄你入睡的就是天上的星星。
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_Interview.48128} 我问的不是这个。你最近身体状况有变差吗？
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_Interview.9461} 天这么冷，医生，我这身子骨怎么可能<i>一点不垮</i>？可每年都是这样，我们早就习惯啦！\n\n天一冷，我就发抖，发烧……不过我想，过不了多久就会像往常一样好起来。
{Dialogs2.Hospital.Day5.Hospital_GodsFool.Hospital_GodsFool_Interview.29359} 你头疼得厉害，会不会是因为喝酒？你看起来可不清醒——浑身发抖，站都站不稳，脚下也打飘。
