{Dialogs2.Hospital.Day6.Hospital_Burduk.Hospital_Burduk_Interview.26635} 聪明的女人在哪里？我求一个聪明的女人！
{Dialogs2.Hospital.Day6.Hospital_Burduk.Hospital_Burduk_Interview.22085} 很遗憾，我们这里只有医生。你的急症是什么？
{Dialogs2.Hospital.Day6.Hospital_Burduk.Hospital_Burduk_Interview.10154} 你帮不了我，缝皮匠。没有明婆，我就完了。真不该去干那票！贪心害了我……现在全完了！他诅咒了我。
{Dialogs2.Hospital.Day6.Hospital_Burduk.Hospital_Burduk_Interview.16012} 我有种感觉，我会后悔问这个，但还是从头说说发生了什么，以及它怎样影响了你的健康。
{Dialogs2.Hospital.Day6.Hospital_Burduk.Hospital_Burduk_Interview.13706} 城里有只富鸟，名叫麻脸。一个小贩，有几家铺子。钱多得能拿来点火！可人人都知道那钱全是从恶者那里来的。不是他的。
{Dialogs2.Hospital.Day6.Hospital_Burduk.Hospital_Burduk_Interview.15610} 富鸟？意思是有钱人？能不能请你说得清楚一点。
{Dialogs2.Hospital.Day6.Hospital_Burduk.Hospital_Burduk_Interview.32459} 清楚得像白天，缝皮匠！
{Dialogs2.Hospital.Day6.Hospital_Burduk.Hospital_Burduk_Interview.3004} 如果我听不懂你这套怪词，也许根本治不了你。
{Dialogs2.Hospital.Day6.Hospital_Burduk.Hospital_Burduk_Interview.21948} 你怎么都治不了我。这得找明婆。
{Dialogs2.Hospital.Day6.Hospital_Burduk.Hospital_Burduk_Interview.12024} 像你这样的人应该很懂规矩。什么地方该说什么，怎么做——你知道，对吗？那么，进了医院，就要说明自己的急症。我等着。
{Dialogs2.Hospital.Day6.Hospital_Burduk.Hospital_Burduk_Interview.30788} 何必绕弯？人人都知道麻脸和恶者来往。为了财富把灵魂卖了，现在逍遥快活。那种钱从哪儿来？那家伙浑身丝绸，屋子里橡木白蜡木都配齐了——我告诉你，他就是个滑头！
{Dialogs2.Hospital.Day6.Hospital_Burduk.Hospital_Burduk_Interview.22507} 你有没有想过，这个麻脸也许只是靠诚实劳动挣了钱？
{Dialogs2.Hospital.Day6.Hospital_Burduk.Hospital_Burduk_Interview.21117} 你真驯，缝皮匠。嫩得滴水。可人们说的是实话。恶者可不会出于好心帮人——所以麻脸才活活腐烂，满身疤和疮。简直是行走的尸体。拿灵魂和血肉换了铜臭的甜味。
{Dialogs2.Hospital.Day6.Hospital_Burduk.Hospital_Burduk_Interview.27065} 我想我开始理解你痛苦的原因了……你最近见过麻脸吗？
{Dialogs2.Hospital.Day6.Hospital_Burduk.Hospital_Burduk_Interview.15931} 让我把话说完，别打断，庸医！我正给你全摊开。是后躯区的三指告诉我麻脸那地方的。说他好下手，谁都能直接进去，不用工具。于是我决定干，像是件简单活。
{Dialogs2.Hospital.Day6.Hospital_Burduk.Hospital_Burduk_Interview.32561} 你决定抢劫麻脸？我理解得对吗？
{Dialogs2.Hospital.Day6.Hospital_Burduk.Hospital_Burduk_Interview.24564} 你脑子堵了？我天黑后去踩点，那只蝙蝠还在梦乡里。活儿坏了，他醒了。我掏家伙指着他，可你知道，我子弹有点不够。于是我们扯了几句，麻脸就给我下了咒。他说我会像他一样烂在自己皮里。那混账真把邪咒甩我身上了！
{Dialogs2.Hospital.Day6.Hospital_Burduk.Hospital_Burduk_Interview.17790} 我的弹药似乎也总是不够。你觉得我也被诅咒了吗？
{Dialogs2.Hospital.Day6.Hospital_Burduk.Hospital_Burduk_Interview.27853} 你也开始活活腐烂了？长尾巴了？角冒出来了？
{Dialogs2.Hospital.Day6.Hospital_Burduk.Hospital_Burduk_Interview.15079} 一开始我也拿这开玩笑。可后来我发热了，发抖！额头烧得像炉子。还有这头痛——像恶魔在我脑壳里跳舞，嗡嗡嗡，哎哟！这是厉害的巫术。
{Dialogs2.Hospital.Day6.Hospital_Burduk.Hospital_Burduk_Interview.29807} 你发热？让我摸摸你的额头。还有别的吗？
{Dialogs2.Hospital.Day6.Hospital_Burduk.Hospital_Burduk_Interview.24220} 他下咒以后，朝我脸上啐了一口。我给了他肚子一拳，把能拿的东西都塞进袋子，溜回弟兄们的窝。赃物交给了头儿，可到了晚上，咒就发作了……
{Dialogs2.Hospital.Day6.Hospital_Burduk.Hospital_Burduk_Interview.7845} 飞沫传播？好吧。请到屏风后面脱衣服——让我看看你这诅咒。
{Dialogs2.Hospital.Day6.Hospital_Burduk.Hospital_Burduk_Interview.6949} 先做正事：取些样本分析。谁知道呢，也许还能给你找来一位明婆。
{Dialogs2.Hospital.Day6.Hospital_Burduk.Hospital_Burduk_Interview.18822} 在这儿等，我很快回来。
{Dialogs2.Hospital.Day6.Hospital_Burduk.Hospital_Burduk_Interview.2099} 你和麻脸有过身体接触吗？还是只说了话？
{Dialogs2.Hospital.Day6.Hospital_Burduk.Hospital_Burduk_Interview.29695} 一个有钱的病人！这绝对是谜。一定是惹得恶魔不安了。
{Dialogs2.Hospital.Day6.Hospital_Burduk.Hospital_Burduk_Interview.25062} 你要是只来讲故事，就别浪费我的时间。去逗本地孩子吧。
{Dialogs2.Hospital.Day6.Hospital_Burduk.Hospital_Burduk_Interview.12693} 这些跟医疗有什么关系？
{Dialogs2.Hospital.Day6.Hospital_Burduk.Hospital_Burduk_Interview.9472} 你还不明白？人们说的是实话。恶者可不会出于好心帮人——所以麻脸才活活腐烂，满身疤和疮。简直是行走的尸体。拿灵魂和血肉换了铜臭的甜味。
{Dialogs2.Hospital.Day6.Hospital_Burduk.Hospital_Burduk_Interview.28776} 你为什么不跟我说，好让我转告明婆？
{Dialogs2.Hospital.Day6.Hospital_Burduk.Hospital_Burduk_Interview.215} 我们说正事。
{Dialogs2.Hospital.Day6.Hospital_Burduk.Hospital_Burduk_Interview.20057} 诅咒、邪咒、迷信……也许我们该开个精神病房。所以你究竟是怎么，呃，被诅咒的？
{Dialogs2.Hospital.Day6.Hospital_Burduk.Hospital_Burduk_Interview.22047} 你不觉得常规治疗会有用吗？
{Dialogs2.Hospital.Day6.Hospital_Burduk.Hospital_Burduk_Interview.41} 她忙着解除安德烈·斯塔马京身上的诅咒。听说他变成了一瓶twyrine（特维酒）。我们只好没有她也凑合。
