{Dialogs2.Hospital.Day6.Hospital_Voronok.Hospital_Voronok_Interview.25170} 所以我在这里…这有什么意义呢？只能待在家里…
{Dialogs2.Hospital.Day6.Hospital_Voronok.Hospital_Voronok_Interview.9052} 这么糟吗？
{Dialogs2.Hospital.Day6.Hospital_Voronok.Hospital_Voronok_Interview.78} 治我？治什么？我的日子已经没剩什么了。她死于瘟疫，我的妻子。二十年，我和我的策策一起。一路都顺。贫穷、饥荒，我们什么都熬过来了，可这该死的灾祸？没熬过去。我现在怎么活……
{Dialogs2.Hospital.Day6.Hospital_Voronok.Hospital_Voronok_Interview.28046} 节哀。如果我理解得没错，你自己的身体也不太好，对吗？
{Dialogs2.Hospital.Day6.Hospital_Voronok.Hospital_Voronok_Interview.21983} 怎么会好？大概是要跟着她去了。恕我说得难听，这些天我离不开茅厕。吃什么都留不住。汤也喝了，药汤也喝了。都没用。
{Dialogs2.Hospital.Day6.Hospital_Voronok.Hospital_Voronok_Interview.33146} 跟着你妻子去？什么意思？
{Dialogs2.Hospital.Day6.Hospital_Voronok.Hospital_Voronok_Interview.23653} 还能怎么说。日子难熬。整个人灰了似的。策策走后，我像一夜之间老了。家也不像家了，空，孤零零。还摔碎了些碗碟。什么东西都从手里滑出去。我像台老机器一样喘，喘不过气。
{Dialogs2.Hospital.Day6.Hospital_Voronok.Hospital_Voronok_Interview.17907} 首先，请脱衣到屏风后面去，我要检查你。
{Dialogs2.Hospital.Day6.Hospital_Voronok.Hospital_Voronok_Interview.38578} 先别急着下结论。我会从你身上取些样本。
{Dialogs2.Hospital.Day6.Hospital_Voronok.Hospital_Voronok_Interview.32972} 谢谢你说得这么详细。请先留在这里。
{Dialogs2.Hospital.Day6.Hospital_Voronok.Hospital_Voronok_Interview.3288} 你可以不在乎自己，但你仍然能帮到别人。如果我正确诊断出你，也许某个人的妻子就能免于死于瘟疫。
{Dialogs2.Hospital.Day6.Hospital_Voronok.Hospital_Voronok_Interview.28963} 大概是要跟着她去了。恕我说得难听，这些天我离不开茅厕。吃什么都留不住。汤也喝了，药汤也喝了。都没用。
{Dialogs2.Hospital.Day6.Hospital_Voronok.Hospital_Voronok_Interview.10565} 策策？你的妻子是草原人？
{Dialogs2.Hospital.Day6.Hospital_Voronok.Hospital_Voronok_Interview.65417} 她是我的花，就是这样。我们这里早混在一起了，现在谁还分得清？这座城就立在草原上，所以在你们外来人眼里，我们大概全是草原人。但策策不是虫民，如果你是这个意思。
{Dialogs2.Hospital.Day6.Hospital_Voronok.Hospital_Voronok_Interview.56385} 我明白了，谢谢。我还没有完全弄懂本地风俗。
{Dialogs2.Hospital.Day6.Hospital_Voronok.Hospital_Voronok_Interview.46859} 现在，谈谈你自己。你哪里不舒服？
{Dialogs2.Hospital.Day6.Hospital_Voronok.Hospital_Voronok_Interview.58145} 病人必须见医生。就这么简单。
{Dialogs2.Hospital.Day6.Hospital_Voronok.Hospital_Voronok_Interview.55634} 你知道吗，我自己也很愿意不来这里。
