{Dialogs2.Hospital.Day6.Hospital_Voronok.Hospital_Voronok_NewQuestions.4538} 别让我悬着，医生。我很快就会见到采采格吗？
{Dialogs2.Hospital.Day6.Hospital_Voronok.Hospital_Voronok_NewQuestions.28078} 先别这么急着往另一边走。还有事要弄清楚。
{Dialogs2.Hospital.Day6.Hospital_Voronok.Hospital_Voronok_NewQuestions.22282} 那就问吧，需要弄清楚就弄清楚。反正对我都一样，已经没什么要紧了。
{Dialogs2.Hospital.Day6.Hospital_Voronok.Hospital_Voronok_NewQuestions.46325} 你嘴唇上有一处像痂一样的东西。多久了？
{Dialogs2.Hospital.Day6.Hospital_Voronok.Hospital_Voronok_NewQuestions.39622} 我想是新长的。但我也没留意，真的。没有什么比我对策策的悲痛更疼。你把针扎进我指甲里，我都未必能感觉到。
{Dialogs2.Hospital.Day6.Hospital_Voronok.Hospital_Voronok_NewQuestions.24250} 你前臂上有些脱屑。你知道吗？
{Dialogs2.Hospital.Day6.Hospital_Voronok.Hospital_Voronok_NewQuestions.1967} 知道。我妻子总会给那里抹一种特别的油，所以没那么糟。现在没有她了……唉，我为什么还……
{Dialogs2.Hospital.Day6.Hospital_Voronok.Hospital_Voronok_NewQuestions.31428} 你呼吸困难吗？
{Dialogs2.Hospital.Day6.Hospital_Voronok.Hospital_Voronok_NewQuestions.11611} 很困难。策策死后，我像老了半个世纪。走三步就得坐一会儿。她在叫我去她身边。我的亲人。我想时候到了。
{Dialogs2.Hospital.Day6.Hospital_Voronok.Hospital_Voronok_NewQuestions.28705} 你说什么东西都从手里滑出去……是什么意思？
{Dialogs2.Hospital.Day6.Hospital_Voronok.Hospital_Voronok_NewQuestions.25155} 你知道的。家里是策策管的。她知道东西都放在哪儿，她做饭、洗衣。我在工厂从早干到晚，她守着家。现在才知道这些家务这么难。盘子从我手里掉下去，我用肩膀撞倒架子……
{Dialogs2.Hospital.Day6.Hospital_Voronok.Hospital_Voronok_NewQuestions.6448} 你在工作时也有这种问题吗？
{Dialogs2.Hospital.Day6.Hospital_Voronok.Hospital_Voronok_NewQuestions.12032} 工头让我休息，他是个好人。叫我哀伤的时候别去上工。可我会有不哀伤的时候吗？哎哟……不过以前，我在作坊里干得好好的，规规矩矩。
{Dialogs2.Hospital.Day6.Hospital_Voronok.Hospital_Voronok_NewQuestions.56300} 会不会只是你笨手笨脚？
{Dialogs2.Hospital.Day6.Hospital_Voronok.Hospital_Voronok_NewQuestions.59073} 不，我从来不是。都是苦痛。苦痛让人老，把人压到地上。我很快就要跟上策策了，我感觉得到。也许这样也好。
{Dialogs2.Hospital.Day6.Hospital_Voronok.Hospital_Voronok_NewQuestions.34099} 所以你开始做以前从不做的家务……嗯。那么，你应付得来吗？
{Dialogs2.Hospital.Day6.Hospital_Voronok.Hospital_Voronok_NewQuestions.53685} 尽力而为。策策做这些很在行，可我呢？我像个孩子。柴从哪儿弄？做饭洗衣的水从哪儿来？洗完怎么晾？我本来从戈尔孔河舀水，后来邻居好心，给我指了挑水人。
{Dialogs2.Hospital.Day6.Hospital_Voronok.Hospital_Voronok_NewQuestions.55288} 你用河水？拿来洗，甚至拿来做饭？
{Dialogs2.Hospital.Day6.Hospital_Voronok.Hospital_Voronok_NewQuestions.64788} 我也不是彻底的傻子，不是。我烧开过一次……不过说真的：我做饭给谁吃？给谁沏茶？就为我自己？给策策的话，我会好好做；给我自己——何必呢？家里现在静，静得空荡。我再也不想回去了。我想哭号，可连哭号的力气都没有。
{Dialogs2.Hospital.Day6.Hospital_Voronok.Hospital_Voronok_NewQuestions.11105} 生活规律骤然改变会影响身体感受。也许就是这个……
{Dialogs2.Hospital.Day6.Hospital_Voronok.Hospital_Voronok_NewQuestions.54446} 可说到底：我做饭给谁吃？给谁沏茶？就为我自己？给策策的话，我会好好做；给我自己——何必呢？烧开一次就够了。家里现在静，静得空荡。我再也不想回去了。我想哭号，可连哭号的力气都没有。
{Dialogs2.Hospital.Day6.Hospital_Voronok.Hospital_Voronok_NewQuestions.10362} 症状太多了，不该是这样。我一定哪里弄错了。
{Dialogs2.Hospital.Day6.Hospital_Voronok.Hospital_Voronok_NewQuestions.30988} 这有什么好明白的？悲苦在啃我。很快就会把我全吃掉。
{Dialogs2.Hospital.Day6.Hospital_Voronok.Hospital_Voronok_NewQuestions.25003} 悲苦不是诊断。
{Dialogs2.Hospital.Day6.Hospital_Voronok.Hospital_Voronok_NewQuestions.59570} 如果你需要什么，就找助手。我先离开。
{Dialogs2.Hospital.Day6.Hospital_Voronok.Hospital_Voronok_NewQuestions.20787} 我想，现在终于可以形成假设了。再给我一分钟。
{Dialogs2.Hospital.Day6.Hospital_Voronok.Hospital_Voronok_NewQuestions.19313} 请过来接受检查。
{Dialogs2.Hospital.Day6.Hospital_Voronok.Hospital_Voronok_NewQuestions.12972} 我要从你身上取样本。
{Dialogs2.Hospital.Day6.Hospital_Voronok.Hospital_Voronok_NewQuestions.20023} 我是医生。死后之事不在我的专长之内。
