{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_DeliveryBoy.13602} 嘿！你认为你在做什么？ 帮助！入室盗窃！我抓住你了，你这个骗子！我要给你吃指关节三明治！斯特莎是对的，把一间漂亮的房子空着，老鼠就会爬进来！
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_DeliveryBoy.20555} 别紧张，孩子。冷静。你吓到邻居了。我不是窃贼。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_DeliveryBoy.12180} 那你是谁？哦！你又瘦又白，还吓人……我知道你是谁了！你是掏眼人！掏眼人，满口谎！你别想要我双眼！我会揍到你哭喊！爬远点，下地狱去死吧！
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_DeliveryBoy.27853} 你的咒语对我没用！现在……把你的眼睛给我！
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_DeliveryBoy.7845} 不，你骗不了我，先生。真掏眼人早就撒腿跑了。现在告诉我，你到底在艾米莉亚小姐家里干什么！
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_DeliveryBoy.12358} 还能怎么说？你太机灵，骗不过！我是医生，明白吗？我来这里办事。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_DeliveryBoy.11967} 办事……重要的事？还是不怎么重要？住在这里的那位女士呢？那个漂亮的，总是又累又暴躁的。她叫我去店里，然后就不见了！不过这附近我都熟。我能帮你办事。你给我一枚五分镍币吗？
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_DeliveryBoy.23595} 她叫你去店里？她娇弱到不能自己买东西？
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_DeliveryBoy.12431} 得了吧，先生！你瞎吗？她是贵人！真正有派头。可是……她以前不这么使唤人。从前她自己从店里拎袋子，还搬那些种着癞花的蠢花盆。有一天她说太累了，就派我出去买吃的。现在那枚镍币呢？
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_DeliveryBoy.25612} 所以她以前更有力气？你认识她多久了？
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_DeliveryBoy.29862} 多久？先生，我就住隔壁。我可是家里的男人，要养我娘和姐妹。她开始付钱叫我跑店里，我有活干也高兴！可现在她不见了，还欠我的钱。说到这个……我真的用得上一枚镍币。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_DeliveryBoy.9606} 桌上的食物是你买的吗？你知道她是在等谁一起吃吗？
