{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_Switchman_NewQuestions.4601} 您忘了什么吗，医生？还是又有问题要问？
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_Switchman_NewQuestions.4094} 我在花盆里找到一把钥匙。艾米莉亚一直都这样放着吗？
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_Switchman_NewQuestions.53274} 噢，当然。那是备用钥匙，给她去首都时替她照料室内花草的人用。她以前付钱给一个远亲做这个；好像是她母亲的远房表亲什么的。可那只老鸽子，是最早被瘟疫带走的一批人。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_Switchman_NewQuestions.51297} 屋里乱得很。艾米莉亚不像会疏于照看家的人；会不会有别人进去过？
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_Switchman_NewQuestions.21628} 你说真的？那可怪了……那位小姐一向讲究体面，受不了一点乱。但我不觉得有别人进去过，先生。我和我妻子就住在对面。我们总在家，会注意到的。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_Switchman_NewQuestions.59309} 桌上摆满了食物。她是在等客人吗？她父母？朋友？或者追求者？
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_Switchman_NewQuestions.26565} 据我所知，她父母在首都。朋友嘛，我想也在那儿。她总该在什么地方有朋友吧？我们本地人可不是她那一路——对那样的贵小姐来说太粗了。所以要是她有客人，我会很惊讶。她从不带人回家。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_Switchman_NewQuestions.2310} 我本不该告诉你她的病史，但……艾米莉亚相信自己看见了某些东西。你最近注意到她有什么异常吗？
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_Switchman_NewQuestions.61627} 嗯，如果那是秘密，你算是白告诉我了。我从没看见什么奇怪的。我有个朋友有一次在活儿上发疯了。我知道疯起来是什么样——到现在想起来还发冷。可艾米莉亚？不，从没听过也没见过她那样。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_Switchman_NewQuestions.19542} 我打算再检查一下艾米莉亚的住处；如果还有问题，我会回来。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_Switchman_NewQuestions.9746} 谢谢你的帮助；眼下我没有别的问题了。
