{Dialogs2.Hospital.Day8.Hospital_Petrel.Hospital_Petrel_Interview.25349} 现在是今天吗？我需要知道。如果还没有到今天，那么还有时间…
{Dialogs2.Hospital.Day8.Hospital_Petrel.Hospital_Petrel_Interview.15109} 这个问题没有意义。今天永远是今天。是当下这一天。你最好用日期或星期来说。
{Dialogs2.Hospital.Day8.Hospital_Petrel.Hospital_Petrel_Interview.16225} 大教堂……如果今天是今天，那我两天前在大教堂。大概两天。然后……所有这些昨天和明天。我得确定是什么时候，你明白吗？
{Dialogs2.Hospital.Day8.Hospital_Petrel.Hospital_Petrel_Interview.3983} 我不明白。请你集中精神，好吗？
{Dialogs2.Hospital.Day8.Hospital_Petrel.Hospital_Petrel_Interview.58380} 什么？不……他告诉我的。门口那个。长着鱼眼睛的那个。还有那些拉杆！全是拉杆的事……你看，我确实听了那个鱼眼人说话。但我没想到，重复玛丽亚的话也会被算作唱了借来的歌。是的。就是这样。或者会是这样。现在是什么时候？我必须知道。
{Dialogs2.Hospital.Day8.Hospital_Petrel.Hospital_Petrel_Interview.18262} 请冷静，海燕。我们会把一切弄清楚，我向你保证。告诉我，你有没有哪里不舒服？
{Dialogs2.Hospital.Day8.Hospital_Petrel.Hospital_Petrel_Interview.45370} 是，是……太多旅行了。到昨天，到明天，到谁知道什么时候……我觉得恶心。就在这里，顶到喉咙。我也变虚弱了，每一次穿过去都那么难。真希望我有本日历。告诉我，今天已经来了吗？
{Dialogs2.Hospital.Day8.Hospital_Petrel.Hospital_Petrel_Interview.38472} 至少这算是点信息。等一会儿，我们很快会理清楚。
{Dialogs2.Hospital.Day8.Hospital_Petrel.Hospital_Petrel_Interview.43019} 今天总会到来。
{Dialogs2.Hospital.Day8.Hospital_Petrel.Hospital_Petrel_Interview.9368} 我害怕。万一你一转身，我就发现自己在明天呢？或者在昨天……
{Dialogs2.Hospital.Day8.Hospital_Petrel.Hospital_Petrel_Interview.64851} 让我检查你。
{Dialogs2.Hospital.Day8.Hospital_Petrel.Hospital_Petrel_Interview.25983} 我要取些样本，也许能说明些什么。
{Dialogs2.Hospital.Day8.Hospital_Petrel.Hospital_Petrel_Interview.56132} 别怕，我不会转身那么久。我会尽快回来找你。
{Dialogs2.Hospital.Day8.Hospital_Petrel.Hospital_Petrel_Interview.49407} 我承认，这是我听过最不寻常的插队办法！
{Dialogs2.Hospital.Day8.Hospital_Petrel.Hospital_Petrel_Interview.24060} 我不确定。
{Dialogs2.Hospital.Day8.Hospital_Petrel.Hospital_Petrel_Interview.14626} 这出滑稽戏够了。要我叫护理员吗？你不是在胡言乱语，就是在对我玩蠢恶作剧。我提醒你，我才是这里的医生。你是病人。
{Dialogs2.Hospital.Day8.Hospital_Petrel.Hospital_Petrel_Interview.61174} 玛丽亚的话？我想你是指玛丽亚·凯纳。你是她的朋友？
{Dialogs2.Hospital.Day8.Hospital_Petrel.Hospital_Petrel_Interview.20461} “朋友”！我甚至没被允许成为一个征兆。玛丽亚从前嘲笑我，说我重得像锚，说我把自己拴在底部……而所有人很快都会起锚，离开地面，因为乌托邦随时会到来。
{Dialogs2.Hospital.Day8.Hospital_Petrel.Hospital_Petrel_Interview.35963} 你没能融入凯恩家聚拢在身边的那群人？
{Dialogs2.Hospital.Day8.Hospital_Petrel.Hospital_Petrel_Interview.63956} 我害怕自己融不进新生活。西蒙的死讯传到我这里时，我就知道：一切都要开始了。它已经开始了。我试着跳上那列火车的尾部平台！克服我整个迟钝的本性，把它翻过去，像扳动拉杆。为了不被抛下，不被留在过去。
{Dialogs2.Hospital.Day8.Hospital_Petrel.Hospital_Petrel_Interview.42837} 所以你采取了措施。你对自己做了什么，现在迷失在时间里？
{Dialogs2.Hospital.Day8.Hospital_Petrel.Hospital_Petrel_Interview.58676} 是大教堂，我告诉过你！还是我还没说？大教堂生产时间，大教堂在每条时间线里生产了我……可我太累了。我做不下去了。玛丽亚说得对。我是一只锚，总是下沉。
{Dialogs2.Hospital.Day8.Hospital_Petrel.Hospital_Petrel_Interview.6790} 我建议我们终究还是先弄清你的身体状况。那可能是你疲惫的原因。
{Dialogs2.Hospital.Day8.Hospital_Petrel.Hospital_Petrel_Interview.48073} 这是胡话。时间旅行不可能。你只是头脑不太正常，可能因为压力，也可能因为疾病。
