{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Andrey.11327} 瘟疫每过一天，我们的主顾就少一些，可空瓶子照样越堆越多。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Andrey.54677} 这关系真够可悲的。其实我是来问你一位常客的。你认识鸿雁吗，那个建筑系学生？
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Andrey.64078} 我倒几乎希望自己不认识。他最爱没完没了地讲自己的崇高使命。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Andrey.41101} 你上次被迫听他讲，是什么时候？
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Andrey.51960} 很久以前了。大师夏天就把他赶出了酒馆。说他既是个一无是处的拙劣匠人，还顺带把自己的弟弟带成酒鬼。我是说彼得·斯塔马京。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Andrey.5944} 原来鸿雁是这个意思。我还以为他真是个学徒。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Andrey.47349} 哪能呢。他倒是试过，可彼得对收学徒一向严得很。一个都没收过！不过有件事他倒很宽容——喝酒。所以他和鸿雁过去常常一起喝得烂醉。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Andrey.40828} 这么说，鸿雁从夏天起就没来过这里了，那你也没法告诉我他的症状。你不会正好有他的住址吧？我真的需要。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Andrey.33314} 去剥皮场找一栋……漂亮、宽敞的房子。风格我说不上来，毕竟我不是建筑师。但那种给高雅人物栖身的避难所，你一眼就能认出来。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Andrey.50574} 鸿雁有钱住豪宅？我还以为他是个挨饿的学生。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Andrey.441} 那栋豪宅能塞下不少挨饿的学生，全是艺术家或乐师。一个创作公社！其中有些人不错，可也有鸿雁这种货色。他们把钱凑在一起，好让自己“被美包围”。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Andrey.8690} 多谢提醒。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Andrey.37083} 顺便说，今天你不是第一个来问鸿雁的人。在你之前，有几个打手来过——我还挺意外，他在波希米亚圈子外那么远的地方也有熟人。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Andrey.19683} 打手？真有意思。偏偏鸿雁身上满是瘀伤。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Andrey.59650} 看来他确实浑身都是谜。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Andrey.34615} 公社可是传播感染的绝佳环境。我该去看看。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Andrey.2806} 他真是彼得·斯塔马京的学徒？
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Andrey.64534} 哪能呢。他倒是试过，可彼得对收学徒一向严得很。一个都没收过！不过有件事他倒很宽容——喝酒。他和鸿雁过去常常一起喝得烂醉，鸿雁就借着这点到处吹自己是他的学生。我们的大师就是这么讨厌那家伙的。说他把自己的弟弟带成了酒鬼。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Andrey.8934} 鸿雁这混账命真硬。他被护理员从疫区抬了出来，安德烈也没杀他。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Andrey.65101} 他倒是威胁过，可最后只是夏天把他赶出了酒馆。说他既把自己的弟弟带成酒鬼，又是个一无是处的拙劣匠人。我看要是他真有天分，或许还能被放一马。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Andrey.4665} 你的意思是，他再也不来这里了？
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Andrey.2593} 大师夏天就把他赶出了酒馆。说他既把自己的弟弟带成酒鬼，又是个一无是处的拙劣匠人。我看要是他真有天分，或许还能被放一马。
