{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.26788} 我以为里面是病人鸿雁...你是谁？
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.39838} 我是阿里斯塔尔赫的医生。你是？
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.58933} 瓦伦蒂娜，他的朋友……阿里斯塔尔赫怎么了？他病了吗？被人袭击了？他对自己做了什么？天啊，我就知道，我就知道……
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.8032} 哭叫在这里帮不上忙。告诉我，你们俩亲近吗？
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.35519} 最亲近不过。可你为什么问这个？
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.55234} 阿里斯塔尔赫病得很重。我需要知道他怎么生活、和谁来往、做过什么——细枝末节也要。那是救他的唯一机会。既然他没打算帮自己，我只好来问你。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.1185} 帮阿里斯塔尔赫？当然！你知道，他有一种特别的灵魂，甚至可以说是天才。这样的人世上少有。他画画，写作……
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.34746} 还有呢？
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.65435} ……他唱歌，讲童话，画多面体，还会模仿鸟鸣。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.53681} 的确是个讲究的人。不过，模仿鸟鸣很难算危险。可你说我到来之前，你就已经担心阿里斯塔尔赫了。有什么缘由吗？
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.11041} 抱歉……我一时说得太忘情了。阿里斯塔尔赫的才华实在让人难以闭口不谈。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.55813} 那你为什么对满屋子的血闭口不谈？我们谈了这么久，你对那件事一个字都没说。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.32031} 什么？哦，那个……
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.21471} 不过，在我看来，那不像什么情欲引发的凶案。也许是家中意外？有人需要医疗救助吗？
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.62863} 谢谢你的好意，不过你们错过了几分钟。我们可怜的木匠已经走了，其他人也和他一起。他们陪他去医院了。他切掉了自己的手指，你能想象吗？要知道，他可是个好手艺人！可再高明的手也会失手。
{Dialogs2.Hospital.Day9.Hospital_Aristarkh.Hospital_Aristarkh_Valentina.62599} 那根断指是某种艺术宣言吗？请原谅我这俗气的想法，但有人需要医疗救助吗？
