{Dialogs2.Shadows.Katerina.Shadows_Katerina_SurgeryDay9.18405} 不要责怪自己，医生。你已经做了你能做的一切。
{Dialogs2.Shadows.Katerina.Shadows_Katerina_SurgeryDay9.15521} 看来我做得还不够，才会在这里和影子说话。告诉我：我本能救她吗？我曾经有过机会吗？
{Dialogs2.Shadows.Katerina.Shadows_Katerina_SurgeryDay9.5699} 我的错误，是试图独自完成手术。
{Dialogs2.Shadows.Katerina.Shadows_Katerina_SurgeryDay9.25707} 是吗？他们通常说的是反过来。我们甚至有句谚语：七个人放一群牛，半数公牛回不了栏。医生也不同吗？
{Dialogs2.Shadows.Katerina.Shadows_Katerina_SurgeryDay9.4427} 这谚语我还是头一次听说。在首都，我们只说：七个保姆，孩子没人看。
{Dialogs2.Shadows.Katerina.Shadows_Katerina_SurgeryDay9.13897} 可怕。那些保姆为什么要把孩子的眼睛戳瞎？野蛮。
{Dialogs2.Shadows.Katerina.Shadows_Katerina_SurgeryDay9.20017} 没人说七个，但手术室里有两名医生，肯定比一个好。
{Dialogs2.Shadows.Katerina.Shadows_Katerina_SurgeryDay9.3050} 通常确实如此。但这一次，我一定算错了。
{Dialogs2.Shadows.Katerina.Shadows_Katerina_SurgeryDay9.14077} 说实话，这对我也是头一回——一个死去的病人在我没能救下她之后，试图安慰我。感觉很怪。
{Dialogs2.Shadows.Katerina.Shadows_Katerina_SurgeryDay9.16263} 她不能安慰你。她死了。是我在替她安慰你。
{Dialogs2.Shadows.Katerina.Shadows_Katerina_SurgeryDay9.21885} 但还是说：我为什么能看见你？你真的存在，还是只是我的心智为了应付死亡这个念头而造出的奇美拉？
{Dialogs2.Shadows.Katerina.Shadows_Katerina_SurgeryDay9.25359} 你最不该问的就是我。我不认为自己是奇美拉，但你没有理由相信我。
{Dialogs2.Shadows.Katerina.Shadows_Katerina_SurgeryDay9.18046} 告诉我：我本能救她吗？我曾经有过机会吗？
{Dialogs2.Shadows.Katerina.Shadows_Katerina_SurgeryDay9.356} 影子无法知道这一点。就像人一样，我们丝毫不知道自己是怎么来到这里的，也不知道自己有什么用。我们只是存在。
{Dialogs2.Shadows.Katerina.Shadows_Katerina_SurgeryDay9.31625} 我曾经成功回到过去，撤销一个人的死亡。也许这一次我还能再做一次。
{Dialogs2.Shadows.Katerina.Shadows_Katerina_SurgeryDay9.24409} 好累……
{Dialogs2.Shadows.Katerina.Shadows_Katerina_SurgeryDay9.2848} 这里又暗又冷。也好。痛已经没了，这才要紧。
{Dialogs2.Shadows.Katerina.Shadows_Katerina_SurgeryDay9.23688} 告诉我，影子：我本能救卡捷琳娜吗？我曾经有过机会吗？
{Dialogs2.Shadows.Katerina.Shadows_Katerina_SurgeryDay9.7202} 影子无法知道这一点。就像人一样，我们丝毫不知道自己是怎么来到这里的，也不知道自己有什么用。我们只是存在。
{Dialogs2.Shadows.Katerina.Shadows_Katerina_SurgeryDay9.13272} 但还是说：我为什么能看见你？你真的存在，还是只是我的心智为了应付死亡这个念头而造出的奇美拉？
{Dialogs2.Shadows.Katerina.Shadows_Katerina_SurgeryDay9.22169} 我不认为自己是奇美拉。
{Dialogs2.Shadows.Katerina.Shadows_Katerina_SurgeryDay9.30513} 我曾经成功回到过去，撤销一个人的死亡。也许这一次我还能再做一次。
{Dialogs2.Shadows.Katerina.Shadows_Katerina_SurgeryDay9.22693} 好累……
{Dialogs2.Shadows.Katerina.Shadows_Katerina_SurgeryDay9.21194} 我也想当个影子。只要站在一个地方，偶尔和时间旅行者说几句话。那样的日子该多好。不过，那还能叫日子吗……
