{Dialogs2.Technical.Salesman_Introduction.5306} 找什么呢？我这里什么都有。镇上最好的货……懂我意思吧？
{Dialogs2.Technical.Salesman_Introduction.10770} 你说镇上最好？好吧，让我看看。
{Dialogs2.Technical.Salesman_Introduction.28173} 这座镇子因为隔离已经彻底断绝往来。你的货是从哪儿来的？
{Dialogs2.Technical.Salesman_Introduction.27979} 好家伙！来了个<i>聪明人</i>。你管这些货从哪儿来干什么？担心坏了自己的名声还是什么？这镇上已经没人还有<i>名声</i>了！\n\n你最好是来交换东西的，不然就赶路吧，朋友。规矩就是这样。
{Dialogs2.Technical.Salesman_Introduction.10734} 如果我没钱呢？
{Dialogs2.Technical.Salesman_Introduction.27872} 这不是问题！我们也以物易物。把口袋掏空，我来看看你有没有值钱东西。总能谈成一笔买卖，你等着瞧！
{Dialogs2.Technical.Salesman_Introduction.20891} 好吧，给我看看你有什么。
{Dialogs2.Technical.Salesman_Introduction.10405} 我听说有些城区劫掠成风。而你却奇迹般地有货可交易？这听起来……很可疑。
{Dialogs2.Technical.Salesman_Introduction.18952} 给聪明人的忠告：别把那种事大声说出来，不然你可能会“不小心”撞上一把<i>小刀</i>。我是个诚实商人，懂我意思吧？我只是站在这里，没犯法！对吧？\n\n所以你最好是来交易的，不然就赶路吧，朋友。这里规矩就是这样。
{Dialogs2.Technical.Salesman_Introduction.26840} 有武器或弹药吗？
{Dialogs2.Technical.Salesman_Introduction.5862} <i>噢嚯！</i>我就知道你是个认真人！你要什么我们都能找来。问题是……你付得起吗？现在枪比命还值钱，你懂的。不过我弹药多得很。
{Dialogs2.Technical.Salesman_Introduction.20447} 有药品或药物吗？
{Dialogs2.Technical.Salesman_Introduction.29990} 存货不多，但你要什么我们都能找来……懂我意思吧？可以说，我们会把桶底都刮干净。希望你不是吗啡瘾君子？我不评判，就是好奇。
{Dialogs2.Technical.Salesman_Introduction.26782} 我是医生。
{Dialogs2.Technical.Salesman_Introduction.7533} 好家伙！你怎么不早说？我都不知道我们镇上<i>还</i>有医生。你看，我长了个恶心的疙瘩……能帮我看看吗？痒得要命！
{Dialogs2.Technical.Salesman_Introduction.10063} 抱歉，青春痘不是我的专长。我研究死亡。等你死了再来找我。
{Dialogs2.Technical.Salesman_Introduction.19545} 哈哈！说得好！所以，你到底想不想交易？
{Dialogs2.Technical.Salesman_Introduction.21847} 如果我<i>就是</i>吗啡瘾君子呢？你还会卖东西给我吗？
{Dialogs2.Technical.Salesman_Introduction.18420} 哎，当然还做生意。我又不是在评判你什么。
