{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Interrogation.Prologue_Prosecutor_Force.16707} 怎么？干嘛用那种眼神看我？搞得像你头一回见似的。
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Interrogation.Prologue_Prosecutor_Force.3558} 像？这<b>就是</b>头一回。我又没翻过你那堆文件。
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Interrogation.Prologue_Prosecutor_Force.10609} 好吧。那就看看第五天吧。您还记得吗？就是您跟大家说疫苗有可能做出来那天？您征集来志愿者，给他们注射了所谓的沙疫疫苗。\n\n……丹科夫斯基，您还在我身边么？看着我的眼睛。您还清醒么？
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Interrogation.Prologue_Prosecutor_Force.25151} <b>在是在</b>，但我没跟你站一边！你这套所谓的证词是从谁那儿听来的？谁在诽谤我？
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Interrogation.Prologue_Prosecutor_Force.24098} <b>在是在</b>，但我没跟你站一边！你这套所谓的证词是从谁那儿听来的？谁在诽谤我？
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Interrogation.Prologue_Prosecutor_Force.25210} 瞧你这嘴唇哆嗦的……
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Interrogation.Prologue_Prosecutor_Force.4592} 休想吓倒我。我是医生，是科学家，听明白了么？我刚从人间地狱归来，那地方可比什么梦魇幻象恐怖千百倍，而我还在那样可怕的地方治病救人！\n\n听懂了么？我是个<b>医生</b>！治病救人的！不是刽子手，不是审判官，更不是什么警长军官。
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Interrogation.Prologue_Prosecutor_Force.20828} 你亲手杀的人早就比大多数军官警长还多了……
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Interrogation.Prologue_Prosecutor_Force.8759} 够了，别用这种口气跟我说话了，你自己不嫌烦吗？给我一字一句记下来：那穷乡僻壤的地方根本没有医院，一家<b>医院</b>也没有！\n\n不过那儿倒是有座剧院。我改造了一下，拿来当医院用，在那儿研究病患。研发疫苗才是当务之急。我在那儿做的就是研发疫苗，还有给人接种疫苗。
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Interrogation.Prologue_Prosecutor_Force.23407} 你天天都在研发和给人接种疫苗？
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Interrogation.Prologue_Prosecutor_Force.28227} 研发疫苗可不像泡杯茶那么简单。这种病毒变异得很快，科学界还从没见过这样的例子，我只能每天研发新疫苗。\n\n每天都要用新配方，你明白吗？！我连套像样的设备和实验室都没有，经常要在几分钟内临时想出新的研发办法。
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Interrogation.Prologue_Prosecutor_Force.14366} 医院？……行，我相信你，但你得跟我说细点儿，而且得是实话。
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Interrogation.Prologue_Prosecutor_Force.3309} 剧院……那说说你到小镇上第五天的事吧。
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Interrogation.Prologue_Prosecutor_Force.25606} 记录显示，当天有七百八十名病患接种了疫苗……死了四百一十二人？
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Interrogation.Prologue_Prosecutor_Force.26011} 你一个小时前还说不可能做得出疫苗来。
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Interrogation.Prologue_Prosecutor_Force.1312} ……最后，小镇覆灭了。
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Interrogation.Prologue_Prosecutor_Force.6375} 我没想吓唬你，快别这么想。对不起，我也是累坏了，你肯定是误会我了。
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Interrogation.Prologue_Prosecutor_Force.17411} 丹科夫斯基医生，您是个聪明人，决断果敢，不怕犯错，也勇于承担责任，我佩服您。
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Interrogation.Prologue_Prosecutor_Force.18443} 冷静点儿。您坐在这儿，不就是为了让我们查明真相吗？
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Interrogation.Prologue_Prosecutor_Force.23113} 重要吗？您这两小时里说的话不仅够您被革职，还能把您送上刑事法庭。
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Interrogation.Prologue_Prosecutor_Force.29872} 不对，打从一开始就弄错了。你拿这种荒谬的文件是想激怒我？审判官，你究竟想干什么？
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Interrogation.Prologue_Prosecutor_Force.21803} 不对，打从一开始就弄错了。你拿这种荒谬的文件是想激怒我？审判官，你究竟想干什么？
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Interrogation.Prologue_Prosecutor_Force.15114} 不对，不是头一回。你两小时前……也就是我们刚聊了没几句，你就给我看过了。
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Interrogation.Prologue_Prosecutor_Force.5917} 抱歉，这上面写的都是假的。事实根本不是这样。
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Interrogation.Prologue_Prosecutor_Force.10108} 断章取义，扭曲成新的真相罢了。最可怕的谎话恰恰是真假参半。
