{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Steppe.Prologue_Executor_Escape.2609} 不能再往前走了，前面是嘎——嘎——嘎离区！
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Steppe.Prologue_Executor_Escape.58019} 别嘎嘎叫了。隔离区就是我建的。
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Steppe.Prologue_Executor_Escape.772} 我第一眼没认出您来。您在我们镇上待了一个星期，变化可真不小……我是萨瓦·克雷梅涅茨，编号七十二，志愿医疗队的最后一个人。\n\n您既然来了，那么请允许我就此辞职。
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Steppe.Prologue_Executor_Escape.6891} 我拒绝。这儿还有希望。
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Steppe.Prologue_Executor_Escape.14500} 你承诺会拯救我们的镇子，却只留下了坟墓与灰烬。你前方的并非草原，而是未知的迷雾。\n\n如今，你这位输给了死亡的人，又要去往何方？
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Steppe.Prologue_Executor_Escape.5708} 七十二号，你这是什么语气！面具戴久了，不知道自己是谁了？说话客气点，少给我来什么暗示。
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Steppe.Prologue_Executor_Escape.64507} 大家私下都在传，说镇上唯一的医生要抛下他们逃跑。而那群运气最好，侥幸活了下来的人，也早就准备逃走了。他们能得救么？
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Steppe.Prologue_Executor_Escape.17167} 能，我会带他们去首都，毕竟我需要见证人。再者，我没法用医学手段拯救他们，也能用这种方式救他们一命。
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Steppe.Prologue_Executor_Escape.63618} 每个决定都会成为明日懊悔的理由，每一步都会让你离深渊更近。如此一来，又该如何安然入睡？
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Steppe.Prologue_Executor_Escape.40995} 我的噩梦是我自己的事。
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Steppe.Prologue_Executor_Escape.52426} 噩梦会在黑暗中滋生，因为黑暗是噩梦的培养基，正如血液之于瘟疫。
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Steppe.Prologue_Executor_Escape.64684} 我身上还有火柴，总有办法驱散黑暗。
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Steppe.Prologue_Executor_Escape.35311} 救赎之火燃烧着……随后渐渐熄灭，就如同希望，如同病床上的生命。\n\n您以为自己能逃得掉吗？她已向您走来，竭尽全力想要触碰您，绝不会就这样让您离开……
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Steppe.Prologue_Executor_Escape.49532} “她”是谁？瘟疫么？
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Steppe.Prologue_Executor_Escape.43791} 学者丹科夫斯基，您真是愚蠢！当然是良知了！您坐火车也逃离不了自己的良知。不如说，您能活着坐上火车，都已经算是走运了。\n\n至于您的良知长什么样——这就得问问您，还有您那破碎的想象力了。
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Steppe.Prologue_Executor_Escape.29475} 你是在暗示我说，那个可怕的影子是我想象出来的？是我不敌良知煎熬而产生的幻觉？我看这只不过是神经官能症吧。
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Steppe.Prologue_Executor_Escape.5739} 呣，医生，请回去吧，回到您来的地方，试试看能不能变回从前的自己。别忘了您的火柴。
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Steppe.Prologue_Executor_Escape.44858} 少吓唬我。
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Steppe.Prologue_Executor_Escape.63552} 谢谢你，七十二号，如果面具之下真的是你的话。谢谢你为志愿工作做出的贡献，你也已经尽力了。
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Steppe.Prologue_Executor_Escape.26634} 没时间聊什么哲学了。雾气渐浓，篝火渐弱，我还得去找火车，就是想逃走的人乘坐的那一列。
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Steppe.Prologue_Executor_Escape.49680} 我问心无愧。小镇里瘟疫肆虐，我能做的都做了，只不过仅凭我一人，无法与这未知的疾病抗衡。
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Steppe.Prologue_Executor_Escape.64143} 你说的是死亡？
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Steppe.Prologue_Executor_Escape.37855} 她能威胁到我的实验室么？你以为首都的一切都荡然无存，我已经无处可去了？
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Steppe.Prologue_Executor_Escape.29919} 荒谬！别再提你那什么草原传说里的怪物了！
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Steppe.Prologue_Executor_Escape.33724} 看见那堆篝火了么？那是我下令放那儿，专门隔离瘟疫感染区的，而它们也将照亮我的道路。
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Steppe.Prologue_Executor_Escape.58368} 我不怕噩梦，现实比噩梦可怕千百倍。
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Steppe.Prologue_Executor_Escape.13941} 我好像在做清明梦。草原上传来了尖叫，那是怎么回事？还有那高高耸立，几乎与天齐平的影子……
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Steppe.Prologue_Executor_Escape.23684} <b>浮生若梦。</b>
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Steppe.Prologue_Executor_Escape.32677} 不能让沙疫传到小镇之外的地方，否则它会吞噬整个国家。侥幸活下来的人说不定也感染了沙疫。说了要隔离那就是隔离，必须严格执行。
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Steppe.Prologue_Executor_Escape.23020} 有一股明显的杂酚油味，铁路就在附近。
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Steppe.Prologue_Executor_Escape.10448} 我准备回首都。他们要关闭我的塔纳提卡实验室。可学院还不知道在你们小镇上肆虐的这场可怕瘟疫，我得赶回去报告此事……
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Steppe.Prologue_Executor_Escape.44057} 镇子没救了，留下来也没意义。我承认，我并非无所不能，但我已经尽力了！
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Steppe.Prologue_Executor_Escape.50312} 最后的志愿者，最后的哨所，最后的防线……一切转眼就走到了尽头。
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Steppe.Prologue_Executor_Escape.24151} 路障都是我自己设的，我还老让这堆东西挡道，真是受够了。
{Prologue.Dialogs.Prologue_PartOne_Capital.Prologue_Steppe.Prologue_Executor_Escape.10686} 你是谁？报上名来。
