{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Clock.Prologue_Tragedian_Past.22703} 大人因何困扰？您的白昼已尽。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Clock.Prologue_Tragedian_Past.8479} 我在寻找西蒙，却遍寻不着。想解此谜，得抽丝剥茧；但仅凭我一人，力有未逮。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Clock.Prologue_Tragedian_Past.16594} 诚然泥沼深陷，但请勿成坟冢\n不如就此认负，至少仍保有人性\n纵然于您不过微末慰藉\n\n穷尽可行之事便足矣\n就此打住！接受既定命运吧\n败局中亦可觅得胜机
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Clock.Prologue_Tragedian_Past.28140} 不，我<b>确信</b>存在解法，只是藏于非常之处。你身后那是钟吗？
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Clock.Prologue_Tragedian_Past.5786} 如今连时间也成猎物？妄图修补往昔？\n回溯过往，改变过去，此亦可成真？\n大人熟稔典籍当知：\n此处蝶翼轻振，彼处风暴骤起——\n唯独那个故事尚未写就
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Clock.Prologue_Tragedian_Past.21053} 我至少该推演另一种可能。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Clock.Prologue_Tragedian_Past.16504} 说得好！但我知道您并非贝克莱主义信徒！
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Clock.Prologue_Tragedian_Past.24504} 看来我只能信一信了。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Clock.Prologue_Tragedian_Past.17261} 那就阖眼安眠吧。莫非您要盯着钟面，\n如观立体画，如瞻圣像？\n保不齐它真能变成其他样子
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Clock.Prologue_Tragedian_Past.20292} 是了，就该这样。它会回应我的。到时候，我就不会分身乏术了。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Clock.Prologue_Tragedian_Past.11384} 我回溯一下两天前发生的事。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Clock.Prologue_Tragedian_Past.14104} 疫病刚爆发那天的事，总萦绕在我心头。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Clock.Prologue_Tragedian_Past.31262} 重头来过。此刻我正离开首都……
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Clock.Prologue_Tragedian_Past.25936} 只为伊娃感到悲哀……不，是为与她有关的一切。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Clock.Prologue_Tragedian_Past.4553} 我只需换一种思维方式，把这条直线掰弯，让明天变成昨天。照例从我自己开始，至于会怎样，走着瞧便是。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Clock.Prologue_Tragedian_Past.10324} 这件事对我来说，意义非凡。我要窥见时间的薄弱之处。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Clock.Prologue_Tragedian_Past.15724} 这个镇子是空间，国家也不例外。这个空间里只有一个我。但世界是多维的，我在这儿输了，在其他地方又赢了。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Clock.Prologue_Tragedian_Past.4454} 我小时候看缝纫机，怎么都看不明白。针头在布料上穿来穿去，怎么没有勾断一根丝线？
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Clock.Prologue_Tragedian_Past.31970} 后来悟出来了么？
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Clock.Prologue_Tragedian_Past.7140} 嗯。后来发现第二根线，豁然开朗。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Clock.Prologue_Tragedian_Past.4870} 认知维度扩展，以前视作是奇迹的东西，如今看来就是简单的工程问题。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Clock.Prologue_Tragedian_Past.30081} 我与沙疫搏斗至今，一点进展都没有。这瘟疫太狡猾，难以预料。这儿刚扑灭，那儿又爆发，我一个人根本处理不来。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Clock.Prologue_Tragedian_Past.1612} 不止疫病，还有暴乱。刚遏制疫情，暴徒又跑来闹事。处处是危机，我一个人怎么能同时应付得过来？终究是力有未逮。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Clock.Prologue_Tragedian_Past.11840} 首都和这儿都需要我，而且两边发生的事也是相互关联；我却无法兼顾——单我一人，终是难全！
