{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_PostCredits.Prologue_Eva_Tomorrow.455} 早上好，首都来的丹科夫斯基医生。您昨晚睡得还好吗？
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_PostCredits.Prologue_Eva_Tomorrow.26199} 还不错。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_PostCredits.Prologue_Eva_Tomorrow.23584} 我梦见自己飞起来了，或者说，是挣扎着要飞起来。飞是飞起来了，但飞得挺古怪……飞的不高，始终跟地面保持在同一水平。\n\n说是飞，不如说是站在看不见的平台上，贴着地面滑翔……但我想要的是直冲云霄！你呢？你梦到了什么？
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_PostCredits.Prologue_Eva_Tomorrow.13144} 我没做梦。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_PostCredits.Prologue_Eva_Tomorrow.29493} 你这张脸疲惫得厉害，三十岁了吧？看着比实际年龄苍老不少。好在头发还黑得跟煤炭似的，没变灰白色。\n\n而且你这头发的黑也不是乌鸦羽毛的那种黑，色调不一样……还一根白头发都没有！
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_PostCredits.Prologue_Eva_Tomorrow.32660} 我说不定没多久也要长白头发了。反正早晚的事。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_PostCredits.Prologue_Eva_Tomorrow.28041} 今天有你受的。今晚还回来吗？我等着。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_PostCredits.Prologue_Eva_Tomorrow.30627} 等？等什么？
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_PostCredits.Prologue_Eva_Tomorrow.10374} 今天这种日子结束后，你总是急着想找个人听你说说话。我可不是夸张，只是说有一大堆事等着你，其中不少事准能难倒你……
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_PostCredits.Prologue_Eva_Tomorrow.12115} 你说对了。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_PostCredits.Prologue_Eva_Tomorrow.17409} 想难倒我可没那么容易。你现在也没能难倒我。不过，没能在梦里一飞冲天就是另一回事了……
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_PostCredits.Prologue_Eva_Tomorrow.6186} 智者黄昏方悔白昼短，我们走着瞧。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_PostCredits.Prologue_Eva_Tomorrow.1381} 不用了。你怎么不上床躺着，在梦里飞个尽兴？说不定这回真能飞起来，直直飞到天上去。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_PostCredits.Prologue_Eva_Tomorrow.4115} 我有的选么？行李就放这儿了。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_PostCredits.Prologue_Eva_Tomorrow.25371} 伊娃，你就没有什么有意思点儿的消遣么？我不擅长也不喜欢闲聊。能不能给我杯咖啡？
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_PostCredits.Prologue_Eva_Tomorrow.31086} 你看着像是喜欢诗歌的人。不过我基本上只读贺拉斯的诗，恐怕跟你不是一路人。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_PostCredits.Prologue_Eva_Tomorrow.24089} 要我说，天底下最蠢的事就是相互交流自己梦到了什么。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_PostCredits.Prologue_Eva_Tomorrow.17054} 还是老样子。夜晚的巷子空无一人，街边立着四盏路灯，尽头是一座砖房，可我怎么走也走不到。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_PostCredits.Prologue_Eva_Tomorrow.7824} 真是太难熬了，我没合眼，就这么辗转反侧了一整夜。伊娃，老实交代，你往我床垫下面塞豌豆了吧？
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_PostCredits.Prologue_Eva_Tomorrow.24594} 没臭虫算好了。我觉得这样就不错，将就睡吧……
