{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Eva_Time.4700} 回来得正好。暴徒正慢慢围拢过来。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Eva_Time.5327} 我没看见有人。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Eva_Time.16341} 我看见了。他们扒着窗户，往屋里望，看样子是谋划了什么。他们有时举着火把，有时握着木桩……准没安好心。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Eva_Time.14082} 伊娃，你经常会看见不存在的东西，是么？
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Eva_Time.7181} 你想出去外面看看的话，就带上我一起。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Eva_Time.20857} 没那个必要，我不会在这儿待多久。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Eva_Time.7965} 等等，我们跟往常一样聊两句吧。你昨天不是还说么，跟我聊天就像跟猫说话一样，只有这样才能理清思绪。\n\n你这回过来，脑子里肯定又装了不少新念头吧？说给我听。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Eva_Time.7959} 伊娃，我时候弄错了，你不是猫。我为自己那时候说的傲慢的话道歉。我现在已经跟那时候不一样了。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Eva_Time.12244} 伊娃，我时候弄错了，你不是猫。我为自己那时候说的傲慢的话道歉。我现在已经跟那时候不一样了。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Eva_Time.26567} 你会告诉我么？
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Eva_Time.27931} 首先，常规手段根本对付不了沙疫，研发疫苗要几周时间，可我连几天都等不起……时间就是紧迫到<b>这种地步</b>！\n\n必须得想别的法子，但是别的法子究竟是什么？又该怎么找突破口？
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Eva_Time.30925} 你相信西蒙能助你一臂之力，找到他一切都好说。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Eva_Time.1030} 西蒙，西蒙……我能感觉得到，这一切背后都有他的身影。他本人失踪，尸体不翼而飞，还有空坟中的巨棺，写了他名字的字条……这一切的一切都很难不让人多想。\n\n要么是场惊天阴谋，要么是他在跟我玩什么难懂的把戏。我非找到他不可。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Eva_Time.9754} 继续说。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Eva_Time.9821} 我是人类，而且是人类中聪颖、勤奋又勇敢的那类，算得上是优质的人类样本。即便如此，我还是力有未逮……\n\n解决这些问题需要更大的东西，不是孤点，而是径流。我必须同时穿越多重孔径。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Eva_Time.18345} 我能明白，你继续说。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Eva_Time.27886} 等会儿，外面那是什么动静？
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Eva_Time.6346} 我早说过了，外面那群人让我很害怕，但是我们的谈话更重要。这种机会可不会有第二次了。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Eva_Time.2006} 我早说过了，外面那群人让我很害怕，但是我们的谈话更重要。这种机会可不会有第二次了。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Eva_Time.14220} 谈话可以先放一放。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Eva_Time.11446} 行。我记得我们聊到哪儿了。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Eva_Time.29728} 等会儿……我们聊了多久了？
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Eva_Time.14712} 不知道……可能一个小时？你想事情想太久了。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Eva_Time.4338} 你开玩笑吧伊娃？顶多就五分钟。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Eva_Time.24510} 伊娃，你的眼睛能催眠任何一个人。当然，不是字面意思。你在这等我会儿。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Eva_Time.3102} 我不太明白……
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Eva_Time.26516} 你现在担心的怕是别的什么东西吧……
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Eva_Time.30792} 时间不够用，还能用什么来抵？
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Eva_Time.17533} 时间……伊娃，有时候人可以抵一抵时间，可惜我们现在没有人，也没有时间。老话说得好，纵有九个女人，也没法在一个月里生下一个胎儿。\n\n空间同样换不来时间，除非……说不定……
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Eva_Time.19104} 继续。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Eva_Time.31559} 你现在担心的怕是别的什么东西吧……
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Eva_Time.19221} 你对我而言，是最珍贵的能听我说话的人，但我的脑子此刻只有可悲的混沌。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Eva_Time.20829} 你对我而言，是最珍贵的能听我说话的人，但我的脑子此刻只有可悲的混沌。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Eva_Time.7705} 你会告诉我吗？
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Eva_Time.25706} 伊娃，你打算怎么帮我？再说了，你肯定看到了那发生的一切。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Eva_Time.28258} 我出去看看，免得你坐这儿发愁。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Eva_Time.588} 别！看在我的份上，你千万别出去。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Eva_Time.18177} 别傻了，我当然要出去看看。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Eva_Time.15598} 我会小心的。
